number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,4.172502514748766e-05,2025-12-08 19:10:24.443897,2025-12-08 19:10:40.816951,0 days 00:00:16.373054,122,0.5277132761315981,0.003312998622413467,9,10,669,0.9868971956312084,3.8505428611193566,0.597363116941453,extensive,final,xgb,,122,False,COMPLETE
1,-0.0006755807195322205,2025-12-08 19:10:40.816951,2025-12-08 19:10:51.596041,0 days 00:00:10.779090,105,0.6344364347038952,0.0016187990711776497,8,12,423,1.6873549733720443,0.30560779215713024,0.890837241016609,extensive,final,xgb,,105,False,COMPLETE
2,-0.0006794293620518976,2025-12-08 19:10:51.596041,2025-12-08 19:10:57.699472,0 days 00:00:06.103431,43,0.44348960318400843,0.001667973623709229,7,12,2283,2.5924848898567916,0.3244890543703081,0.6506939498381544,extensive,final,xgb,,43,False,COMPLETE
