number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-0.00375198035078117,2025-12-08 19:09:25.698210,2025-12-08 19:09:28.003664,0 days 00:00:02.305454,6,extensive,final,ols,,6,False,COMPLETE
1,-0.44363586827883994,2025-12-08 19:09:28.003664,2025-12-08 19:09:32.370933,0 days 00:00:04.367269,74,extensive,final,ols,,74,False,COMPLETE
2,-0.3211289246504707,2025-12-08 19:09:32.370933,2025-12-08 19:09:34.823328,0 days 00:00:02.452395,31,extensive,final,ols,,31,False,COMPLETE
