number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
150,-0.0035074660896120178,2025-12-07 02:15:14.057967,2025-12-07 02:15:15.646940,0 days 00:00:01.588973,0.0005539989968767361,0.7322051937762125,269,extensive,269,COMPLETE
151,0.002225883823124497,2025-12-07 02:15:15.648015,2025-12-07 02:15:17.127941,0 days 00:00:01.479926,0.0004466449903548707,0.8451480378841698,15,extensive,15,COMPLETE
152,-0.028398395780337243,2025-12-07 02:15:17.128966,2025-12-07 02:15:18.543457,0 days 00:00:01.414491,0.0006848649075923617,0.07575072117652787,18,extensive,18,COMPLETE
153,0.002126317938584347,2025-12-07 02:15:18.544457,2025-12-07 02:15:19.882604,0 days 00:00:01.338147,0.0004619732413490262,0.8781278800643015,10,extensive,10,COMPLETE
154,0.0009967066518025887,2025-12-07 02:15:19.883604,2025-12-07 02:15:21.387197,0 days 00:00:01.503593,0.0004785402354471328,0.875904089942699,1,extensive,1,COMPLETE
155,-0.0032985255863978713,2025-12-07 02:15:21.388410,2025-12-07 02:15:22.969047,0 days 00:00:01.580637,0.00044450754587993,0.8883686259662664,29,extensive,29,COMPLETE
156,0.0016030053132079687,2025-12-07 02:15:22.970048,2025-12-07 02:15:24.450194,0 days 00:00:01.480146,0.0005872086823134219,0.849990526926084,18,extensive,18,COMPLETE
157,-0.0016513540077431887,2025-12-07 02:15:24.452196,2025-12-07 02:15:26.038152,0 days 00:00:01.585956,0.00022528217645960416,0.8239526994507704,9,extensive,9,COMPLETE
158,-0.011713396361743586,2025-12-07 02:15:26.040153,2025-12-07 02:15:27.504590,0 days 00:00:01.464437,0.00030679451391755813,0.7980027429055084,37,extensive,37,COMPLETE
159,-0.00019817935697941103,2025-12-07 02:15:27.505590,2025-12-07 02:15:28.927514,0 days 00:00:01.421924,0.0008053909330794713,0.8537785813266744,1,extensive,1,COMPLETE
160,-0.006914841531940848,2025-12-07 02:15:28.927514,2025-12-07 02:15:30.415888,0 days 00:00:01.488374,0.00038611565099141846,0.8360149881483195,23,extensive,23,COMPLETE
161,0.0018741817283029298,2025-12-07 02:15:30.416890,2025-12-07 02:15:31.830320,0 days 00:00:01.413430,0.000543858010633743,0.8516659563460246,18,extensive,18,COMPLETE
162,0.001908140922652124,2025-12-07 02:15:31.831328,2025-12-07 02:15:33.271173,0 days 00:00:01.439845,0.0004975807240640958,0.9117717484070732,12,extensive,12,COMPLETE
163,0.002055352646209226,2025-12-07 02:15:33.272180,2025-12-07 02:15:34.782529,0 days 00:00:01.510349,0.00046648207506330745,0.9095393144982729,15,extensive,15,COMPLETE
164,0.0001943758621821464,2025-12-07 02:15:34.783533,2025-12-07 02:15:36.318643,0 days 00:00:01.535110,0.000545184051487218,0.9177825792468394,31,extensive,31,COMPLETE
165,-0.0010912495148244956,2025-12-07 02:15:36.319648,2025-12-07 02:15:37.842799,0 days 00:00:01.523151,0.000495362766288479,0.9071752872883487,20,extensive,20,COMPLETE
166,-0.012303934061390853,2025-12-07 02:15:37.843798,2025-12-07 02:15:39.281607,0 days 00:00:01.437809,0.00028210841551410434,0.934586684193939,46,extensive,46,COMPLETE
167,0.0021709835590553914,2025-12-07 02:15:39.282615,2025-12-07 02:15:40.823818,0 days 00:00:01.541203,0.0004434330704535344,0.8810343100073332,13,extensive,13,COMPLETE
168,-0.002797767495115696,2025-12-07 02:15:40.824822,2025-12-07 02:15:42.284193,0 days 00:00:01.459371,0.0004571691658204805,0.8900376782284937,27,extensive,27,COMPLETE
169,0.0010024787762995535,2025-12-07 02:15:42.285198,2025-12-07 02:15:43.666683,0 days 00:00:01.381485,0.0006448233767816125,0.8754185074175289,16,extensive,16,COMPLETE
170,-0.007878645564800927,2025-12-07 02:15:43.667968,2025-12-07 02:15:45.052223,0 days 00:00:01.384255,0.0003338459855631431,0.9378638848623245,36,extensive,36,COMPLETE
171,0.00209345426255525,2025-12-07 02:15:45.053219,2025-12-07 02:15:46.527966,0 days 00:00:01.474747,0.00041004554733640444,0.8647748168845437,9,extensive,9,COMPLETE
172,0.0010341080367168114,2025-12-07 02:15:46.529042,2025-12-07 02:15:47.928384,0 days 00:00:01.399342,0.0004393577844939689,0.9040766543811292,1,extensive,1,COMPLETE
173,0.0016741041457054573,2025-12-07 02:15:47.928384,2025-12-07 02:15:49.338541,0 days 00:00:01.410157,0.0005606687562857365,0.8722399737342105,12,extensive,12,COMPLETE
174,-0.009400937974775111,2025-12-07 02:15:49.339542,2025-12-07 02:15:50.744354,0 days 00:00:01.404812,0.0003128895660848345,0.8895610130129319,23,extensive,23,COMPLETE
175,0.001960729246479276,2025-12-07 02:15:50.745354,2025-12-07 02:15:52.154392,0 days 00:00:01.409038,0.0003987093860832658,0.8551658258900728,11,extensive,11,COMPLETE
176,-0.0001530995940445997,2025-12-07 02:15:52.154392,2025-12-07 02:15:53.624312,0 days 00:00:01.469920,0.00025934938099933676,0.9129360049049875,8,extensive,8,COMPLETE
177,-0.02919127733096612,2025-12-07 02:15:53.625317,2025-12-07 02:15:55.065505,0 days 00:00:01.440188,0.00019722723782378368,0.8623737795273534,28,extensive,28,COMPLETE
178,-0.0016559721242364045,2025-12-07 02:15:55.066597,2025-12-07 02:15:56.533639,0 days 00:00:01.467042,0.025223765517269677,0.8652524101301138,9,extensive,9,COMPLETE
179,0.0010916166620125918,2025-12-07 02:15:56.534644,2025-12-07 02:15:57.958058,0 days 00:00:01.423414,0.000354624906966477,0.9347877712288812,1,extensive,1,COMPLETE
180,-0.00576808736702646,2025-12-07 02:15:57.959274,2025-12-07 02:15:59.415117,0 days 00:00:01.455843,0.00043950273253162003,0.8122536335932341,41,extensive,41,COMPLETE
181,0.0018916401883789513,2025-12-07 02:15:59.416123,2025-12-07 02:16:00.843612,0 days 00:00:01.427489,0.00051865629383935,0.8883088911638833,17,extensive,17,COMPLETE
182,-0.005843682672947918,2025-12-07 02:16:00.845609,2025-12-07 02:16:02.258341,0 days 00:00:01.412732,0.00038625937725166666,0.8870718935983366,20,extensive,20,COMPLETE
183,-0.0007068632926262216,2025-12-07 02:16:02.258341,2025-12-07 02:16:03.668969,0 days 00:00:01.410628,0.000784703301131842,0.9796507558852517,13,extensive,13,COMPLETE
184,-0.0030505620920069365,2025-12-07 02:16:03.669972,2025-12-07 02:16:05.096716,0 days 00:00:01.426744,0.00046745124861372197,0.8572453081929131,30,extensive,30,COMPLETE
185,0.0008978438686960318,2025-12-07 02:16:05.097716,2025-12-07 02:16:06.549630,0 days 00:00:01.451914,0.000615927037477333,0.8975920351731441,19,extensive,19,COMPLETE
186,0.0010171943337561329,2025-12-07 02:16:06.549630,2025-12-07 02:16:08.013722,0 days 00:00:01.464092,0.00024750354952671227,0.922728006021619,1,extensive,1,COMPLETE
187,0.001184328549895956,2025-12-07 02:16:08.013722,2025-12-07 02:16:09.460774,0 days 00:00:01.447052,0.00032926104677549967,0.8831598244650785,10,extensive,10,COMPLETE
188,-0.0024566555575743867,2025-12-07 02:16:09.461781,2025-12-07 02:16:10.862084,0 days 00:00:01.400303,0.0005008037626765624,0.823129445383217,23,extensive,23,COMPLETE
189,0.0019162139538575855,2025-12-07 02:16:10.863089,2025-12-07 02:16:12.257791,0 days 00:00:01.394702,0.0003954216663472553,0.8546608346534711,10,extensive,10,COMPLETE
190,0.0006282756840167991,2025-12-07 02:16:12.258301,2025-12-07 02:16:13.671488,0 days 00:00:01.413187,0.0002965297046603555,0.910393492864116,8,extensive,8,COMPLETE
191,0.0022178813220257165,2025-12-07 02:16:13.672492,2025-12-07 02:16:15.075616,0 days 00:00:01.403124,0.00039393354823380813,0.8528868937420206,17,extensive,17,COMPLETE
192,0.002033274883023443,2025-12-07 02:16:15.076617,2025-12-07 02:16:16.578939,0 days 00:00:01.502322,0.00039547625841435217,0.8749863983480966,11,extensive,11,COMPLETE
193,-0.006086376756913407,2025-12-07 02:16:16.580448,2025-12-07 02:16:18.105583,0 days 00:00:01.525135,0.0003805702858315665,0.8625858925304004,32,extensive,32,COMPLETE
194,0.0010816310962223168,2025-12-07 02:16:18.109702,2025-12-07 02:16:19.658447,0 days 00:00:01.548745,0.00042539963814780063,0.8303855150152584,1,extensive,1,COMPLETE
195,-0.05928547786582646,2025-12-07 02:16:19.658952,2025-12-07 02:16:21.234594,0 days 00:00:01.575642,0.0002752313988803042,0.7959768502553072,331,extensive,331,COMPLETE
196,0.0009522285696747698,2025-12-07 02:16:21.235600,2025-12-07 02:16:22.745921,0 days 00:00:01.510321,0.0003299713993406133,0.8418932035079959,10,extensive,10,COMPLETE
197,-0.021476792952852986,2025-12-07 02:16:22.747922,2025-12-07 02:16:24.232248,0 days 00:00:01.484326,0.00021798744596080802,0.8679997765306509,26,extensive,26,COMPLETE
198,0.001093330896525709,2025-12-07 02:16:24.233248,2025-12-07 02:16:25.745558,0 days 00:00:01.512310,0.00038989670690809904,0.8173351330634179,1,extensive,1,COMPLETE
199,0.002093963732439493,2025-12-07 02:16:25.747559,2025-12-07 02:16:27.175237,0 days 00:00:01.427678,0.0004364623069978791,0.9502152844276986,13,extensive,13,COMPLETE
200,-0.0002377492513485254,2025-12-07 02:16:27.175237,2025-12-07 02:16:28.645427,0 days 00:00:01.470190,0.0006687099638879783,0.9523733393354563,406,extensive,406,COMPLETE
201,0.0020598249179044257,2025-12-07 02:16:28.646432,2025-12-07 02:16:30.053557,0 days 00:00:01.407125,0.00037425081565377555,0.9297153892491512,12,extensive,12,COMPLETE
202,0.002073327103433442,2025-12-07 02:16:30.055558,2025-12-07 02:16:31.444866,0 days 00:00:01.389308,0.00034163175332210365,0.9470033702690541,17,extensive,17,COMPLETE
203,-0.008158757525068783,2025-12-07 02:16:31.445869,2025-12-07 02:16:32.857525,0 days 00:00:01.411656,0.0003025573934732656,0.9934221149077908,22,extensive,22,COMPLETE
204,-0.013096737438585082,2025-12-07 02:16:32.859451,2025-12-07 02:16:34.281182,0 days 00:00:01.421731,0.0002464490639956221,0.9682854397529913,34,extensive,34,COMPLETE
205,0.0022930038181363153,2025-12-07 02:16:34.282186,2025-12-07 02:16:35.678360,0 days 00:00:01.396174,0.0003625096431361809,0.9444083977166158,17,extensive,17,COMPLETE
206,-0.005808261533540156,2025-12-07 02:16:35.679365,2025-12-07 02:16:37.089912,0 days 00:00:01.410547,0.0003619417031147982,0.9485618847022945,22,extensive,22,COMPLETE
207,-0.031519584428493154,2025-12-07 02:16:37.090918,2025-12-07 02:16:38.499689,0 days 00:00:01.408771,0.00017266518600157527,0.9781392448760499,40,extensive,40,COMPLETE
208,0.0014040545196947196,2025-12-07 02:16:38.501689,2025-12-07 02:16:39.989928,0 days 00:00:01.488239,0.00029471930661731914,0.9234551701666115,16,extensive,16,COMPLETE
209,-0.007152139495790706,2025-12-07 02:16:39.990933,2025-12-07 02:16:41.484338,0 days 00:00:01.493405,0.00033662975213051707,0.9378798093944847,28,extensive,28,COMPLETE
210,0.0009450915330578477,2025-12-07 02:16:41.484338,2025-12-07 02:16:43.010264,0 days 00:00:01.525926,0.0004598305348450233,0.9640250174081051,1,extensive,1,COMPLETE
211,0.002253128182737263,2025-12-07 02:16:43.011271,2025-12-07 02:16:44.425265,0 days 00:00:01.413994,0.0003866337710118491,0.9333107513978711,14,extensive,14,COMPLETE
212,0.00016296238310028097,2025-12-07 02:16:44.426773,2025-12-07 02:16:45.849283,0 days 00:00:01.422510,0.0002520676470791236,0.9269055512469945,15,extensive,15,COMPLETE
213,0.0023645301920443376,2025-12-07 02:16:45.851284,2025-12-07 02:16:47.296088,0 days 00:00:01.444804,0.00042581468775641654,0.9583158975723791,9,extensive,9,COMPLETE
214,-0.006863384410248585,2025-12-07 02:16:47.298090,2025-12-07 02:16:48.720187,0 days 00:00:01.422097,0.0003426058305719201,0.9450062725132728,22,extensive,22,COMPLETE
215,0.0022078116058285024,2025-12-07 02:16:48.721192,2025-12-07 02:16:50.163689,0 days 00:00:01.442497,0.0004556517466836166,0.9561550416482899,8,extensive,8,COMPLETE
216,0.0009824539775470005,2025-12-07 02:16:50.164693,2025-12-07 02:16:51.543214,0 days 00:00:01.378521,0.00043561940924971397,0.9787622812961615,1,extensive,1,COMPLETE
217,0.0008772284500525954,2025-12-07 02:16:51.544214,2025-12-07 02:16:52.945419,0 days 00:00:01.401205,0.0002865338265056106,0.9557303552176942,11,extensive,11,COMPLETE
218,0.000994574159337532,2025-12-07 02:16:52.945419,2025-12-07 02:16:54.344139,0 days 00:00:01.398720,0.0005680168045707262,0.9957612137229707,31,extensive,31,COMPLETE
219,-0.017094589114543018,2025-12-07 02:16:54.345142,2025-12-07 02:16:55.730918,0 days 00:00:01.385776,0.00021949249076817044,0.9385840206283294,21,extensive,21,COMPLETE
220,0.001092832945397341,2025-12-07 02:16:55.732358,2025-12-07 02:16:57.106208,0 days 00:00:01.373850,0.00035927395253995616,0.9053441777692366,1,extensive,1,COMPLETE
221,0.0019097476938355247,2025-12-07 02:16:57.106208,2025-12-07 02:16:58.513188,0 days 00:00:01.406980,0.0004694274198287192,0.9658757691794054,11,extensive,11,COMPLETE
222,0.0020004042770704147,2025-12-07 02:16:58.514194,2025-12-07 02:16:59.890446,0 days 00:00:01.376252,0.00048144043263791635,0.9227974365464146,16,extensive,16,COMPLETE
223,-0.0027136766545719317,2025-12-07 02:16:59.891451,2025-12-07 02:17:01.348441,0 days 00:00:01.456990,0.00043229010854849294,0.9286592362275355,19,extensive,19,COMPLETE
224,0.0006573524388288806,2025-12-07 02:17:01.349440,2025-12-07 02:17:02.801354,0 days 00:00:01.451914,0.0006349044216392786,0.9566079308213554,10,extensive,10,COMPLETE
225,-0.007683622863154567,2025-12-07 02:17:02.803355,2025-12-07 02:17:04.255047,0 days 00:00:01.451692,0.0003371150888473057,0.9096382685042869,27,extensive,27,COMPLETE
226,0.0017422646934439252,2025-12-07 02:17:04.255047,2025-12-07 02:17:05.766853,0 days 00:00:01.511806,0.0005096282055224517,0.9412052227579434,10,extensive,10,COMPLETE
227,-0.004039098024452274,2025-12-07 02:17:05.767857,2025-12-07 02:17:07.404971,0 days 00:00:01.637114,0.00040085581137627426,0.9758981050781148,474,extensive,474,COMPLETE
228,-0.017093129203915963,2025-12-07 02:17:07.405971,2025-12-07 02:17:08.865556,0 days 00:00:01.459585,0.0002974900863140895,0.8912494807484977,203,extensive,203,COMPLETE
229,-0.0023455352302329535,2025-12-07 02:17:08.866560,2025-12-07 02:17:10.394022,0 days 00:00:01.527462,0.0004749993696024259,0.925037222710442,38,extensive,38,COMPLETE
230,0.0007601232372420238,2025-12-07 02:17:10.395027,2025-12-07 02:17:11.921693,0 days 00:00:01.526666,0.0005939425660188382,0.9033842229467286,19,extensive,19,COMPLETE
231,-0.012078997547657103,2025-12-07 02:17:11.921693,2025-12-07 02:17:13.450573,0 days 00:00:01.528880,0.0003730983845197625,0.8770153277909092,240,extensive,240,COMPLETE
232,0.001715223921704497,2025-12-07 02:17:13.451573,2025-12-07 02:17:14.866980,0 days 00:00:01.415407,0.0005121802931504809,0.9439259135122537,11,extensive,11,COMPLETE
233,0.0010104405380001087,2025-12-07 02:17:14.867983,2025-12-07 02:17:16.314252,0 days 00:00:01.446269,0.00044790606019560705,0.9191708435055909,1,extensive,1,COMPLETE
234,-0.005926762793578806,2025-12-07 02:17:16.315259,2025-12-07 02:17:17.795696,0 days 00:00:01.480437,0.00035543245235650575,0.9596009249310593,20,extensive,20,COMPLETE
235,0.00046601310522302136,2025-12-07 02:17:17.796696,2025-12-07 02:17:19.232376,0 days 00:00:01.435680,0.0007108872470088139,0.8849622837779163,30,extensive,30,COMPLETE
236,0.001314376484180461,2025-12-07 02:17:19.232376,2025-12-07 02:17:20.670867,0 days 00:00:01.438491,0.0005827176009101633,0.9238792744830795,8,extensive,8,COMPLETE
237,0.0013044260328688069,2025-12-07 02:17:20.671871,2025-12-07 02:17:22.228651,0 days 00:00:01.556780,0.0002673380940119613,0.9968049954300173,17,extensive,17,COMPLETE
238,-0.003836430666708542,2025-12-07 02:17:22.229654,2025-12-07 02:17:23.716744,0 days 00:00:01.487090,0.00043257334667054736,0.8818514924839886,26,extensive,26,COMPLETE
239,0.0010823717821354384,2025-12-07 02:17:23.716744,2025-12-07 02:17:25.114626,0 days 00:00:01.397882,0.00031498811737741376,0.9018252999684323,1,extensive,1,COMPLETE
240,0.002184728554794161,2025-12-07 02:17:25.115626,2025-12-07 02:17:26.522002,0 days 00:00:01.406376,0.0004055559981945097,0.9493099579976226,13,extensive,13,COMPLETE
241,0.0021944951655281653,2025-12-07 02:17:26.523009,2025-12-07 02:17:27.971074,0 days 00:00:01.448065,0.0003898777134935583,0.9757455959077639,12,extensive,12,COMPLETE
242,0.002217139781316472,2025-12-07 02:17:27.972081,2025-12-07 02:17:29.389392,0 days 00:00:01.417311,0.0003831160001157385,0.9570243988244511,12,extensive,12,COMPLETE
243,0.002351695429280672,2025-12-07 02:17:29.390397,2025-12-07 02:17:30.850148,0 days 00:00:01.459751,0.00037933043767652793,0.9771173192001931,8,extensive,8,COMPLETE
244,0.0023992654742546193,2025-12-07 02:17:30.851148,2025-12-07 02:17:32.324016,0 days 00:00:01.472868,0.000408866724797704,0.9806075105626513,8,extensive,8,COMPLETE
245,0.002234865771945723,2025-12-07 02:17:32.325018,2025-12-07 02:17:33.816855,0 days 00:00:01.491837,0.0003704343488160646,0.9802825173945751,8,extensive,8,COMPLETE
246,0.0017738597482602758,2025-12-07 02:17:33.817856,2025-12-07 02:17:35.368123,0 days 00:00:01.550267,0.0003404073520282654,0.9814852461345445,7,extensive,7,COMPLETE
247,0.001062043507606229,2025-12-07 02:17:35.369233,2025-12-07 02:17:36.883979,0 days 00:00:01.514746,0.00026590628889076,0.9800618930206612,1,extensive,1,COMPLETE
248,0.0022675645336308983,2025-12-07 02:17:36.887988,2025-12-07 02:17:38.324146,0 days 00:00:01.436158,0.0003756195177861962,0.9722340504780612,8,extensive,8,COMPLETE
249,0.0010916170079082743,2025-12-07 02:17:38.325152,2025-12-07 02:17:39.820474,0 days 00:00:01.495322,0.0003055358345433316,0.99737322305461,1,extensive,1,COMPLETE
250,-0.0041578253871084785,2025-12-07 02:17:39.821119,2025-12-07 02:17:41.288659,0 days 00:00:01.467540,0.0003867543184527325,0.9714924657499346,28,extensive,28,COMPLETE
251,-0.00288539575422971,2025-12-07 02:17:41.289667,2025-12-07 02:17:42.749383,0 days 00:00:01.459716,0.00041453509668662583,0.9695487379065029,22,extensive,22,COMPLETE
252,5.66268550592867e-05,2025-12-07 02:17:42.750384,2025-12-07 02:17:44.132167,0 days 00:00:01.381783,0.00023714666259595234,0.9954700721786311,10,extensive,10,COMPLETE
253,0.0013518097651054421,2025-12-07 02:17:44.133168,2025-12-07 02:17:45.566074,0 days 00:00:01.432906,0.00032129118934054967,0.9599814287242874,9,extensive,9,COMPLETE
254,0.000605223619854045,2025-12-07 02:17:45.567078,2025-12-07 02:17:46.971320,0 days 00:00:01.404242,0.0005581111807111653,0.9770038839822277,1,extensive,1,COMPLETE
255,-0.003691270189173368,2025-12-07 02:17:46.972325,2025-12-07 02:17:48.456900,0 days 00:00:01.484575,0.000399591972454308,0.962078198425298,22,extensive,22,COMPLETE
256,0.001626402336777133,2025-12-07 02:17:48.456900,2025-12-07 02:17:49.867172,0 days 00:00:01.410272,0.00028647769199996855,0.9994958155543495,18,extensive,18,COMPLETE
257,0.0017204632804323678,2025-12-07 02:17:49.868172,2025-12-07 02:17:51.293503,0 days 00:00:01.425331,0.0005082776567743545,0.9497437369464624,10,extensive,10,COMPLETE
258,-0.005638228094803595,2025-12-07 02:17:51.294509,2025-12-07 02:17:52.712855,0 days 00:00:01.418346,0.000348738076705156,0.9776961824121122,31,extensive,31,COMPLETE
259,-0.002658051934151399,2025-12-07 02:17:52.713859,2025-12-07 02:17:54.139659,0 days 00:00:01.425800,0.0004310170686603811,0.9462429646284743,167,extensive,167,COMPLETE
260,0.0010744735774004255,2025-12-07 02:17:54.140666,2025-12-07 02:17:55.575146,0 days 00:00:01.434480,0.00026175660539329163,0.970904620339332,18,extensive,18,COMPLETE
261,0.0008990956838135963,2025-12-07 02:17:55.577155,2025-12-07 02:17:57.017184,0 days 00:00:01.440029,0.00048045564041993515,0.9603415583590391,1,extensive,1,COMPLETE
262,-0.07768393772412867,2025-12-07 02:17:57.018189,2025-12-07 02:17:58.459968,0 days 00:00:01.441779,0.00020432598517775656,0.46521715842316225,36,extensive,36,COMPLETE
263,0.001986949725800269,2025-12-07 02:17:58.460779,2025-12-07 02:17:59.892656,0 days 00:00:01.431877,0.0003633490555125424,0.943354853437651,10,extensive,10,COMPLETE
264,0.0005302873145136925,2025-12-07 02:17:59.895191,2025-12-07 02:18:01.408832,0 days 00:00:01.513641,0.0006305399635702906,0.9844050759949471,26,extensive,26,COMPLETE
265,0.0016718301124974226,2025-12-07 02:18:01.409345,2025-12-07 02:18:02.959103,0 days 00:00:01.549758,0.00030568737735719537,0.947290927608373,17,extensive,17,COMPLETE
266,0.002375070208551988,2025-12-07 02:18:02.960198,2025-12-07 02:18:04.469338,0 days 00:00:01.509140,0.00041669161842146775,0.9742290379137566,9,extensive,9,COMPLETE
267,0.0014270792483735602,2025-12-07 02:18:04.470909,2025-12-07 02:18:05.994549,0 days 00:00:01.523640,0.0005283501673078754,0.9821664010460944,10,extensive,10,COMPLETE
268,0.00022585424967865494,2025-12-07 02:18:05.995554,2025-12-07 02:18:07.480330,0 days 00:00:01.484776,1.5829532808138664e-05,0.963367581786732,1,extensive,1,COMPLETE
269,-0.0015229481706954262,2025-12-07 02:18:07.481336,2025-12-07 02:18:09.031989,0 days 00:00:01.550653,0.0004389830989734811,0.9948441353270026,24,extensive,24,COMPLETE
270,0.0015109997055064994,2025-12-07 02:18:09.032993,2025-12-07 02:18:10.524008,0 days 00:00:01.491015,0.0003632553309704023,0.7671669003150974,17,extensive,17,COMPLETE
271,-0.016551388237833864,2025-12-07 02:18:10.525013,2025-12-07 02:18:12.022533,0 days 00:00:01.497520,0.00023881193715178392,0.9467380826741346,42,extensive,42,COMPLETE
272,0.0022196371127498984,2025-12-07 02:18:12.023534,2025-12-07 02:18:13.443461,0 days 00:00:01.419927,0.00044751215545226744,0.9693335381886848,9,extensive,9,COMPLETE
273,0.0009818920558395765,2025-12-07 02:18:13.444466,2025-12-07 02:18:14.939012,0 days 00:00:01.494546,0.0005886586135434229,0.9726547684977511,8,extensive,8,COMPLETE
274,-0.00025603883157517454,2025-12-07 02:18:14.939012,2025-12-07 02:18:16.451177,0 days 00:00:01.512165,0.0007069190977446149,0.9843098854049979,1,extensive,1,COMPLETE
275,-0.0009065499988144543,2025-12-07 02:18:16.452181,2025-12-07 02:18:17.916552,0 days 00:00:01.464371,0.00045976239024594673,0.998826684440218,29,extensive,29,COMPLETE
276,0.0017683618192212425,2025-12-07 02:18:17.918553,2025-12-07 02:18:19.321254,0 days 00:00:01.402701,0.0005331216067708033,0.6160899406055284,10,extensive,10,COMPLETE
277,-0.0016559721242364045,2025-12-07 02:18:19.322261,2025-12-07 02:18:20.765170,0 days 00:00:01.442909,0.006158289724487693,0.9645930294192506,22,extensive,22,COMPLETE
278,0.0021677889439640032,2025-12-07 02:18:20.766176,2025-12-07 02:18:22.180647,0 days 00:00:01.414471,0.0004164468961149876,0.9410738696214119,10,extensive,10,COMPLETE
279,-0.004521428699343614,2025-12-07 02:18:22.181646,2025-12-07 02:18:23.626621,0 days 00:00:01.444975,0.0004131450632266218,0.9345798983695036,36,extensive,36,COMPLETE
280,0.0010868081459720254,2025-12-07 02:18:23.627627,2025-12-07 02:18:25.115096,0 days 00:00:01.487469,0.0003046520789029773,0.9580535596860047,1,extensive,1,COMPLETE
281,0.0016324322536165337,2025-12-07 02:18:25.115096,2025-12-07 02:18:26.553258,0 days 00:00:01.438162,0.0005079940147366807,0.9754065974623582,17,extensive,17,COMPLETE
282,-0.0006486242905766973,2025-12-07 02:18:26.554260,2025-12-07 02:18:28.143748,0 days 00:00:01.589488,0.0007973757058171566,0.9410444408449175,27,extensive,27,COMPLETE
283,0.0008252921615312289,2025-12-07 02:18:28.143748,2025-12-07 02:18:29.698415,0 days 00:00:01.554667,0.0006091463521031718,0.9647484265774139,10,extensive,10,COMPLETE
284,-0.026074953356476877,2025-12-07 02:18:29.698415,2025-12-07 02:18:31.186261,0 days 00:00:01.487846,0.00041945632629902834,0.5203943107653444,121,extensive,121,COMPLETE
285,-0.0336449128106574,2025-12-07 02:18:31.187264,2025-12-07 02:18:32.815348,0 days 00:00:01.628084,0.0003438064343311337,0.7489609353731139,320,extensive,320,COMPLETE
286,0.0010578624252829034,2025-12-07 02:18:32.816353,2025-12-07 02:18:34.292925,0 days 00:00:01.476572,0.00027363438957026133,0.9387339815349696,1,extensive,1,COMPLETE
287,0.0022843176889071706,2025-12-07 02:18:34.293924,2025-12-07 02:18:35.775606,0 days 00:00:01.481682,0.0005028817651700916,0.7810262212763724,18,extensive,18,COMPLETE
288,-0.0006657088811424794,2025-12-07 02:18:35.776606,2025-12-07 02:18:37.231960,0 days 00:00:01.455354,0.0006682156156496348,0.7387215172349463,52,extensive,52,COMPLETE
289,-0.017761107748924216,2025-12-07 02:18:37.231960,2025-12-07 02:18:38.900465,0 days 00:00:01.668505,0.0005158987061711276,0.39324127785152074,23,extensive,23,COMPLETE
290,-0.009194525677920526,2025-12-07 02:18:38.901467,2025-12-07 02:18:40.505373,0 days 00:00:01.603906,0.00038248040706297554,0.7724116871008783,34,extensive,34,COMPLETE
291,-4.065536411105667e-05,2025-12-07 02:18:40.506376,2025-12-07 02:18:42.071172,0 days 00:00:01.564796,0.0008713781006932537,0.7898356306503629,16,extensive,16,COMPLETE
292,0.0018549602766009254,2025-12-07 02:18:42.072718,2025-12-07 02:18:43.529972,0 days 00:00:01.457254,0.0004916460033887673,0.9829576407907331,9,extensive,9,COMPLETE
293,-0.027659460456003464,2025-12-07 02:18:43.531478,2025-12-07 02:18:44.968892,0 days 00:00:01.437414,0.00021356308529099272,0.7918135686211113,24,extensive,24,COMPLETE
294,-0.010833447557581791,2025-12-07 02:18:44.969899,2025-12-07 02:18:46.374665,0 days 00:00:01.404766,0.0003192171603618056,0.006845917608453156,9,extensive,9,COMPLETE
295,0.0011689670711763078,2025-12-07 02:18:46.375670,2025-12-07 02:18:47.782714,0 days 00:00:01.407044,0.0005888061967768477,0.9266982236273288,18,extensive,18,COMPLETE
296,-0.020536388124137567,2025-12-07 02:18:47.782714,2025-12-07 02:18:49.214455,0 days 00:00:01.431741,0.0003745358437912543,0.6901598344233575,188,extensive,188,COMPLETE
297,-0.014755049448327099,2025-12-07 02:18:49.215972,2025-12-07 02:18:50.651434,0 days 00:00:01.435462,0.0002831043029783681,0.7602191932847256,36,extensive,36,COMPLETE
298,0.000924185826339056,2025-12-07 02:18:50.652432,2025-12-07 02:18:52.120238,0 days 00:00:01.467806,0.00046239656287549823,0.9771426586034612,1,extensive,1,COMPLETE
299,-0.004832594563157026,2025-12-07 02:18:52.120829,2025-12-07 02:18:53.585822,0 days 00:00:01.464993,0.0003620117690991994,0.996520381515292,27,extensive,27,COMPLETE
