number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
34,-0.016121807360498137,2025-12-07 02:12:21.434451,2025-12-07 02:12:22.868166,0 days 00:00:01.433715,0.00071952252278394,0.3606791970055566,84,extensive,84,COMPLETE
35,-5.37357469927989,2025-12-07 02:12:22.869209,2025-12-07 02:12:25.653651,0 days 00:00:02.784442,1.1019135879803625e-05,0.8190673762345009,296,extensive,296,COMPLETE
36,-0.0016559721242364045,2025-12-07 02:12:25.655155,2025-12-07 02:12:27.122751,0 days 00:00:01.467596,0.00798310544045975,0.6920571959131409,218,extensive,218,COMPLETE
37,-0.005140095034495085,2025-12-07 02:12:27.124255,2025-12-07 02:12:28.561278,0 days 00:00:01.437023,0.0018045983207648406,0.20510434077962475,34,extensive,34,COMPLETE
38,-3.6309393346126098,2025-12-07 02:12:28.562278,2025-12-07 02:12:30.733148,0 days 00:00:02.170870,0.00040409608987820845,0.07415463393802796,374,extensive,374,COMPLETE
39,-0.0016559721242364045,2025-12-07 02:12:30.734152,2025-12-07 02:12:32.305068,0 days 00:00:01.570916,0.003704225152663227,0.5608695789767884,80,extensive,80,COMPLETE
40,-0.0016559721242364045,2025-12-07 02:12:32.306432,2025-12-07 02:12:33.859765,0 days 00:00:01.553333,0.06592318760277426,0.4994118184635419,105,extensive,105,COMPLETE
41,-0.00035070431121223916,2025-12-07 02:12:33.860770,2025-12-07 02:12:35.555817,0 days 00:00:01.695047,0.0011710993536795844,0.5687702274318368,284,extensive,284,COMPLETE
42,-0.00018247352173047146,2025-12-07 02:12:35.556560,2025-12-07 02:12:37.172875,0 days 00:00:01.616315,0.001158473144752436,0.5390587161097659,253,extensive,253,COMPLETE
43,-0.018642988674253774,2025-12-07 02:12:37.174384,2025-12-07 02:12:38.768344,0 days 00:00:01.593960,0.0006060060803951704,0.46829163776109944,338,extensive,338,COMPLETE
44,-0.0016559721242364045,2025-12-07 02:12:38.769353,2025-12-07 02:12:40.283896,0 days 00:00:01.514543,0.002633651019266868,0.6802969222106963,231,extensive,231,COMPLETE
45,-0.5278073186335273,2025-12-07 02:12:40.284905,2025-12-07 02:12:41.780187,0 days 00:00:01.495282,0.0001684978853280907,0.33376624231413754,170,extensive,170,COMPLETE
46,-1.5024865960248546,2025-12-07 02:12:41.783190,2025-12-07 02:12:43.361749,0 days 00:00:01.578559,5.6762084031947575e-05,0.4208212594085001,197,extensive,197,COMPLETE
47,-0.016647040881180335,2025-12-07 02:12:43.362754,2025-12-07 02:12:44.842621,0 days 00:00:01.479867,0.0003617032181818098,0.7286548480108613,149,extensive,149,COMPLETE
48,-0.0016559721242364045,2025-12-07 02:12:44.844631,2025-12-07 02:12:46.457445,0 days 00:00:01.612814,0.0018182918304615308,0.6212904036835191,333,extensive,333,COMPLETE
49,-3.533890734737829e-05,2025-12-07 02:12:46.457970,2025-12-07 02:12:47.946024,0 days 00:00:01.488054,0.0009204721200910774,0.7470875994109166,14,extensive,14,COMPLETE
50,-0.0016559721242364045,2025-12-07 02:12:47.948344,2025-12-07 02:12:49.402081,0 days 00:00:01.453737,0.041241463974962964,0.8665846744276403,30,extensive,30,COMPLETE
51,-4.681167263613043e-05,2025-12-07 02:12:49.403355,2025-12-07 02:12:50.872875,0 days 00:00:01.469520,0.0009329831785222048,0.7383796096346008,10,extensive,10,COMPLETE
52,0.0008346651715180157,2025-12-07 02:12:50.874387,2025-12-07 02:12:52.298558,0 days 00:00:01.424171,0.0007640791390996363,0.7713554994200068,3,extensive,3,COMPLETE
53,0.0017077940528148854,2025-12-07 02:12:52.298558,2025-12-07 02:12:53.811102,0 days 00:00:01.512544,0.0006432840622187364,0.7717330177529054,5,extensive,5,COMPLETE
54,0.002367499524464689,2025-12-07 02:12:53.812109,2025-12-07 02:12:55.418601,0 days 00:00:01.606492,0.0005007857708093212,0.7795099710783802,4,extensive,4,COMPLETE
55,0.002727557290357526,2025-12-07 02:12:55.419611,2025-12-07 02:12:56.924595,0 days 00:00:01.504984,0.00026567949118264697,0.7897708918819227,3,extensive,3,COMPLETE
56,0.0009659929922407976,2025-12-07 02:12:56.926816,2025-12-07 02:12:58.422836,0 days 00:00:01.496020,0.00025416425992505324,0.7949045058528944,1,extensive,1,COMPLETE
57,0.0005093860202881606,2025-12-07 02:12:58.424719,2025-12-07 02:12:59.917152,0 days 00:00:01.492433,8.114373802154194e-05,0.8579394312234414,1,extensive,1,COMPLETE
58,0.0013256194743156424,2025-12-07 02:12:59.917152,2025-12-07 02:13:01.393105,0 days 00:00:01.475953,7.216853669655477e-05,0.8500875609635441,2,extensive,2,COMPLETE
59,-0.30615410821606276,2025-12-07 02:13:01.394114,2025-12-07 02:13:02.864128,0 days 00:00:01.470014,2.5276873233028953e-05,0.9727703549304635,52,extensive,52,COMPLETE
60,-0.05789440895454856,2025-12-07 02:13:02.865132,2025-12-07 02:13:04.341692,0 days 00:00:01.476560,0.00018625761548849036,0.8941508130396353,66,extensive,66,COMPLETE
61,0.0004000266290067704,2025-12-07 02:13:04.342683,2025-12-07 02:13:05.762788,0 days 00:00:01.420105,5.761801342342719e-05,0.8217440418211363,1,extensive,1,COMPLETE
62,-0.1330744897100611,2025-12-07 02:13:05.763791,2025-12-07 02:13:07.190007,0 days 00:00:01.426216,7.577759819593085e-05,0.7877333506108488,39,extensive,39,COMPLETE
63,0.002163008077868881,2025-12-07 02:13:07.191010,2025-12-07 02:13:08.610201,0 days 00:00:01.419191,0.00027609898203002816,0.8611680459534576,2,extensive,2,COMPLETE
64,-0.010797093269386085,2025-12-07 02:13:08.611204,2025-12-07 02:13:10.035739,0 days 00:00:01.424535,0.00027494376052367023,0.9362748089921131,20,extensive,20,COMPLETE
65,-0.05861575819832565,2025-12-07 02:13:10.036742,2025-12-07 02:13:11.465770,0 days 00:00:01.429028,0.00014027194167556123,0.8935400331485727,44,extensive,44,COMPLETE
66,-0.11416129708869786,2025-12-07 02:13:11.466769,2025-12-07 02:13:12.771027,0 days 00:00:01.304258,2.943796135389867e-05,0.8266637988988842,24,extensive,24,COMPLETE
67,-0.003621994327206927,2025-12-07 02:13:12.772027,2025-12-07 02:13:14.270143,0 days 00:00:01.498116,0.0005132403933527148,0.768077213511563,71,extensive,71,COMPLETE
68,-0.009251109551594175,2025-12-07 02:13:14.271140,2025-12-07 02:13:15.673089,0 days 00:00:01.401949,0.00033534845825920523,0.8079929756416424,19,extensive,19,COMPLETE
