number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
38,-0.0016559721242364045,2025-12-07 02:05:01.528433,2025-12-07 02:05:03.041184,0 days 00:00:01.512751,0.695916179578944,373,extensive,373,COMPLETE
39,-0.00018955089161358055,2025-12-07 02:05:03.042505,2025-12-07 02:05:04.526683,0 days 00:00:01.484178,0.0006258343804329926,464,extensive,464,COMPLETE
40,-0.0016559721242364045,2025-12-07 02:05:04.527727,2025-12-07 02:05:06.042382,0 days 00:00:01.514655,0.0018087395400840183,334,extensive,334,COMPLETE
41,0.00030520316263375297,2025-12-07 02:05:06.042939,2025-12-07 02:05:07.592921,0 days 00:00:01.549982,0.0005126057944045506,458,extensive,458,COMPLETE
42,0.00020955676730290604,2025-12-07 02:05:07.594023,2025-12-07 02:05:09.157973,0 days 00:00:01.563950,0.00055617980642199,450,extensive,450,COMPLETE
43,-0.07593905197926983,2025-12-07 02:05:09.158979,2025-12-07 02:05:10.707503,0 days 00:00:01.548524,0.00020686045688354254,460,extensive,460,COMPLETE
44,-0.00014735889378765984,2025-12-07 02:05:10.709519,2025-12-07 02:05:12.276372,0 days 00:00:01.566853,0.0004862790490780443,486,extensive,486,COMPLETE
45,-0.0014569122957110252,2025-12-07 02:05:12.277397,2025-12-07 02:05:13.792771,0 days 00:00:01.515374,0.0010007925588511944,426,extensive,426,COMPLETE
46,-0.0016559721242364045,2025-12-07 02:05:13.794035,2025-12-07 02:05:15.270502,0 days 00:00:01.476467,0.004287662963748843,424,extensive,424,COMPLETE
47,-0.0016559721242364045,2025-12-07 02:05:15.270828,2025-12-07 02:05:16.890785,0 days 00:00:01.619957,0.002202819216862927,452,extensive,452,COMPLETE
48,-0.0016559721242364045,2025-12-07 02:05:16.890785,2025-12-07 02:05:18.458232,0 days 00:00:01.567447,0.0437149312649795,374,extensive,374,COMPLETE
49,-0.0016559721242364045,2025-12-07 02:05:18.459237,2025-12-07 02:05:20.024450,0 days 00:00:01.565213,4.307394492246533,412,extensive,412,COMPLETE
50,-0.0016559721242364045,2025-12-07 02:05:20.025566,2025-12-07 02:05:21.577488,0 days 00:00:01.551922,0.011178815417152174,496,extensive,496,COMPLETE
51,-0.0014051878927936468,2025-12-07 02:05:21.578491,2025-12-07 02:05:23.041049,0 days 00:00:01.462558,0.000979005971902719,26,extensive,26,COMPLETE
52,8.761275853859847e-05,2025-12-07 02:05:23.042120,2025-12-07 02:05:24.525750,0 days 00:00:01.483630,0.000547446469919902,75,extensive,75,COMPLETE
53,-0.06325217716201736,2025-12-07 02:05:24.526750,2025-12-07 02:05:26.025471,0 days 00:00:01.498721,0.00016085211315268217,84,extensive,84,COMPLETE
54,-2.7857978137979522e-05,2025-12-07 02:05:26.026475,2025-12-07 02:05:27.560092,0 days 00:00:01.533617,0.0004925383224698617,472,extensive,472,COMPLETE
55,-0.023185685313142284,2025-12-07 02:05:27.561764,2025-12-07 02:05:29.110670,0 days 00:00:01.548906,0.0002676360605786245,376,extensive,376,COMPLETE
56,-0.0016559721242364045,2025-12-07 02:05:29.111800,2025-12-07 02:05:30.627455,0 days 00:00:01.515655,0.0012462354259297527,320,extensive,320,COMPLETE
57,0.0003174647395681,2025-12-07 02:05:30.628528,2025-12-07 02:05:32.110370,0 days 00:00:01.481842,0.0005670656473621571,113,extensive,113,COMPLETE
58,-0.0016559721242364045,2025-12-07 02:05:32.111920,2025-12-07 02:05:33.426397,0 days 00:00:01.314477,0.002714611084552874,109,extensive,109,COMPLETE
59,-0.004215462505204807,2025-12-07 02:05:33.428061,2025-12-07 02:05:34.827166,0 days 00:00:01.399105,0.0003724261710127598,125,extensive,125,COMPLETE
60,-0.0016559721242364045,2025-12-07 02:05:34.828385,2025-12-07 02:05:36.208451,0 days 00:00:01.380066,0.26488505526127226,65,extensive,65,COMPLETE
61,0.0003059674708709714,2025-12-07 02:05:36.208451,2025-12-07 02:05:37.611005,0 days 00:00:01.402554,0.0005469103793136245,77,extensive,77,COMPLETE
62,-0.00044461958965250997,2025-12-07 02:05:37.612523,2025-12-07 02:05:39.142032,0 days 00:00:01.529509,0.0006970771871843332,104,extensive,104,COMPLETE
63,-0.01810346964492619,2025-12-07 02:05:39.143239,2025-12-07 02:05:40.825758,0 days 00:00:01.682519,0.0002871712628545467,440,extensive,440,COMPLETE
64,-0.0916882237609616,2025-12-07 02:05:40.826760,2025-12-07 02:05:42.342236,0 days 00:00:01.515476,0.00014137588475919167,67,extensive,67,COMPLETE
65,-0.0002291853565821178,2025-12-07 02:05:42.343338,2025-12-07 02:05:43.776749,0 days 00:00:01.433411,0.0004867022445310298,144,extensive,144,COMPLETE
66,-0.0016286363337232324,2025-12-07 02:05:43.777658,2025-12-07 02:05:45.225736,0 days 00:00:01.448078,0.0010683014026309343,210,extensive,210,COMPLETE
67,-0.0016559721242364045,2025-12-07 02:05:45.225736,2025-12-07 02:05:46.692348,0 days 00:00:01.466612,0.02123843428931311,51,extensive,51,COMPLETE
68,-0.0016559721242364045,2025-12-07 02:05:46.693440,2025-12-07 02:05:48.255642,0 days 00:00:01.562202,0.004080183433830355,415,extensive,415,COMPLETE
69,-0.0016559721242364045,2025-12-07 02:05:48.256646,2025-12-07 02:05:49.677772,0 days 00:00:01.421126,0.0014522496839187338,15,extensive,15,COMPLETE
70,-0.0495110715592364,2025-12-07 02:05:49.678934,2025-12-07 02:05:51.192678,0 days 00:00:01.513744,0.0002243210913656023,355,extensive,355,COMPLETE
71,0.00010402281363501113,2025-12-07 02:05:51.193679,2025-12-07 02:05:52.678925,0 days 00:00:01.485246,0.000592802939525339,96,extensive,96,COMPLETE
72,4.0450710149686486e-05,2025-12-07 02:05:52.680023,2025-12-07 02:05:54.209245,0 days 00:00:01.529222,0.0006084233673296557,115,extensive,115,COMPLETE
73,-0.005020924264532119,2025-12-07 02:05:54.209604,2025-12-07 02:05:55.594837,0 days 00:00:01.385233,0.00035735228443401884,139,extensive,139,COMPLETE
74,-0.0010448745667205699,2025-12-07 02:05:55.594837,2025-12-07 02:05:57.042852,0 days 00:00:01.448015,0.0008583958714161857,159,extensive,159,COMPLETE
75,-0.0016559721242364045,2025-12-07 02:05:57.044014,2025-12-07 02:05:58.546506,0 days 00:00:01.502492,0.0018740635482651093,99,extensive,99,COMPLETE
76,0.0002474548325090605,2025-12-07 02:05:58.547501,2025-12-07 02:06:00.026012,0 days 00:00:01.478511,0.0005292773529667787,81,extensive,81,COMPLETE
77,-0.3137895476109258,2025-12-07 02:06:00.026471,2025-12-07 02:06:01.463341,0 days 00:00:01.436870,0.0001345203178291561,253,extensive,253,COMPLETE
78,-0.0045316347756671664,2025-12-07 02:06:01.464345,2025-12-07 02:06:02.924818,0 days 00:00:01.460473,0.000365092792722033,87,extensive,87,COMPLETE
79,-0.0016559721242364045,2025-12-07 02:06:02.924818,2025-12-07 02:06:04.525685,0 days 00:00:01.600867,0.0012618096135032855,450,extensive,450,COMPLETE
80,-0.0007487219395633978,2025-12-07 02:06:04.526647,2025-12-07 02:06:06.027625,0 days 00:00:01.500978,0.0007477033593438152,39,extensive,39,COMPLETE
81,-0.017240359037295632,2025-12-07 02:06:06.028630,2025-12-07 02:06:07.463123,0 days 00:00:01.434493,0.0002596589584693814,69,extensive,69,COMPLETE
