number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,user_attrs_top_k_features,state
10,-0.0016559721404409238,2025-12-07 02:30:49.347171,2025-12-07 02:31:02.009978,0 days 00:00:12.662807,240,0.8715484865104504,0.008455883456798038,10,1,2823,2.020130360093224,0.3870642499276702,0.8817222664727193,extensive,240,COMPLETE
11,-0.001657047365299924,2025-12-07 02:31:02.012980,2025-12-07 02:31:09.018971,0 days 00:00:07.005991,342,0.8531335541888795,0.001130608712890527,9,14,1361,1.555763097643428,0.3567799240901919,0.4426518351756435,extensive,342,COMPLETE
12,-0.0028753217645850113,2025-12-07 02:31:09.019976,2025-12-07 02:31:20.897857,0 days 00:00:11.877881,486,0.30868344475460596,0.006256278997611279,8,16,1243,0.8291466033591804,0.2617917698766357,0.48127177775317426,extensive,486,COMPLETE
13,-0.0016559721404409238,2025-12-07 02:31:20.898861,2025-12-07 02:31:29.531802,0 days 00:00:08.632941,196,0.7799535301810271,0.0010108222966678556,9,10,1927,2.6249498782445357,1.8499407691640863,0.8952111981919756,extensive,196,COMPLETE
14,-0.0016559721404409238,2025-12-07 02:31:29.532802,2025-12-07 02:31:34.664638,0 days 00:00:05.131836,353,0.5164452127264749,0.004385489206446598,8,20,1006,2.7976421403146214,0.76153794790977,0.8124752905964475,extensive,353,COMPLETE
15,-0.16006974028923962,2025-12-07 02:31:34.664638,2025-12-07 02:32:25.006182,0 days 00:00:50.341544,309,0.4616909382908097,0.012248071740693027,6,3,2621,0.05032876156253119,0.22904597442065502,0.5134184657311098,extensive,309,COMPLETE
16,-0.0016595772364493093,2025-12-07 02:32:25.007182,2025-12-07 02:32:32.060088,0 days 00:00:07.052906,7,0.7332068392567611,0.0027122786787817793,10,11,1726,1.468586820590161,3.1188346891664906,0.4069164505203967,extensive,7,COMPLETE
17,-0.0016559721404409238,2025-12-07 02:32:32.061088,2025-12-07 02:32:36.979052,0 days 00:00:04.917964,387,0.41225961936782485,0.005096152631576724,3,17,923,3.173702982876557,0.5458977944116741,0.5573190868889712,extensive,387,COMPLETE
18,-0.0015129909692221204,2025-12-07 02:32:36.980259,2025-12-07 02:32:47.877254,0 days 00:00:10.896995,169,0.304998137277942,0.0013911697551315248,9,4,2448,1.5109242504035338,1.1185547215296812,0.8067094964913917,extensive,169,COMPLETE
19,-0.0016559721404409238,2025-12-07 02:32:47.878757,2025-12-07 02:32:58.373610,0 days 00:00:10.494853,163,0.5750225305677121,0.009963411123803225,9,4,2476,2.090770411410371,1.5633691708749797,0.8247547643433206,extensive,163,COMPLETE
20,-0.001792650317886409,2025-12-07 02:32:58.374613,2025-12-07 02:33:12.278819,0 days 00:00:13.904206,25,0.3023181279994615,0.037741480644363244,10,1,3387,0.9724410174612632,6.730779775682275,0.8035427942276789,extensive,25,COMPLETE
21,-0.0015018611745322523,2025-12-07 02:33:12.279863,2025-12-07 02:33:22.709872,0 days 00:00:10.430009,282,0.35615390921239826,0.0013410398054179394,7,4,2218,1.5590713666674156,0.9385121602167107,0.7757968797215828,extensive,282,COMPLETE
22,-0.0016559721404409238,2025-12-07 02:33:22.710872,2025-12-07 02:33:32.967496,0 days 00:00:10.256624,198,0.3454312507256217,0.0015025126805437775,8,4,2340,1.9393613214021415,1.1429397953328362,0.7756178546831842,extensive,198,COMPLETE
23,-0.029349064686755206,2025-12-07 02:33:32.968546,2025-12-07 02:35:20.468117,0 days 00:01:47.499571,286,0.8303452463926684,0.0026450895053328955,9,4,3221,0.26766858579311137,0.20117222084483494,0.8659650913594781,extensive,286,COMPLETE
24,-0.0007498871195266524,2025-12-07 02:35:20.468622,2025-12-07 02:35:36.404378,0 days 00:00:15.935756,265,0.33786826786350166,0.0014080613634277553,7,9,2284,1.0398360098259845,0.437991982341155,0.8456894743093192,extensive,265,COMPLETE
25,-0.0015150956403134168,2025-12-07 02:35:36.405378,2025-12-07 02:35:51.133228,0 days 00:00:14.727850,271,0.5107671721321884,0.002313029957889097,6,8,1853,0.9272497027537808,0.47156627398828943,0.8489558711450008,extensive,271,COMPLETE
26,-0.0016559721404409238,2025-12-07 02:35:51.134228,2025-12-07 02:36:01.138102,0 days 00:00:10.003874,330,0.44091357667201886,0.0039034700056484756,7,9,2187,2.3063044916920585,0.31682458767474625,0.7723778904119888,extensive,330,COMPLETE
27,-0.001653103094667004,2025-12-07 02:36:01.138608,2025-12-07 02:36:13.194116,0 days 00:00:12.055508,246,0.3675032174985023,0.0010018553661469709,4,2,2779,1.7620566607313886,0.17243153891477708,0.6880422194870932,extensive,246,COMPLETE
28,-0.0011955918611189127,2025-12-07 02:36:13.195114,2025-12-07 02:36:31.478695,0 days 00:00:18.283581,374,0.8028063758566318,0.001446361669734869,6,13,2120,1.1312457551527588,2.3163286974967314,0.8966384200223694,extensive,374,COMPLETE
29,-0.0014859243371147708,2025-12-07 02:36:31.478695,2025-12-07 02:36:40.028842,0 days 00:00:08.550147,369,0.6927072484988169,0.0018333456393157116,4,13,1110,1.1472139650353366,2.1895100487771044,0.8945793481575308,extensive,369,COMPLETE
30,-0.001546747688346839,2025-12-07 02:36:40.030089,2025-12-07 02:36:55.895451,0 days 00:00:15.865362,480,0.8976419148238376,0.002577812950646097,5,15,699,0.4467440183902922,0.10176881815422424,0.8439714381723797,extensive,480,COMPLETE
31,-0.0015596228835319155,2025-12-07 02:36:55.896455,2025-12-07 02:37:05.536748,0 days 00:00:09.640293,365,0.6952548013610866,0.001771777552168608,4,13,1222,1.1165260975967832,2.4812703983174034,0.8941894661860273,extensive,365,COMPLETE
32,-0.002037236573229665,2025-12-07 02:37:05.536748,2025-12-07 02:37:22.730881,0 days 00:00:17.194133,301,0.7939863303100841,0.0017441934057092516,4,12,1708,0.6427012427271683,4.592207252010185,0.8551747351456929,extensive,301,COMPLETE
