number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
44,-0.10713237910019376,2025-12-07 01:49:37.111641,2025-12-07 01:49:38.559194,0 days 00:00:01.447553,20,extensive,20,COMPLETE
45,-98113330.56709112,2025-12-07 01:49:38.559707,2025-12-07 01:49:40.108447,0 days 00:00:01.548740,323,extensive,323,COMPLETE
46,0.000799304423594919,2025-12-07 01:49:40.109708,2025-12-07 01:49:41.611506,0 days 00:00:01.501798,2,extensive,2,COMPLETE
47,-0.8770486477845144,2025-12-07 01:49:41.611506,2025-12-07 01:49:43.111226,0 days 00:00:01.499720,65,extensive,65,COMPLETE
48,-85902.83220769842,2025-12-07 01:49:43.112290,2025-12-07 01:49:44.593666,0 days 00:00:01.481376,134,extensive,134,COMPLETE
49,-107358461.00417668,2025-12-07 01:49:44.594107,2025-12-07 01:49:46.110753,0 days 00:00:01.516646,273,extensive,273,COMPLETE
50,-0.9309188096474011,2025-12-07 01:49:46.111798,2025-12-07 01:49:47.528361,0 days 00:00:01.416563,91,extensive,91,COMPLETE
51,0.001391881667360891,2025-12-07 01:49:47.529471,2025-12-07 01:49:48.992614,0 days 00:00:01.463143,3,extensive,3,COMPLETE
52,-0.16363893036512547,2025-12-07 01:49:48.993618,2025-12-07 01:49:50.475720,0 days 00:00:01.482102,25,extensive,25,COMPLETE
53,-0.454065649603768,2025-12-07 01:49:50.476995,2025-12-07 01:49:51.954771,0 days 00:00:01.477776,47,extensive,47,COMPLETE
54,-0.14977220088363138,2025-12-07 01:49:51.955955,2025-12-07 01:49:53.459654,0 days 00:00:01.503699,24,extensive,24,COMPLETE
55,-0.8613539092891772,2025-12-07 01:49:53.460656,2025-12-07 01:49:54.962404,0 days 00:00:01.501748,72,extensive,72,COMPLETE
56,-0.5360179303110815,2025-12-07 01:49:54.963408,2025-12-07 01:49:56.461766,0 days 00:00:01.498358,51,extensive,51,COMPLETE
57,0.00013629396337352015,2025-12-07 01:49:56.463445,2025-12-07 01:49:57.954385,0 days 00:00:01.490940,1,extensive,1,COMPLETE
58,-0.1386605928207478,2025-12-07 01:49:57.955389,2025-12-07 01:49:59.412290,0 days 00:00:01.456901,22,extensive,22,COMPLETE
59,-78976425.29284357,2025-12-07 01:49:59.413321,2025-12-07 01:50:01.063258,0 days 00:00:01.649937,408,extensive,408,COMPLETE
60,-0.44123213377022735,2025-12-07 01:50:01.064262,2025-12-07 01:50:02.651509,0 days 00:00:01.587247,48,extensive,48,COMPLETE
61,-0.010674821554269206,2025-12-07 01:50:02.652722,2025-12-07 01:50:04.226163,0 days 00:00:01.573441,10,extensive,10,COMPLETE
62,0.001391881667360891,2025-12-07 01:50:04.226163,2025-12-07 01:50:05.762030,0 days 00:00:01.535867,3,extensive,3,COMPLETE
63,-0.4534630567419265,2025-12-07 01:50:05.763636,2025-12-07 01:50:07.225591,0 days 00:00:01.461955,37,extensive,37,COMPLETE
64,0.00013629396337352015,2025-12-07 01:50:07.225591,2025-12-07 01:50:08.677676,0 days 00:00:01.452085,1,extensive,1,COMPLETE
65,-0.10713237910019376,2025-12-07 01:50:08.679312,2025-12-07 01:50:10.145522,0 days 00:00:01.466210,20,extensive,20,COMPLETE
66,-0.8770486477845144,2025-12-07 01:50:10.146650,2025-12-07 01:50:11.626664,0 days 00:00:01.480014,65,extensive,65,COMPLETE
67,-0.4807108000418112,2025-12-07 01:50:11.627876,2025-12-07 01:50:13.094236,0 days 00:00:01.466360,39,extensive,39,COMPLETE
68,-0.04800100759305718,2025-12-07 01:50:13.095241,2025-12-07 01:50:14.579736,0 days 00:00:01.484495,17,extensive,17,COMPLETE
69,-0.9296080898382267,2025-12-07 01:50:14.580858,2025-12-07 01:50:16.044719,0 days 00:00:01.463861,92,extensive,92,COMPLETE
70,-0.5330826091822438,2025-12-07 01:50:16.045724,2025-12-07 01:50:17.463060,0 days 00:00:01.417336,55,extensive,55,COMPLETE
71,0.000799304423594919,2025-12-07 01:50:17.463683,2025-12-07 01:50:18.994192,0 days 00:00:01.530509,2,extensive,2,COMPLETE
72,-0.04800100759305718,2025-12-07 01:50:18.995209,2025-12-07 01:50:20.478377,0 days 00:00:01.483168,17,extensive,17,COMPLETE
73,-0.4579573080936658,2025-12-07 01:50:20.480021,2025-12-07 01:50:21.963789,0 days 00:00:01.483768,33,extensive,33,COMPLETE
74,0.00013629396337352015,2025-12-07 01:50:21.964793,2025-12-07 01:50:23.447085,0 days 00:00:01.482292,1,extensive,1,COMPLETE
75,-0.04800100759305718,2025-12-07 01:50:23.448641,2025-12-07 01:50:24.954391,0 days 00:00:01.505750,17,extensive,17,COMPLETE
76,-0.8617656336379534,2025-12-07 01:50:24.955468,2025-12-07 01:50:26.643395,0 days 00:00:01.687927,76,extensive,76,COMPLETE
77,-0.4731315592445838,2025-12-07 01:50:26.644401,2025-12-07 01:50:28.210294,0 days 00:00:01.565893,44,extensive,44,COMPLETE
78,-0.34061329142113594,2025-12-07 01:50:28.211299,2025-12-07 01:50:29.780749,0 days 00:00:01.569450,30,extensive,30,COMPLETE
79,-0.49425653385147705,2025-12-07 01:50:29.781820,2025-12-07 01:50:31.326599,0 days 00:00:01.544779,60,extensive,60,COMPLETE
80,-114912075.5706358,2025-12-07 01:50:31.327965,2025-12-07 01:50:32.921398,0 days 00:00:01.593433,166,extensive,166,COMPLETE
81,0.0008291072913103233,2025-12-07 01:50:32.923286,2025-12-07 01:50:34.527989,0 days 00:00:01.604703,4,extensive,4,COMPLETE
82,-0.012733381500614538,2025-12-07 01:50:34.529085,2025-12-07 01:50:36.029357,0 days 00:00:01.500272,13,extensive,13,COMPLETE
83,-0.3186315686483496,2025-12-07 01:50:36.030354,2025-12-07 01:50:37.510162,0 days 00:00:01.479808,28,extensive,28,COMPLETE
84,-0.010750185032226356,2025-12-07 01:50:37.510666,2025-12-07 01:50:39.045540,0 days 00:00:01.534874,12,extensive,12,COMPLETE
85,-0.4731315592445833,2025-12-07 01:50:39.046545,2025-12-07 01:50:40.547724,0 days 00:00:01.501179,43,extensive,43,COMPLETE
86,0.000799304423594919,2025-12-07 01:50:40.548830,2025-12-07 01:50:42.061670,0 days 00:00:01.512840,2,extensive,2,COMPLETE
87,-0.3186315686483496,2025-12-07 01:50:42.062877,2025-12-07 01:50:43.597940,0 days 00:00:01.535063,28,extensive,28,COMPLETE
88,-127709806.792454,2025-12-07 01:50:43.598945,2025-12-07 01:50:45.213589,0 days 00:00:01.614644,223,extensive,223,COMPLETE
89,-0.012733381500614538,2025-12-07 01:50:45.214099,2025-12-07 01:50:46.710602,0 days 00:00:01.496503,13,extensive,13,COMPLETE
90,-75363271.30611633,2025-12-07 01:50:46.712133,2025-12-07 01:50:48.381352,0 days 00:00:01.669219,355,extensive,355,COMPLETE
91,0.00013629396337352015,2025-12-07 01:50:48.382393,2025-12-07 01:50:50.048377,0 days 00:00:01.665984,1,extensive,1,COMPLETE
92,-0.14697050684435572,2025-12-07 01:50:50.049377,2025-12-07 01:50:51.775955,0 days 00:00:01.726578,23,extensive,23,COMPLETE
93,-0.47349228254818015,2025-12-07 01:50:51.776961,2025-12-07 01:50:53.402376,0 days 00:00:01.625415,40,extensive,40,COMPLETE
94,-0.010750185032226356,2025-12-07 01:50:53.403380,2025-12-07 01:50:55.038390,0 days 00:00:01.635010,12,extensive,12,COMPLETE
95,-0.5330826091822434,2025-12-07 01:50:55.039391,2025-12-07 01:50:56.646183,0 days 00:00:01.606792,54,extensive,54,COMPLETE
96,0.00013629396337352015,2025-12-07 01:50:56.647188,2025-12-07 01:50:58.356585,0 days 00:00:01.709397,1,extensive,1,COMPLETE
97,-0.31288649096271487,2025-12-07 01:50:58.356585,2025-12-07 01:51:00.042364,0 days 00:00:01.685779,32,extensive,32,COMPLETE
98,-0.1386605928207478,2025-12-07 01:51:00.043369,2025-12-07 01:51:01.706204,0 days 00:00:01.662835,22,extensive,22,COMPLETE
99,-0.9225821411965525,2025-12-07 01:51:01.708206,2025-12-07 01:51:03.362786,0 days 00:00:01.654580,81,extensive,81,COMPLETE
100,-0.010409126173960429,2025-12-07 01:51:03.364360,2025-12-07 01:51:05.029707,0 days 00:00:01.665347,11,extensive,11,COMPLETE
101,0.00013629396337352015,2025-12-07 01:51:05.030808,2025-12-07 01:51:06.732866,0 days 00:00:01.702058,1,extensive,1,COMPLETE
102,-0.47349228254818015,2025-12-07 01:51:06.734051,2025-12-07 01:51:08.283929,0 days 00:00:01.549878,40,extensive,40,COMPLETE
103,-0.011010024908003365,2025-12-07 01:51:08.285130,2025-12-07 01:51:09.911173,0 days 00:00:01.626043,9,extensive,9,COMPLETE
104,-0.14697050684435572,2025-12-07 01:51:09.912176,2025-12-07 01:51:11.460823,0 days 00:00:01.548647,23,extensive,23,COMPLETE
105,-0.8770486477845144,2025-12-07 01:51:11.461828,2025-12-07 01:51:13.019455,0 days 00:00:01.557627,65,extensive,65,COMPLETE
106,-0.011010024908003365,2025-12-07 01:51:13.020456,2025-12-07 01:51:14.589832,0 days 00:00:01.569376,9,extensive,9,COMPLETE
