number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
191,-0.011010024908003365,2025-12-07 01:53:21.903874,2025-12-07 01:53:23.354320,0 days 00:00:01.450446,9,extensive,9,COMPLETE
192,0.00013629396337352015,2025-12-07 01:53:23.355326,2025-12-07 01:53:24.821391,0 days 00:00:01.466065,1,extensive,1,COMPLETE
193,-0.010674821554269206,2025-12-07 01:53:24.822395,2025-12-07 01:53:26.290015,0 days 00:00:01.467620,10,extensive,10,COMPLETE
194,-0.1386605928207478,2025-12-07 01:53:26.291141,2025-12-07 01:53:27.757109,0 days 00:00:01.465968,22,extensive,22,COMPLETE
195,-0.011992748964072689,2025-12-07 01:53:27.758112,2025-12-07 01:53:29.252651,0 days 00:00:01.494539,16,extensive,16,COMPLETE
196,-211330383.3990607,2025-12-07 01:53:29.253973,2025-12-07 01:53:30.903879,0 days 00:00:01.649906,282,extensive,282,COMPLETE
197,0.000799304423594919,2025-12-07 01:53:30.904985,2025-12-07 01:53:32.380022,0 days 00:00:01.475037,2,extensive,2,COMPLETE
198,0.00013629396337352015,2025-12-07 01:53:32.381027,2025-12-07 01:53:33.817360,0 days 00:00:01.436333,1,extensive,1,COMPLETE
199,-0.4530154297209716,2025-12-07 01:53:33.818874,2025-12-07 01:53:35.252132,0 days 00:00:01.433258,35,extensive,35,COMPLETE
200,-0.2194678194145491,2025-12-07 01:53:35.253132,2025-12-07 01:53:36.623030,0 days 00:00:01.369898,27,extensive,27,COMPLETE
201,0.00013629396337352015,2025-12-07 01:53:36.624077,2025-12-07 01:53:37.988400,0 days 00:00:01.364323,1,extensive,1,COMPLETE
202,-0.010409126173960429,2025-12-07 01:53:37.989413,2025-12-07 01:53:39.390754,0 days 00:00:01.401341,11,extensive,11,COMPLETE
203,-0.010409126173960429,2025-12-07 01:53:39.391850,2025-12-07 01:53:40.770646,0 days 00:00:01.378796,11,extensive,11,COMPLETE
204,-0.04800100759305718,2025-12-07 01:53:40.771650,2025-12-07 01:53:42.188250,0 days 00:00:01.416600,17,extensive,17,COMPLETE
205,0.00013629396337352015,2025-12-07 01:53:42.189251,2025-12-07 01:53:43.555591,0 days 00:00:01.366340,1,extensive,1,COMPLETE
206,-0.010674821554269206,2025-12-07 01:53:43.557056,2025-12-07 01:53:44.973977,0 days 00:00:01.416921,10,extensive,10,COMPLETE
207,-0.13925416754899858,2025-12-07 01:53:44.974981,2025-12-07 01:53:46.337985,0 days 00:00:01.363004,21,extensive,21,COMPLETE
208,0.00013629396337352015,2025-12-07 01:53:46.338988,2025-12-07 01:53:47.724411,0 days 00:00:01.385423,1,extensive,1,COMPLETE
209,-0.21685349288984127,2025-12-07 01:53:47.726416,2025-12-07 01:53:49.105920,0 days 00:00:01.379504,26,extensive,26,COMPLETE
210,-0.010674821554269206,2025-12-07 01:53:49.106926,2025-12-07 01:53:50.474226,0 days 00:00:01.367300,10,extensive,10,COMPLETE
211,0.00013629396337352015,2025-12-07 01:53:50.475993,2025-12-07 01:53:51.840599,0 days 00:00:01.364606,1,extensive,1,COMPLETE
212,-0.011649764943585975,2025-12-07 01:53:51.841652,2025-12-07 01:53:53.204965,0 days 00:00:01.363313,14,extensive,14,COMPLETE
213,-0.010674821554269206,2025-12-07 01:53:53.204965,2025-12-07 01:53:54.572596,0 days 00:00:01.367631,10,extensive,10,COMPLETE
214,0.00013629396337352015,2025-12-07 01:53:54.573602,2025-12-07 01:53:55.957834,0 days 00:00:01.384232,1,extensive,1,COMPLETE
215,-0.11122591597735006,2025-12-07 01:53:55.959835,2025-12-07 01:53:57.356182,0 days 00:00:01.396347,19,extensive,19,COMPLETE
216,-0.011010024908003365,2025-12-07 01:53:57.357488,2025-12-07 01:53:58.791538,0 days 00:00:01.434050,9,extensive,9,COMPLETE
217,-112114986.10772575,2025-12-07 01:53:58.793136,2025-12-07 01:54:00.254390,0 days 00:00:01.461254,178,extensive,178,COMPLETE
218,-0.14977220088363138,2025-12-07 01:54:00.255927,2025-12-07 01:54:01.625365,0 days 00:00:01.369438,24,extensive,24,COMPLETE
219,-0.011992748964072689,2025-12-07 01:54:01.626439,2025-12-07 01:54:02.992223,0 days 00:00:01.365784,16,extensive,16,COMPLETE
220,0.00013629396337352015,2025-12-07 01:54:02.993226,2025-12-07 01:54:04.356472,0 days 00:00:01.363246,1,extensive,1,COMPLETE
221,-0.01102976205781018,2025-12-07 01:54:04.357805,2025-12-07 01:54:05.725250,0 days 00:00:01.367445,8,extensive,8,COMPLETE
222,0.00013629396337352015,2025-12-07 01:54:05.726254,2025-12-07 01:54:07.092005,0 days 00:00:01.365751,1,extensive,1,COMPLETE
223,-0.010409126173960429,2025-12-07 01:54:07.093057,2025-12-07 01:54:08.507894,0 days 00:00:01.414837,11,extensive,11,COMPLETE
224,-0.1386605928207478,2025-12-07 01:54:08.509706,2025-12-07 01:54:09.943287,0 days 00:00:01.433581,22,extensive,22,COMPLETE
225,0.00013629396337352015,2025-12-07 01:54:09.944470,2025-12-07 01:54:11.323165,0 days 00:00:01.378695,1,extensive,1,COMPLETE
226,-0.011992748964072689,2025-12-07 01:54:11.324171,2025-12-07 01:54:12.708286,0 days 00:00:01.384115,16,extensive,16,COMPLETE
227,-0.010409126173960429,2025-12-07 01:54:12.710030,2025-12-07 01:54:14.089975,0 days 00:00:01.379945,11,extensive,11,COMPLETE
228,-0.2194678194145491,2025-12-07 01:54:14.090991,2025-12-07 01:54:15.491951,0 days 00:00:01.400960,27,extensive,27,COMPLETE
229,-0.011010024908003365,2025-12-07 01:54:15.493630,2025-12-07 01:54:16.856715,0 days 00:00:01.363085,9,extensive,9,COMPLETE
230,-0.4530154297209716,2025-12-07 01:54:16.859718,2025-12-07 01:54:18.293217,0 days 00:00:01.433499,35,extensive,35,COMPLETE
231,0.000799304423594919,2025-12-07 01:54:18.293217,2025-12-07 01:54:19.706609,0 days 00:00:01.413392,2,extensive,2,COMPLETE
232,-0.011010024908003365,2025-12-07 01:54:19.707656,2025-12-07 01:54:21.106874,0 days 00:00:01.399218,9,extensive,9,COMPLETE
233,0.00013629396337352015,2025-12-07 01:54:21.107876,2025-12-07 01:54:22.522049,0 days 00:00:01.414173,1,extensive,1,COMPLETE
234,0.00013629396337352015,2025-12-07 01:54:22.524051,2025-12-07 01:54:23.923036,0 days 00:00:01.398985,1,extensive,1,COMPLETE
235,-0.04800100759305718,2025-12-07 01:54:23.923548,2025-12-07 01:54:25.307786,0 days 00:00:01.384238,17,extensive,17,COMPLETE
236,-0.04800100759305718,2025-12-07 01:54:25.309179,2025-12-07 01:54:26.675667,0 days 00:00:01.366488,17,extensive,17,COMPLETE
237,0.00013629396337352015,2025-12-07 01:54:26.676761,2025-12-07 01:54:28.055940,0 days 00:00:01.379179,1,extensive,1,COMPLETE
238,-0.010674821554269206,2025-12-07 01:54:28.057340,2025-12-07 01:54:29.425144,0 days 00:00:01.367804,10,extensive,10,COMPLETE
239,-0.10713237910019376,2025-12-07 01:54:29.425144,2025-12-07 01:54:30.906358,0 days 00:00:01.481214,20,extensive,20,COMPLETE
240,-0.010674821554269206,2025-12-07 01:54:30.908856,2025-12-07 01:54:32.374702,0 days 00:00:01.465846,10,extensive,10,COMPLETE
241,0.00013629396337352015,2025-12-07 01:54:32.375709,2025-12-07 01:54:33.791824,0 days 00:00:01.416115,1,extensive,1,COMPLETE
242,0.00013629396337352015,2025-12-07 01:54:33.793731,2025-12-07 01:54:35.239011,0 days 00:00:01.445280,1,extensive,1,COMPLETE
243,-0.010674821554269206,2025-12-07 01:54:35.241278,2025-12-07 01:54:36.609424,0 days 00:00:01.368146,10,extensive,10,COMPLETE
244,-0.04800100759305718,2025-12-07 01:54:36.611078,2025-12-07 01:54:37.976645,0 days 00:00:01.365567,17,extensive,17,COMPLETE
245,-0.011010024908003365,2025-12-07 01:54:37.977750,2025-12-07 01:54:39.375191,0 days 00:00:01.397441,9,extensive,9,COMPLETE
246,-0.16363893036512547,2025-12-07 01:54:39.376198,2025-12-07 01:54:40.774671,0 days 00:00:01.398473,25,extensive,25,COMPLETE
247,-0.010674821554269206,2025-12-07 01:54:40.775685,2025-12-07 01:54:42.207324,0 days 00:00:01.431639,10,extensive,10,COMPLETE
248,0.00013629396337352015,2025-12-07 01:54:42.207841,2025-12-07 01:54:43.591189,0 days 00:00:01.383348,1,extensive,1,COMPLETE
249,-88390061.14655983,2025-12-07 01:54:43.592385,2025-12-07 01:54:45.106226,0 days 00:00:01.513841,331,extensive,331,COMPLETE
250,-0.10713237910019376,2025-12-07 01:54:45.107230,2025-12-07 01:54:46.527747,0 days 00:00:01.420517,20,extensive,20,COMPLETE
251,0.00013629396337352015,2025-12-07 01:54:46.529685,2025-12-07 01:54:47.891374,0 days 00:00:01.361689,1,extensive,1,COMPLETE
252,-0.011992748964072689,2025-12-07 01:54:47.891374,2025-12-07 01:54:49.278048,0 days 00:00:01.386674,16,extensive,16,COMPLETE
253,-0.33982639641997886,2025-12-07 01:54:49.279467,2025-12-07 01:54:50.673774,0 days 00:00:01.394307,29,extensive,29,COMPLETE
254,-0.011010024908003365,2025-12-07 01:54:50.675006,2025-12-07 01:54:52.057541,0 days 00:00:01.382535,9,extensive,9,COMPLETE
255,0.00013629396337352015,2025-12-07 01:54:52.058961,2025-12-07 01:54:53.427441,0 days 00:00:01.368480,1,extensive,1,COMPLETE
256,-0.04800100759305718,2025-12-07 01:54:53.428472,2025-12-07 01:54:54.811123,0 days 00:00:01.382651,17,extensive,17,COMPLETE
257,-0.010409126173960429,2025-12-07 01:54:54.812769,2025-12-07 01:54:56.223806,0 days 00:00:01.411037,11,extensive,11,COMPLETE
258,-0.2194678194145491,2025-12-07 01:54:56.224796,2025-12-07 01:54:57.607556,0 days 00:00:01.382760,27,extensive,27,COMPLETE
259,0.00013629396337352015,2025-12-07 01:54:57.608559,2025-12-07 01:54:58.991806,0 days 00:00:01.383247,1,extensive,1,COMPLETE
260,-0.010409126173960429,2025-12-07 01:54:58.993305,2025-12-07 01:55:00.375598,0 days 00:00:01.382293,11,extensive,11,COMPLETE
261,-0.04807846876274654,2025-12-07 01:55:00.376603,2025-12-07 01:55:01.758440,0 days 00:00:01.381837,18,extensive,18,COMPLETE
262,-0.010674821554269206,2025-12-07 01:55:01.759980,2025-12-07 01:55:03.160097,0 days 00:00:01.400117,10,extensive,10,COMPLETE
263,0.00013629396337352015,2025-12-07 01:55:03.161095,2025-12-07 01:55:04.558326,0 days 00:00:01.397231,1,extensive,1,COMPLETE
264,-0.14977220088363138,2025-12-07 01:55:04.559041,2025-12-07 01:55:05.977275,0 days 00:00:01.418234,24,extensive,24,COMPLETE
265,-0.4537650500509045,2025-12-07 01:55:05.978281,2025-12-07 01:55:07.458048,0 days 00:00:01.479767,36,extensive,36,COMPLETE
266,-0.010674821554269206,2025-12-07 01:55:07.459048,2025-12-07 01:55:08.858001,0 days 00:00:01.398953,10,extensive,10,COMPLETE
267,-0.04807846876274654,2025-12-07 01:55:08.859345,2025-12-07 01:55:10.311544,0 days 00:00:01.452199,18,extensive,18,COMPLETE
268,-0.010674821554269206,2025-12-07 01:55:10.313293,2025-12-07 01:55:11.708492,0 days 00:00:01.395199,10,extensive,10,COMPLETE
269,-0.14977220088363138,2025-12-07 01:55:11.709872,2025-12-07 01:55:13.093021,0 days 00:00:01.383149,24,extensive,24,COMPLETE
270,0.00013629396337352015,2025-12-07 01:55:13.094865,2025-12-07 01:55:14.458175,0 days 00:00:01.363310,1,extensive,1,COMPLETE
271,-0.011010024908003365,2025-12-07 01:55:14.459530,2025-12-07 01:55:15.858910,0 days 00:00:01.399380,9,extensive,9,COMPLETE
272,-0.04807846876274654,2025-12-07 01:55:15.859679,2025-12-07 01:55:17.226422,0 days 00:00:01.366743,18,extensive,18,COMPLETE
273,0.00013629396337352015,2025-12-07 01:55:17.227567,2025-12-07 01:55:18.626763,0 days 00:00:01.399196,1,extensive,1,COMPLETE
274,-0.4774774736557738,2025-12-07 01:55:18.627777,2025-12-07 01:55:20.029403,0 days 00:00:01.401626,34,extensive,34,COMPLETE
275,-0.010674821554269206,2025-12-07 01:55:20.030554,2025-12-07 01:55:21.476586,0 days 00:00:01.446032,10,extensive,10,COMPLETE
276,-130287178.08096343,2025-12-07 01:55:21.477882,2025-12-07 01:55:23.027293,0 days 00:00:01.549411,240,extensive,240,COMPLETE
277,-0.21685349288984127,2025-12-07 01:55:23.028298,2025-12-07 01:55:24.460686,0 days 00:00:01.432388,26,extensive,26,COMPLETE
278,0.00013629396337352015,2025-12-07 01:55:24.461690,2025-12-07 01:55:25.924948,0 days 00:00:01.463258,1,extensive,1,COMPLETE
279,-0.04800100759305718,2025-12-07 01:55:25.926837,2025-12-07 01:55:27.329289,0 days 00:00:01.402452,17,extensive,17,COMPLETE
280,-0.010674821554269206,2025-12-07 01:55:27.330425,2025-12-07 01:55:28.725849,0 days 00:00:01.395424,10,extensive,10,COMPLETE
281,-78605724.86543329,2025-12-07 01:55:28.726853,2025-12-07 01:55:30.280070,0 days 00:00:01.553217,416,extensive,416,COMPLETE
282,-34158950.27332225,2025-12-07 01:55:30.281070,2025-12-07 01:55:31.845119,0 days 00:00:01.564049,484,extensive,484,COMPLETE
283,0.00013629396337352015,2025-12-07 01:55:31.846342,2025-12-07 01:55:33.226167,0 days 00:00:01.379825,1,extensive,1,COMPLETE
284,-0.011992748964072689,2025-12-07 01:55:33.228005,2025-12-07 01:55:34.596431,0 days 00:00:01.368426,16,extensive,16,COMPLETE
285,-0.2194678194145491,2025-12-07 01:55:34.597435,2025-12-07 01:55:35.962313,0 days 00:00:01.364878,27,extensive,27,COMPLETE
286,-0.011010024908003365,2025-12-07 01:55:35.964303,2025-12-07 01:55:37.345325,0 days 00:00:01.381022,9,extensive,9,COMPLETE
287,-0.10713237910019376,2025-12-07 01:55:37.345325,2025-12-07 01:55:38.711340,0 days 00:00:01.366015,20,extensive,20,COMPLETE
288,0.00013629396337352015,2025-12-07 01:55:38.712355,2025-12-07 01:55:40.157986,0 days 00:00:01.445631,1,extensive,1,COMPLETE
289,-0.47349228254818015,2025-12-07 01:55:40.159192,2025-12-07 01:55:41.527741,0 days 00:00:01.368549,40,extensive,40,COMPLETE
290,-0.010409126173960429,2025-12-07 01:55:41.528741,2025-12-07 01:55:42.979806,0 days 00:00:01.451065,11,extensive,11,COMPLETE
291,-0.011992748964072689,2025-12-07 01:55:42.981609,2025-12-07 01:55:44.378474,0 days 00:00:01.396865,16,extensive,16,COMPLETE
292,0.00013629396337352015,2025-12-07 01:55:44.379479,2025-12-07 01:55:45.681227,0 days 00:00:01.301748,1,extensive,1,COMPLETE
293,-0.3186315686483496,2025-12-07 01:55:45.682226,2025-12-07 01:55:47.059540,0 days 00:00:01.377314,28,extensive,28,COMPLETE
294,-0.010674821554269206,2025-12-07 01:55:47.060540,2025-12-07 01:55:48.459256,0 days 00:00:01.398716,10,extensive,10,COMPLETE
295,-0.14697050684435572,2025-12-07 01:55:48.460255,2025-12-07 01:55:49.861980,0 days 00:00:01.401725,23,extensive,23,COMPLETE
296,0.00013629396337352015,2025-12-07 01:55:49.861980,2025-12-07 01:55:51.260849,0 days 00:00:01.398869,1,extensive,1,COMPLETE
297,-0.010409126173960429,2025-12-07 01:55:51.261687,2025-12-07 01:55:52.661592,0 days 00:00:01.399905,11,extensive,11,COMPLETE
298,-0.04800100759305718,2025-12-07 01:55:52.662816,2025-12-07 01:55:54.045751,0 days 00:00:01.382935,17,extensive,17,COMPLETE
299,0.00013629396337352015,2025-12-07 01:55:54.046268,2025-12-07 01:55:55.448781,0 days 00:00:01.402513,1,extensive,1,COMPLETE
