number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
39,-0.27147138189559383,2025-12-07 01:56:55.698458,2025-12-07 01:56:57.230100,0 days 00:00:01.531642,147.9736163841426,103,extensive,103,COMPLETE
40,-0.25487959440767155,2025-12-07 01:56:57.230100,2025-12-07 01:56:58.785928,0 days 00:00:01.555828,31.88214508369307,30,extensive,30,COMPLETE
41,0.0017031297842815911,2025-12-07 01:56:58.786926,2025-12-07 01:57:00.298471,0 days 00:00:01.511545,760.9755538581537,2,extensive,2,COMPLETE
42,0.0014656982685699038,2025-12-07 01:57:00.300187,2025-12-07 01:57:01.851482,0 days 00:00:01.551295,440.62924131555053,2,extensive,2,COMPLETE
43,-0.08893675713097293,2025-12-07 01:57:01.852524,2025-12-07 01:57:03.412602,0 days 00:00:01.560078,425.6947150640664,40,extensive,40,COMPLETE
44,-0.29305710579453265,2025-12-07 01:57:03.415108,2025-12-07 01:57:04.915372,0 days 00:00:01.500264,121.7922827179731,69,extensive,69,COMPLETE
45,-0.4579471840173795,2025-12-07 01:57:04.915372,2025-12-07 01:57:06.432053,0 days 00:00:01.516681,0.0008911314410141324,33,extensive,33,COMPLETE
46,-2.265118448010004,2025-12-07 01:57:06.433320,2025-12-07 01:57:08.100914,0 days 00:00:01.667594,535.0772763253772,398,extensive,398,COMPLETE
47,-0.22725327804887163,2025-12-07 01:57:08.102145,2025-12-07 01:57:09.567046,0 days 00:00:01.464901,184.99934499956902,92,extensive,92,COMPLETE
48,-2.1923931704026303,2025-12-07 01:57:09.567046,2025-12-07 01:57:11.066179,0 days 00:00:01.499133,56.72346049551837,251,extensive,251,COMPLETE
49,-0.32339999298490457,2025-12-07 01:57:11.067192,2025-12-07 01:57:12.534437,0 days 00:00:01.467245,3.7170010616693214,31,extensive,31,COMPLETE
50,0.0007371485562656099,2025-12-07 01:57:12.534437,2025-12-07 01:57:13.968580,0 days 00:00:01.434143,570.6018269880552,1,extensive,1,COMPLETE
51,0.0029660813019307675,2025-12-07 01:57:13.969285,2025-12-07 01:57:15.401437,0 days 00:00:01.432152,928.8558619253896,3,extensive,3,COMPLETE
52,-0.16906228053090455,2025-12-07 01:57:15.402472,2025-12-07 01:57:16.849995,0 days 00:00:01.447523,197.0790769839346,52,extensive,52,COMPLETE
53,-0.15308698965301404,2025-12-07 01:57:16.851001,2025-12-07 01:57:18.299682,0 days 00:00:01.448681,77.36874041314555,26,extensive,26,COMPLETE
54,-0.05772165709406696,2025-12-07 01:57:18.301701,2025-12-07 01:57:19.815089,0 days 00:00:01.513388,993.7431520855379,58,extensive,58,COMPLETE
55,0.0005125187173528797,2025-12-07 01:57:19.816093,2025-12-07 01:57:21.299562,0 days 00:00:01.483469,275.85190612080515,1,extensive,1,COMPLETE
56,-0.05642378600760264,2025-12-07 01:57:21.300720,2025-12-07 01:57:22.748473,0 days 00:00:01.447753,591.112081375915,22,extensive,22,COMPLETE
57,-70.75234709902844,2025-12-07 01:57:22.750474,2025-12-07 01:57:24.215391,0 days 00:00:01.464917,0.4182808255452213,127,extensive,127,COMPLETE
58,-143.40839315489498,2025-12-07 01:57:24.216880,2025-12-07 01:57:25.701930,0 days 00:00:01.485050,17.397398510052046,176,extensive,176,COMPLETE
59,-0.6973738522172276,2025-12-07 01:57:25.704105,2025-12-07 01:57:27.166687,0 days 00:00:01.462582,219.6618508650855,286,extensive,286,COMPLETE
60,-0.32003230405152966,2025-12-07 01:57:27.167729,2025-12-07 01:57:28.597064,0 days 00:00:01.429335,44.569233207169006,55,extensive,55,COMPLETE
61,0.0007965864234269112,2025-12-07 01:57:28.598069,2025-12-07 01:57:29.983064,0 days 00:00:01.384995,690.9408032251698,1,extensive,1,COMPLETE
62,-0.027882743681386435,2025-12-07 01:57:29.984322,2025-12-07 01:57:31.402116,0 days 00:00:01.417794,896.9935293948986,18,extensive,18,COMPLETE
63,-0.09549478839764951,2025-12-07 01:57:31.404104,2025-12-07 01:57:32.852260,0 days 00:00:01.448156,377.8545632186312,42,extensive,42,COMPLETE
64,-0.10690647345921904,2025-12-07 01:57:32.853293,2025-12-07 01:57:34.282817,0 days 00:00:01.429524,96.57638568420334,22,extensive,22,COMPLETE
65,-5437.125083689595,2025-12-07 01:57:34.283522,2025-12-07 01:57:35.815353,0 days 00:00:01.531831,996.8089467442966,495,extensive,495,COMPLETE
66,-0.10664729067988876,2025-12-07 01:57:35.816989,2025-12-07 01:57:37.233718,0 days 00:00:01.416729,513.0283364695516,81,extensive,81,COMPLETE
67,-0.17775380700727483,2025-12-07 01:57:37.234741,2025-12-07 01:57:38.568736,0 days 00:00:01.333995,265.20355356990734,103,extensive,103,COMPLETE
68,-0.009749288954521282,2025-12-07 01:57:38.570258,2025-12-07 01:57:40.050840,0 days 00:00:01.480582,184.60973033203638,14,extensive,14,COMPLETE
69,-0.16702787977286224,2025-12-07 01:57:40.051851,2025-12-07 01:57:41.570372,0 days 00:00:01.518521,126.17125287641598,45,extensive,45,COMPLETE
70,-0.0936676485981504,2025-12-07 01:57:41.571377,2025-12-07 01:57:43.018618,0 days 00:00:01.447241,601.4403486586241,66,extensive,66,COMPLETE
71,0.0008920794355784892,2025-12-07 01:57:43.019622,2025-12-07 01:57:44.471103,0 days 00:00:01.451481,989.930929423918,1,extensive,1,COMPLETE
72,-0.007870116777291694,2025-12-07 01:57:44.472108,2025-12-07 01:57:45.948503,0 days 00:00:01.476395,338.6620539635655,9,extensive,9,COMPLETE
73,-0.06735233318206901,2025-12-07 01:57:45.949503,2025-12-07 01:57:47.515127,0 days 00:00:01.565624,574.7132786771632,32,extensive,32,COMPLETE
74,-0.009583431458324335,2025-12-07 01:57:47.517130,2025-12-07 01:57:48.984737,0 days 00:00:01.467607,325.23987215339537,13,extensive,13,COMPLETE
75,0.0017920150270707518,2025-12-07 01:57:48.985756,2025-12-07 01:57:50.470263,0 days 00:00:01.484507,957.8113060150982,2,extensive,2,COMPLETE
76,-0.47283742933886613,2025-12-07 01:57:50.471412,2025-12-07 01:57:51.851390,0 days 00:00:01.379978,0.025680747560300105,42,extensive,42,COMPLETE
77,-0.07884933023267167,2025-12-07 01:57:51.852675,2025-12-07 01:57:53.241665,0 days 00:00:01.388990,439.18847566830743,26,extensive,26,COMPLETE
78,-0.14672300884159103,2025-12-07 01:57:53.243673,2025-12-07 01:57:54.671377,0 days 00:00:01.427704,232.58361989954506,62,extensive,62,COMPLETE
79,-0.010575469752153177,2025-12-07 01:57:54.672382,2025-12-07 01:57:56.150717,0 days 00:00:01.478335,113.60648030533014,16,extensive,16,COMPLETE
80,0.00013629416750260415,2025-12-07 01:57:56.151722,2025-12-07 01:57:57.534894,0 days 00:00:01.383172,0.00011334514313456057,1,extensive,1,COMPLETE
81,0.0008705156864682687,2025-12-07 01:57:57.535896,2025-12-07 01:57:58.970507,0 days 00:00:01.434611,902.6279883246135,1,extensive,1,COMPLETE
82,-0.6475943073460192,2025-12-07 01:57:58.971643,2025-12-07 01:58:00.444411,0 days 00:00:01.472768,613.6916063092218,217,extensive,217,COMPLETE
83,-0.08764705733473303,2025-12-07 01:58:00.445914,2025-12-07 01:58:01.871205,0 days 00:00:01.425291,413.88872247757376,48,extensive,48,COMPLETE
84,-0.05646842817724743,2025-12-07 01:58:01.872239,2025-12-07 01:58:03.369076,0 days 00:00:01.496837,754.0864873503045,32,extensive,32,COMPLETE
85,-0.08081632777167846,2025-12-07 01:58:03.370080,2025-12-07 01:58:04.866409,0 days 00:00:01.496329,176.65121018996095,19,extensive,19,COMPLETE
86,-0.10637183241252335,2025-12-07 01:58:04.867413,2025-12-07 01:58:06.302917,0 days 00:00:01.435504,279.323442768723,36,extensive,36,COMPLETE
