number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-34.6164732868097,2025-12-07 18:48:44.851135,2025-12-07 18:48:45.092940,0 days 00:00:00.241805,0.041858227295469716,none,COMPLETE
1,-0.3236302049846189,2025-12-07 18:48:45.099482,2025-12-07 18:48:45.337288,0 days 00:00:00.237806,451.85609510240965,none,COMPLETE
