number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-428311532.9632318,2025-12-07 18:48:05.289828,2025-12-07 18:48:10.344231,0 days 00:00:05.054403,medium,COMPLETE
1,-428311532.9632318,2025-12-07 18:48:10.350344,2025-12-07 18:48:14.805048,0 days 00:00:04.454704,medium,COMPLETE
