number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-34.77475430736301,2025-12-07 18:47:47.804140,2025-12-07 18:47:51.643848,0 days 00:00:03.839708,none,COMPLETE
1,-34.77475430736301,2025-12-07 18:47:51.649357,2025-12-07 18:47:54.524095,0 days 00:00:02.874738,none,COMPLETE
