number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_feature_level,user_attrs_feature_level,state
34,-0.0009470627492772868,2025-12-04 20:19:35.003941,2025-12-04 20:19:35.363163,0 days 00:00:00.359222,0.004868511869920284,0.46210867881744877,simple2,simple2,COMPLETE
35,-0.19888121244032933,2025-12-04 20:19:35.363163,2025-12-04 20:19:35.842855,0 days 00:00:00.479692,0.0006700589483495765,0.09817031464901499,simple,simple,COMPLETE
36,0.00011755883323464704,2025-12-04 20:19:35.843855,2025-12-04 20:19:36.215358,0 days 00:00:00.371503,0.0021202029452276863,0.36850159224611667,simple2,simple2,COMPLETE
37,-0.0009470627492772868,2025-12-04 20:19:36.216361,2025-12-04 20:19:36.572916,0 days 00:00:00.356555,0.01396816983158268,0.5303486539029416,simple2,simple2,COMPLETE
38,-0.0522122213277593,2025-12-04 20:19:36.573917,2025-12-04 20:19:37.075471,0 days 00:00:00.501554,0.0004319598211416513,0.3327383791700881,simple2,simple2,COMPLETE
39,-0.18394916728107602,2025-12-04 20:19:37.076471,2025-12-04 20:19:37.250054,0 days 00:00:00.173583,0.00014539523630871715,0.4819035892815997,simple,simple,COMPLETE
40,0.0010168955857001727,2025-12-04 20:19:37.251053,2025-12-04 20:19:38.905065,0 days 00:00:01.654012,0.0007303007437268735,0.9962253844052451,medium,medium,COMPLETE
41,-0.0009470627492772868,2025-12-04 20:19:38.906066,2025-12-04 20:19:40.560794,0 days 00:00:01.654728,0.0033388352536651723,0.9640759118942189,medium,medium,COMPLETE
42,0.0009156836114750563,2025-12-04 20:19:40.561792,2025-12-04 20:19:42.238152,0 days 00:00:01.676360,0.0007497370804059188,0.9938427850497087,medium,medium,COMPLETE
43,-0.12351424829373563,2025-12-04 20:19:42.239156,2025-12-04 20:19:44.117444,0 days 00:00:01.878288,0.0002117481710752872,0.8430384969599768,medium,medium,COMPLETE
44,-0.5537771671383181,2025-12-04 20:19:44.118444,2025-12-04 20:19:46.210340,0 days 00:00:02.091896,0.0001006293454384256,0.9236453559715757,medium,medium,COMPLETE
45,-0.005223506641482745,2025-12-04 20:19:46.211340,2025-12-04 20:19:46.591413,0 days 00:00:00.380073,0.0004363557072518259,0.5432889962527271,simple2,simple2,COMPLETE
46,-0.0009470627492772868,2025-12-04 20:19:46.592412,2025-12-04 20:19:46.690462,0 days 00:00:00.098050,0.0048041309492064714,0.3887821325423697,none,none,COMPLETE
47,0.0016684508681236165,2025-12-04 20:19:46.691462,2025-12-04 20:19:46.831447,0 days 00:00:00.139985,0.002253908018846132,0.2967801633518765,simple,simple,COMPLETE
48,-0.0009470627492772868,2025-12-04 20:19:46.832446,2025-12-04 20:19:46.973680,0 days 00:00:00.141234,0.009448246793665837,0.13216827715702567,simple,simple,COMPLETE
49,-0.0009470627492772868,2025-12-04 20:19:46.974680,2025-12-04 20:19:47.114261,0 days 00:00:00.139581,2.8040263943179315,0.27357227878644863,simple,simple,COMPLETE
50,-0.0009470627492772868,2025-12-04 20:19:47.115765,2025-12-04 20:19:47.256313,0 days 00:00:00.140548,0.06597192233289303,0.32131244014901206,simple,simple,COMPLETE
51,-0.010883366823317845,2025-12-04 20:19:47.256313,2025-12-04 20:19:47.607208,0 days 00:00:00.350895,0.0009385926897785344,0.20945588018759112,simple,simple,COMPLETE
52,-0.0003051725984770289,2025-12-04 20:19:47.608208,2025-12-04 20:19:49.249073,0 days 00:00:01.640865,0.001755626556187521,0.5103576488671737,medium,medium,COMPLETE
53,-0.0009470627492772868,2025-12-04 20:19:49.250586,2025-12-04 20:19:49.358360,0 days 00:00:00.107774,0.002955138125925748,0.7389295189629956,none,none,COMPLETE
54,0.0015855000972544442,2025-12-04 20:19:49.358360,2025-12-04 20:19:49.721416,0 days 00:00:00.363056,0.0014062488530265903,0.400111187343992,simple2,simple2,COMPLETE
55,-0.0009470627492772868,2025-12-04 20:19:49.722416,2025-12-04 20:19:50.086120,0 days 00:00:00.363704,0.005298894912754704,0.40075041556279756,simple2,simple2,COMPLETE
56,0.0019625990959747006,2025-12-04 20:19:50.087123,2025-12-04 20:19:50.445053,0 days 00:00:00.357930,0.001361350605467146,0.31776290390854056,simple2,simple2,COMPLETE
57,-0.12796136151718765,2025-12-04 20:19:50.446052,2025-12-04 20:19:51.156711,0 days 00:00:00.710659,0.0004363074399943232,0.23986170357694936,simple2,simple2,COMPLETE
58,0.0014591433989568081,2025-12-04 20:19:51.157710,2025-12-04 20:19:51.509751,0 days 00:00:00.352041,0.0013521975902999889,0.44054914387883737,simple2,simple2,COMPLETE
59,-0.0009470627492772868,2025-12-04 20:19:51.510751,2025-12-04 20:19:51.864052,0 days 00:00:00.353301,0.211774247450076,0.3486866271505802,simple2,simple2,COMPLETE
60,0.001597268841025512,2025-12-04 20:19:51.865554,2025-12-04 20:19:52.259208,0 days 00:00:00.393654,0.0012909092158715574,0.4334270919707194,simple2,simple2,COMPLETE
61,0.0012954117807889576,2025-12-04 20:19:52.260210,2025-12-04 20:19:52.607258,0 days 00:00:00.347048,0.0014028101249079624,0.44786551921803625,simple2,simple2,COMPLETE
62,0.0006722695490002742,2025-12-04 20:19:52.608258,2025-12-04 20:19:52.959020,0 days 00:00:00.350762,0.0016577664103251165,0.4334603429265459,simple2,simple2,COMPLETE
63,0.0018663970390760214,2025-12-04 20:19:52.960025,2025-12-04 20:19:53.311780,0 days 00:00:00.351755,0.0012259111151512508,0.37148819982661574,simple2,simple2,COMPLETE
64,-0.0009470627492772868,2025-12-04 20:19:53.312781,2025-12-04 20:19:53.669828,0 days 00:00:00.357047,0.0035474348916077784,0.3693786900859436,simple2,simple2,COMPLETE
65,-0.0009470627492772868,2025-12-04 20:19:53.670830,2025-12-04 20:19:54.027885,0 days 00:00:00.357055,0.007535317072158902,0.30440385786772217,simple2,simple2,COMPLETE
66,-0.06906119917488589,2025-12-04 20:19:54.028885,2025-12-04 20:19:54.502559,0 days 00:00:00.473674,0.00032469445465689936,0.40384256449545847,simple2,simple2,COMPLETE
67,0.0016353352826607621,2025-12-04 20:19:54.503061,2025-12-04 20:19:54.806104,0 days 00:00:00.303043,0.0010617772184345956,0.2698390557662193,simple,simple,COMPLETE
68,0.0016955097397263936,2025-12-04 20:19:54.807106,2025-12-04 20:19:54.953184,0 days 00:00:00.146078,0.0026359213431172736,0.25224420904327916,simple,simple,COMPLETE
69,-0.0009470627492772868,2025-12-04 20:19:54.954760,2025-12-04 20:19:55.097488,0 days 00:00:00.142728,0.022780243248398307,0.26165179902207436,simple,simple,COMPLETE
70,-0.025518521294398393,2025-12-04 20:19:55.097488,2025-12-04 20:19:55.446479,0 days 00:00:00.348991,0.000970042879984813,0.17145388713651094,simple,simple,COMPLETE
71,0.0026136011269976,2025-12-04 20:19:55.446479,2025-12-04 20:19:55.631559,0 days 00:00:00.185080,0.002297889854233867,0.21754395391584513,simple,simple,COMPLETE
72,0.0032084462687892077,2025-12-04 20:19:55.632561,2025-12-04 20:19:55.897317,0 days 00:00:00.264756,0.002153263733968098,0.14684126004331438,simple,simple,COMPLETE
73,0.00350411142814544,2025-12-04 20:19:55.897317,2025-12-04 20:19:56.152339,0 days 00:00:00.255022,0.0025220411103235676,0.1329601965099641,simple,simple,COMPLETE
74,-0.01588109460591521,2025-12-04 20:19:56.158342,2025-12-04 20:19:56.447267,0 days 00:00:00.288925,0.0025294480629373785,0.07317309542386724,simple,simple,COMPLETE
75,0.0019902308573584993,2025-12-04 20:19:56.447853,2025-12-04 20:19:56.598908,0 days 00:00:00.151055,0.004309329673885243,0.1434218530687332,simple,simple,COMPLETE
76,0.0018288039500757858,2025-12-04 20:19:56.598908,2025-12-04 20:19:56.745820,0 days 00:00:00.146912,0.0045778571539909635,0.14074159134299352,simple,simple,COMPLETE
77,-0.0009470627492772868,2025-12-04 20:19:56.746821,2025-12-04 20:19:56.894120,0 days 00:00:00.147299,0.016085315427077918,0.11348046479797264,simple,simple,COMPLETE
78,-0.07210602343953791,2025-12-04 20:19:56.895123,2025-12-04 20:19:57.123620,0 days 00:00:00.228497,0.00645731569990057,0.01699062034865939,simple,simple,COMPLETE
79,0.0014716929016180824,2025-12-04 20:19:57.125407,2025-12-04 20:19:57.268694,0 days 00:00:00.143287,0.004767537644026466,0.14590047771842832,simple,simple,COMPLETE
80,0.0006591518297628755,2025-12-04 20:19:57.268694,2025-12-04 20:19:57.408098,0 days 00:00:00.139404,0.00396958408824262,0.19966855715884352,simple,simple,COMPLETE
81,-0.0009470627492772868,2025-12-04 20:19:57.409098,2025-12-04 20:19:57.549463,0 days 00:00:00.140365,0.010349408712405117,0.23632896445493612,simple,simple,COMPLETE
82,-0.046376536424362756,2025-12-04 20:19:57.550464,2025-12-04 20:19:57.878456,0 days 00:00:00.327992,0.0019079052753588257,0.06968341612412109,simple,simple,COMPLETE
83,0.0023918278568651288,2025-12-04 20:19:57.880005,2025-12-04 20:19:58.045555,0 days 00:00:00.165550,0.003219561487241739,0.16800267578930628,simple,simple,COMPLETE
84,-0.10466174253724551,2025-12-04 20:19:58.046557,2025-12-04 20:19:58.477035,0 days 00:00:00.430478,0.0005395990087140562,0.17861274607930028,simple,simple,COMPLETE
85,0.0009707568243964385,2025-12-04 20:19:58.478036,2025-12-04 20:19:58.626462,0 days 00:00:00.148426,0.006979784499114252,0.10852414737714719,simple,simple,COMPLETE
86,0.0024332365899115325,2025-12-04 20:19:58.627464,2025-12-04 20:19:58.788496,0 days 00:00:00.161032,0.0034495102026096615,0.15464525755336492,simple,simple,COMPLETE
87,-0.04236360801330844,2025-12-04 20:19:58.788496,2025-12-04 20:19:59.068215,0 days 00:00:00.279719,0.0032680323565236276,0.04176279751853383,simple,simple,COMPLETE
88,-0.03853183387802428,2025-12-04 20:19:59.069255,2025-12-04 20:19:59.367620,0 days 00:00:00.298365,0.000829681209380875,0.16054758092211763,none,none,COMPLETE
89,-0.02915820787252103,2025-12-04 20:19:59.368622,2025-12-04 20:19:59.665892,0 days 00:00:00.297270,0.00197005131902519,0.08082929284209604,simple,simple,COMPLETE
90,-0.0009470627492772868,2025-12-04 20:19:59.666897,2025-12-04 20:19:59.810638,0 days 00:00:00.143741,0.00850469598854372,0.20817454813464384,simple,simple,COMPLETE
91,0.0013955214111301222,2025-12-04 20:19:59.811639,2025-12-04 20:19:59.964300,0 days 00:00:00.152661,0.00534064743886713,0.13209619044303922,simple,simple,COMPLETE
92,0.0025186119059910084,2025-12-04 20:19:59.965802,2025-12-04 20:20:00.139228,0 days 00:00:00.173426,0.003725380504633079,0.13870223122626227,simple,simple,COMPLETE
93,0.0023739267352594537,2025-12-04 20:20:00.140228,2025-12-04 20:20:00.295707,0 days 00:00:00.155479,0.0027825590758734165,0.1955726588031355,simple,simple,COMPLETE
94,-0.056060500218934495,2025-12-04 20:20:00.296708,2025-12-04 20:20:00.583552,0 days 00:00:00.286844,0.0028463001384987758,0.04340935441657187,simple,simple,COMPLETE
95,-0.0009470627492772868,2025-12-04 20:20:00.584551,2025-12-04 20:20:00.725472,0 days 00:00:00.140921,0.013002289859813478,0.19686010494512152,simple,simple,COMPLETE
96,0.00370862577385996,2025-12-04 20:20:00.726470,2025-12-04 20:20:00.953925,0 days 00:00:00.227455,0.0016644996335874432,0.22941157478379956,simple,simple,COMPLETE
97,-0.0005200873995624781,2025-12-04 20:20:00.954925,2025-12-04 20:20:01.096996,0 days 00:00:00.142071,0.0040251728217873435,0.2295560939211695,simple,simple,COMPLETE
98,0.003457172649973176,2025-12-04 20:20:01.096996,2025-12-04 20:20:01.364065,0 days 00:00:00.267069,0.0020859148195773508,0.15882627053053858,simple,simple,COMPLETE
99,0.0010925844464428163,2025-12-04 20:20:01.364065,2025-12-04 20:20:01.533275,0 days 00:00:00.169210,0.005999007717350973,0.12390304434704982,simple,simple,COMPLETE
