number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
13,-0.11805723294746288,2025-12-04 19:34:12.895833,2025-12-04 19:36:21.965742,0 days 00:02:09.069909,0.6868767216042063,0.012929109590202272,6,14,1777,0.02616525959119631,1.654667832673062,0.5502249707155165,advanced,COMPLETE
14,-0.0007083561337805447,2025-12-04 19:36:21.966742,2025-12-04 19:37:36.203157,0 days 00:01:14.236415,0.5768429036921325,0.0010527493992239132,8,7,3093,1.0521471406933727,12.653974483143825,0.41052777792639944,extensive,COMPLETE
15,-0.0006181415893167971,2025-12-04 19:37:36.204157,2025-12-04 19:38:22.378142,0 days 00:00:46.173985,0.39933376883122673,0.0011992676813657864,8,1,3972,1.2610455351873031,19.632608536202262,0.6411740507755772,medium,COMPLETE
16,-0.0009470627425554786,2025-12-04 19:38:22.379648,2025-12-04 19:38:59.305050,0 days 00:00:36.925402,0.34538972792469413,0.001739992513359272,8,1,3045,2.7394183009450592,17.953024930662092,0.6722417975397463,advanced,COMPLETE
17,-0.0009470627425554786,2025-12-04 19:38:59.306050,2025-12-04 19:39:40.490779,0 days 00:00:41.184729,0.4098198017102643,0.0010034519882919303,9,1,3290,3.348854617915514,10.5548093564242,0.6349984685340704,extensive,COMPLETE
18,-0.0009121034497552305,2025-12-04 19:39:40.492281,2025-12-04 19:40:05.174308,0 days 00:00:24.682027,0.5467800682438999,0.0024047192356631154,8,6,2584,1.5805620053249603,19.929368963076485,0.8109104317140341,medium,COMPLETE
19,-0.01708988227555867,2025-12-04 19:40:05.176309,2025-12-04 19:42:33.874002,0 days 00:02:28.697693,0.42567652732474737,0.004084829101437756,10,7,2270,0.4508702647371394,10.69809122384853,0.5261975824598271,advanced,COMPLETE
20,-0.0006797897158630217,2025-12-04 19:42:33.876004,2025-12-04 19:43:53.026027,0 days 00:01:19.150023,0.39041314209204325,0.0018085774979386977,8,3,3958,1.207917130883944,4.990821588678151,0.65112670252026,extensive,COMPLETE
21,-0.0006325625505185783,2025-12-04 19:43:53.027027,2025-12-04 19:44:36.291300,0 days 00:00:43.264273,0.39129578099903506,0.001609397586439086,8,3,3935,1.2462871314911264,10.850725756055738,0.5996503226744458,medium,COMPLETE
22,-0.0009470627425554786,2025-12-04 19:44:36.293300,2025-12-04 19:45:21.653567,0 days 00:00:45.360267,0.3824994348301845,0.0018577340190085681,9,3,3827,2.1498727945817766,4.945753660050298,0.6067457421076956,advanced,COMPLETE
