number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
25,-0.0009470627455911244,2025-12-04 19:16:34.023931,2025-12-04 19:16:48.655629,0 days 00:00:14.631698,0.5016216715208529,0.018691729023918215,9,56,3537,75,4.46118262716303,1.0537669107751781,0.5769580205167225,advanced,COMPLETE
26,-0.0009470627455911244,2025-12-04 19:16:48.656628,2025-12-04 19:17:01.746442,0 days 00:00:13.089814,0.6318183055360883,0.051678821666055655,11,68,2636,57,2.898021307013137,2.4520788364039303,0.5316259173626035,extensive,COMPLETE
27,-0.0009470627455911244,2025-12-04 19:17:01.747447,2025-12-04 19:17:06.259670,0 days 00:00:04.512223,0.5824131016865504,0.00511551578857937,7,29,1287,93,3.6756965920817457,4.743843167208924,0.5003712886849931,medium,COMPLETE
28,-0.0009470627455911244,2025-12-04 19:17:06.260670,2025-12-04 19:17:17.945877,0 days 00:00:11.685207,0.7127472863074971,0.01953214220964272,10,84,2268,48,4.287106437812772,7.5394801520906265,0.6199101734871251,advanced,COMPLETE
29,-0.0009470627455911244,2025-12-04 19:17:17.947877,2025-12-04 19:17:24.289822,0 days 00:00:06.341945,0.563917670501326,0.09081233325472558,3,42,527,104,1.9863961820855325,12.797370946116917,0.6098706349031786,extensive,COMPLETE
30,-0.021201480442258964,2025-12-04 19:17:24.290324,2025-12-04 19:17:31.779748,0 days 00:00:07.489424,0.7949866834933749,0.009153854066940399,4,89,879,100,0.4467440183902922,1.743767283939546,0.6902474537269896,medium,COMPLETE
31,-0.0009470627455911244,2025-12-04 19:17:31.781250,2025-12-04 19:17:36.176019,0 days 00:00:04.394769,0.7757832874522333,0.03903963879726621,3,50,217,50,4.5734191374127455,0.3669309336864385,0.5614056816669607,advanced,COMPLETE
32,-0.0009470627455911244,2025-12-04 19:17:36.177021,2025-12-04 19:17:42.083752,0 days 00:00:05.906731,0.7510230289488433,0.028935041857740554,3,62,448,63,4.599089117612934,0.4319838554672013,0.5793549136358757,extensive,COMPLETE
33,-0.0009470627455911244,2025-12-04 19:17:42.084753,2025-12-04 19:17:45.842765,0 days 00:00:03.758012,0.699024716737144,0.038297379276387995,4,73,922,53,4.162281634874389,0.13061857220901027,0.5416221638301811,medium,COMPLETE
34,-0.0009470627455911244,2025-12-04 19:17:45.843769,2025-12-04 19:17:51.649981,0 days 00:00:05.806212,0.8918836681823549,0.05043940970277584,6,52,546,40,4.819405057542807,0.21304122443704354,0.6008147597351519,advanced,COMPLETE
35,-0.00014660209271370275,2025-12-04 19:17:51.650981,2025-12-04 19:18:01.841245,0 days 00:00:10.190264,0.526378004201571,0.023711199843122237,5,12,1707,81,1.1715273955778782,0.7352307880125634,0.6490536092760588,extensive,COMPLETE
36,-0.0009847564887507005,2025-12-04 19:18:01.842246,2025-12-04 19:18:07.377599,0 days 00:00:05.535353,0.5226234941859192,0.02203340502370693,5,13,1786,82,0.9272723870125723,0.5384248606927464,0.7388696179222386,medium,COMPLETE
37,-0.0010323646150973698,2025-12-04 19:18:07.378600,2025-12-04 19:18:16.079618,0 days 00:00:08.701018,0.5803095503942293,0.02769121188982386,6,21,1429,86,1.579459169521728,0.8375105863762761,0.6523790762424088,advanced,COMPLETE
38,-0.0016584623837167338,2025-12-04 19:18:16.080618,2025-12-04 19:18:28.001450,0 days 00:00:11.920832,0.5391510267344972,0.021798256688881978,12,28,2085,116,0.9218215917205947,0.3141915143153944,0.6369773590169387,extensive,COMPLETE
39,-0.0008178676763028007,2025-12-04 19:18:28.002449,2025-12-04 19:18:34.624038,0 days 00:00:06.621589,0.6267625891752904,0.016174213967352673,8,15,2467,78,1.14611977537422,1.135779516749809,0.6828052053384607,medium,COMPLETE
40,-0.08388516556829521,2025-12-04 19:18:34.626562,2025-12-04 19:19:24.304675,0 days 00:00:49.678113,0.6389357165196757,0.015511950253826966,5,16,2552,90,0.1671244308164277,1.3142830209649874,0.7539149371387642,advanced,COMPLETE
41,-0.0010013629381292837,2025-12-04 19:19:24.306179,2025-12-04 19:19:37.351565,0 days 00:00:13.045386,0.5741334625584384,0.010630925759982389,8,10,2384,77,1.671246046216039,0.7852905745355437,0.6726986387408206,extensive,COMPLETE
42,-0.0008821024250203665,2025-12-04 19:19:37.352568,2025-12-04 19:19:42.617666,0 days 00:00:05.265098,0.6163692333683082,0.035384881606800075,7,18,1673,68,1.1251584172886309,1.4131452772529882,0.6532258500502228,medium,COMPLETE
43,-0.000348434232204801,2025-12-04 19:19:42.620183,2025-12-04 19:19:52.426605,0 days 00:00:09.806422,0.6766643899084799,0.03559199759615631,7,23,1713,66,1.1307291292717245,1.5202859286363704,0.7274478844768734,advanced,COMPLETE
44,-5.1855258308641794e-05,2025-12-04 19:19:52.428607,2025-12-04 19:20:02.619440,0 days 00:00:10.190833,0.6101815453289838,0.036169337146057454,7,24,1720,69,1.1290880047819238,1.5870141047767599,0.8004792388244336,extensive,COMPLETE
