number,value,datetime_start,datetime_complete,duration,params_feature_level,params_lasso_alpha,user_attrs_feature_level,state
39,-0.0009470627492772868,2025-12-04 20:18:59.828278,2025-12-04 20:19:00.193626,0 days 00:00:00.365348,simple2,0.01048858540200734,simple2,COMPLETE
40,-0.0009470627492772868,2025-12-04 20:19:00.194627,2025-12-04 20:19:01.919436,0 days 00:00:01.724809,medium,0.001050909307585896,medium,COMPLETE
41,0.0031307342053037424,2025-12-04 20:19:01.920012,2025-12-04 20:19:02.093676,0 days 00:00:00.173664,simple,0.0004457450526287884,simple,COMPLETE
42,0.0037066132312337428,2025-12-04 20:19:02.094681,2025-12-04 20:19:02.240143,0 days 00:00:00.145462,simple,0.000372606895519756,simple,COMPLETE
43,-0.029246652847163063,2025-12-04 20:19:02.241142,2025-12-04 20:19:02.403442,0 days 00:00:00.162300,simple,0.00015974798093375763,simple,COMPLETE
44,-0.0009470627492772868,2025-12-04 20:19:02.405440,2025-12-04 20:19:02.510100,0 days 00:00:00.104660,none,1.1748124164727554,none,COMPLETE
45,0.0010386026060215843,2025-12-04 20:19:02.511100,2025-12-04 20:19:02.652930,0 days 00:00:00.141830,simple,0.0007506287646750867,simple,COMPLETE
46,-0.0009470627492772868,2025-12-04 20:19:02.654478,2025-12-04 20:19:02.791428,0 days 00:00:00.136950,simple,0.0028457676390281125,simple,COMPLETE
47,-0.09582261289725007,2025-12-04 20:19:02.792431,2025-12-04 20:19:02.962821,0 days 00:00:00.170390,simple,0.00010028889779879691,simple,COMPLETE
48,0.0026979972882100745,2025-12-04 20:19:02.962821,2025-12-04 20:19:03.066134,0 days 00:00:00.103313,none,0.00030963608898612485,none,COMPLETE
49,-0.0009470627492772868,2025-12-04 20:19:03.066134,2025-12-04 20:19:03.202436,0 days 00:00:00.136302,simple,0.001398871851550498,simple,COMPLETE
50,-0.0908790635849522,2025-12-04 20:19:03.203440,2025-12-04 20:19:05.283109,0 days 00:00:02.079669,medium,0.00020060639613182546,medium,COMPLETE
51,0.0036471735824871545,2025-12-04 20:19:05.284109,2025-12-04 20:19:05.440870,0 days 00:00:00.156761,simple,0.0003992783436054957,simple,COMPLETE
52,0.001284570940378112,2025-12-04 20:19:05.441871,2025-12-04 20:19:05.588082,0 days 00:00:00.146211,simple,0.0007207058167322666,simple,COMPLETE
53,0.0027435217738769335,2025-12-04 20:19:05.588082,2025-12-04 20:19:05.725156,0 days 00:00:00.137074,simple,0.00048477889622898675,simple,COMPLETE
54,-0.02650327063367308,2025-12-04 20:19:05.726156,2025-12-04 20:19:05.865671,0 days 00:00:00.139515,simple,0.00016473484803774453,simple,COMPLETE
55,0.003687192723267415,2025-12-04 20:19:05.867174,2025-12-04 20:19:06.017052,0 days 00:00:00.149878,simple,0.00036045966351356434,simple,COMPLETE
56,0.003465986998737199,2025-12-04 20:19:06.018052,2025-12-04 20:19:06.159084,0 days 00:00:00.141032,simple,0.0003313127796812972,simple,COMPLETE
57,0.0005554222819406096,2025-12-04 20:19:06.159084,2025-12-04 20:19:06.296662,0 days 00:00:00.137578,simple,0.0008039637512004813,simple,COMPLETE
58,0.0032760733843051337,2025-12-04 20:19:06.297662,2025-12-04 20:19:06.445320,0 days 00:00:00.147658,simple,0.00031926831284295206,simple,COMPLETE
59,-0.0009470627492772868,2025-12-04 20:19:06.446320,2025-12-04 20:19:06.585430,0 days 00:00:00.139110,simple,0.0021132364190351673,simple,COMPLETE
60,-0.059607314692707115,2025-12-04 20:19:06.586872,2025-12-04 20:19:07.041002,0 days 00:00:00.454130,simple2,0.00013830295225541602,simple2,COMPLETE
61,-0.0031135168030700746,2025-12-04 20:19:07.042003,2025-12-04 20:19:07.182683,0 days 00:00:00.140680,simple,0.00024025162231453234,simple,COMPLETE
62,0.0037162232537971684,2025-12-04 20:19:07.183684,2025-12-04 20:19:07.323010,0 days 00:00:00.139326,simple,0.00038359767508419206,simple,COMPLETE
63,0.0036858403095005134,2025-12-04 20:19:07.324011,2025-12-04 20:19:07.462406,0 days 00:00:00.138395,simple,0.00035987339488417904,simple,COMPLETE
64,0.002189051126375685,2025-12-04 20:19:07.463406,2025-12-04 20:19:07.602053,0 days 00:00:00.138647,simple,0.0005756542288054717,simple,COMPLETE
