,feature,coverage,folds_used,frac_folds_r2_pos,r2_train_mean,r2_train_medium,r2_train_std,r2_test_mean,r2_test_medium,r2_te_std,mse_train_mean,mse_train_median,mse_train_std,mse_test_mean,mse_test_median,mse_test_std,mse_improve_vs_baseline_mean,pearson_test_mean,spearman_test_mean
0,y_mean5,1.0,5,1.0,0.1856437962761068,0.1857196812284666,0.0002528545456231326,0.17268083942881965,0.1541063307587186,0.04773913411279134,9.134376391547997e-05,9.143142794857348e-05,3.1703549169995683e-07,8.22193293570255e-05,7.291774598648536e-05,6.391138709702444e-05,1.7452344803586245e-05,0.4194558701598766,0.39994239631336403
1,y_max5,1.0,5,1.0,0.0535831689917222,0.05345781848777342,0.0002944458522516452,0.053853640539856126,0.050931136249803166,0.021673421479822992,0.00010615650813592245,0.00010631134110234714,3.386347969417722e-07,9.221930689071495e-05,8.906828974632864e-05,6.703672868796263e-05,7.452367269896805e-06,0.33346780812715204,0.3421336587521161
2,y_mean21,1.0,5,0.8,0.04677998385986746,0.04668326796276545,0.00022921012180930278,0.04254808656460807,0.05547286885444824,0.036032725631830034,0.00010691967382242106,0.00010707641266564898,3.684730660225376e-07,9.542721185476327e-05,8.873291273183555e-05,7.443982981909936e-05,4.244462305848477e-06,0.2449640543762996,0.253494623655914
3,y_min5,1.0,5,0.8,0.03556505754334462,0.03563265272370164,0.0001995777799963834,0.028565435351711764,0.035612997257778445,0.05267840895040298,0.00010817757770249762,0.00010830384221857142,3.581912628017038e-07,9.449661845355907e-05,8.431934773610914e-05,7.053026422955197e-05,5.175055707052683e-06,0.18671203282112456,0.16066776152953458
4,y_mean63,1.0,5,0.6,0.01505914416176637,0.015044375852499958,0.0001323680786471337,-0.004548729228657233,0.00019374127642746153,0.014436571684222911,0.0001104776906989045,0.00011062041416739201,3.7670018654991096e-07,9.895233877243949e-05,9.273638130911399e-05,7.538728941483476e-05,7.193353881722629e-07,0.12393684474771874,0.0650057603686636
5,y_max21,1.0,5,0.4,0.002992954733077524,0.0029323529313797225,0.000143833634294695,-0.008303057439920302,-0.008067967932205988,0.019042500817891873,0.00011183108148679528,0.00011198086696164063,3.6815537025498944e-07,9.84377932534603e-05,9.226916473266397e-05,7.283397965338042e-05,1.233880907151446e-06,0.15290975247225197,0.16825052817958402
6,y_mean126,1.0,5,0.2,0.009551992098087703,0.009587616010102828,7.280608223576551e-05,-0.010632311608215738,-0.008118288564044507,0.012862197327178727,0.0001110953950405376,0.00011123111533322204,3.729096763622434e-07,9.929976224337718e-05,9.227715311112824e-05,7.457267734064316e-05,3.7191191723457753e-07,0.1479870347120645,0.10831413210445466
7,y_mean252,1.0,5,0.4,0.004872208439418135,0.004867242038835151,1.6785904528948415e-05,-0.011233116011379062,-0.007359942640829509,0.01825336141172121,0.00011162030053878211,0.00011175923622502944,3.7049710791164666e-07,9.918808750446206e-05,9.235169344147695e-05,7.388616471148525e-05,4.83586656149673e-07,0.18261373891257765,0.14086021505376345
8,y_max63,1.0,5,0.4,0.0006395671912951207,0.000608663974430268,6.825168594990545e-05,-0.012106108366128377,-0.013259897958788347,0.01739027443171795,0.00011209505275888869,0.00011223742691025518,3.6850838733681543e-07,9.905762636138725e-05,9.248415665519431e-05,7.345124312318994e-05,6.140477992245101e-07,0.11402562695495935,0.09994375294244524
9,y_min21,1.0,5,0.2,0.0021926893514089274,0.002196204833012194,1.7035076902052274e-05,-0.012598313305121733,-0.0024172833332298804,0.01737679799436386,0.00011192085410312031,0.00011205756077971513,3.716769022403194e-07,9.942148756718375e-05,9.237550269510769e-05,7.43873139000826e-05,2.5018659342800323e-07,0.034723012385198815,0.01152015100816554
