number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
34,-18531.919854312986,2025-12-08 12:51:13.223546,2025-12-08 12:51:14.676210,0 days 00:00:01.452664,58.63172664033138,extensive,final,ridge,pca_hybrid,True,COMPLETE
35,-15425.554380220516,2025-12-08 12:51:14.676210,2025-12-08 12:51:15.993906,0 days 00:00:01.317696,248.09063384821738,extensive,final,ridge,pca_hybrid,True,COMPLETE
36,-9725.821148266685,2025-12-08 12:51:15.993906,2025-12-08 12:51:17.293706,0 days 00:00:01.299800,832.8898713670092,extensive,final,ridge,pca_hybrid,True,COMPLETE
37,-20368.91410259123,2025-12-08 12:51:17.293706,2025-12-08 12:51:18.643274,0 days 00:00:01.349568,0.07980883493511932,extensive,final,ridge,pca_hybrid,True,COMPLETE
38,-18712.475083848938,2025-12-08 12:51:18.643274,2025-12-08 12:51:19.932460,0 days 00:00:01.289186,20.90264564462715,extensive,final,ridge,pca_hybrid,True,COMPLETE
39,-20637.184699665708,2025-12-08 12:51:19.932460,2025-12-08 12:51:21.274595,0 days 00:00:01.342135,0.001101142665189888,extensive,final,ridge,pca_hybrid,True,COMPLETE
40,-17731.673674060152,2025-12-08 12:51:21.276201,2025-12-08 12:51:22.609619,0 days 00:00:01.333418,114.31314739030634,extensive,final,ridge,pca_hybrid,True,COMPLETE
41,-9645.525063723071,2025-12-08 12:51:22.611585,2025-12-08 12:51:23.916757,0 days 00:00:01.305172,901.1473045636263,extensive,final,ridge,pca_hybrid,True,COMPLETE
42,-14627.560428076933,2025-12-08 12:51:23.916757,2025-12-08 12:51:25.275559,0 days 00:00:01.358802,348.28378914701557,extensive,final,ridge,pca_hybrid,True,COMPLETE
43,-9350.737297078003,2025-12-08 12:51:25.280073,2025-12-08 12:51:26.576874,0 days 00:00:01.296801,965.1229166903585,extensive,final,ridge,pca_hybrid,True,COMPLETE
