number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
38,-20234.745572939137,2025-12-08 12:31:08.047556,2025-12-08 12:31:09.431305,0 days 00:00:01.383749,extensive,final,ols,pca_hybrid,True,COMPLETE
39,-20706.285692215388,2025-12-08 12:31:09.431305,2025-12-08 12:31:10.792343,0 days 00:00:01.361038,extensive,final,ols,pca_hybrid,True,COMPLETE
40,-20219.396979932553,2025-12-08 12:31:10.792343,2025-12-08 12:31:12.180684,0 days 00:00:01.388341,extensive,final,ols,pca_hybrid,True,COMPLETE
41,-20427.45236091045,2025-12-08 12:31:12.180684,2025-12-08 12:31:13.583380,0 days 00:00:01.402696,extensive,final,ols,pca_hybrid,True,COMPLETE
42,-20591.9086280112,2025-12-08 12:31:13.583380,2025-12-08 12:31:14.983058,0 days 00:00:01.399678,extensive,final,ols,pca_hybrid,True,COMPLETE
43,-20621.661262508518,2025-12-08 12:31:14.983626,2025-12-08 12:31:16.354216,0 days 00:00:01.370590,extensive,final,ols,pca_hybrid,True,COMPLETE
44,-20762.447488031212,2025-12-08 12:31:16.354216,2025-12-08 12:31:17.745846,0 days 00:00:01.391630,extensive,final,ols,pca_hybrid,True,COMPLETE
45,-21052.47248096581,2025-12-08 12:31:17.745846,2025-12-08 12:31:19.083987,0 days 00:00:01.338141,extensive,final,ols,pca_hybrid,True,COMPLETE
46,-20140.55750116026,2025-12-08 12:31:19.084293,2025-12-08 12:31:20.449686,0 days 00:00:01.365393,extensive,final,ols,pca_hybrid,True,COMPLETE
47,-20564.995115945858,2025-12-08 12:31:20.449686,2025-12-08 12:31:21.842668,0 days 00:00:01.392982,extensive,final,ols,pca_hybrid,True,COMPLETE
48,-20386.292090097784,2025-12-08 12:31:21.842668,2025-12-08 12:31:23.227503,0 days 00:00:01.384835,extensive,final,ols,pca_hybrid,True,COMPLETE
49,-20399.393999560772,2025-12-08 12:31:23.227503,2025-12-08 12:31:24.549534,0 days 00:00:01.322031,extensive,final,ols,pca_hybrid,True,COMPLETE
50,-20437.46483657266,2025-12-08 12:31:24.549534,2025-12-08 12:31:25.921297,0 days 00:00:01.371763,extensive,final,ols,pca_hybrid,True,COMPLETE
51,-20529.920507667233,2025-12-08 12:31:25.921297,2025-12-08 12:31:27.275994,0 days 00:00:01.354697,extensive,final,ols,pca_hybrid,True,COMPLETE
52,-20558.859181801057,2025-12-08 12:31:27.275994,2025-12-08 12:31:28.618279,0 days 00:00:01.342285,extensive,final,ols,pca_hybrid,True,COMPLETE
53,-20701.727991727115,2025-12-08 12:31:28.618279,2025-12-08 12:31:29.966650,0 days 00:00:01.348371,extensive,final,ols,pca_hybrid,True,COMPLETE
54,-20257.70781669686,2025-12-08 12:31:29.967831,2025-12-08 12:31:31.311377,0 days 00:00:01.343546,extensive,final,ols,pca_hybrid,True,COMPLETE
55,-20455.96534361164,2025-12-08 12:31:31.311377,2025-12-08 12:31:32.699009,0 days 00:00:01.387632,extensive,final,ols,pca_hybrid,True,COMPLETE
56,-21077.11214589427,2025-12-08 12:31:32.699009,2025-12-08 12:31:34.033587,0 days 00:00:01.334578,extensive,final,ols,pca_hybrid,True,COMPLETE
57,-20533.16741114799,2025-12-08 12:31:34.034641,2025-12-08 12:31:35.386114,0 days 00:00:01.351473,extensive,final,ols,pca_hybrid,True,COMPLETE
58,-20033.39563772005,2025-12-08 12:31:35.386114,2025-12-08 12:31:36.731665,0 days 00:00:01.345551,extensive,final,ols,pca_hybrid,True,COMPLETE
59,-20813.71162697081,2025-12-08 12:31:36.731665,2025-12-08 12:31:38.082777,0 days 00:00:01.351112,extensive,final,ols,pca_hybrid,True,COMPLETE
60,-21067.637920791287,2025-12-08 12:31:38.082777,2025-12-08 12:31:39.436994,0 days 00:00:01.354217,extensive,final,ols,pca_hybrid,True,COMPLETE
61,-20771.128400340127,2025-12-08 12:31:39.436994,2025-12-08 12:31:40.862194,0 days 00:00:01.425200,extensive,final,ols,pca_hybrid,True,COMPLETE
62,-20153.51154689497,2025-12-08 12:31:40.862194,2025-12-08 12:31:42.244231,0 days 00:00:01.382037,extensive,final,ols,pca_hybrid,True,COMPLETE
63,-20547.99953789807,2025-12-08 12:31:42.244231,2025-12-08 12:31:43.636259,0 days 00:00:01.392028,extensive,final,ols,pca_hybrid,True,COMPLETE
64,-20311.681921873336,2025-12-08 12:31:43.636259,2025-12-08 12:31:45.149306,0 days 00:00:01.513047,extensive,final,ols,pca_hybrid,True,COMPLETE
65,-20409.775427019504,2025-12-08 12:31:45.149306,2025-12-08 12:31:46.517734,0 days 00:00:01.368428,extensive,final,ols,pca_hybrid,True,COMPLETE
66,-22625.799506700907,2025-12-08 12:31:46.517734,2025-12-08 12:31:47.934814,0 days 00:00:01.417080,extensive,final,ols,pca_hybrid,True,COMPLETE
67,-20389.519686983713,2025-12-08 12:31:47.934814,2025-12-08 12:31:49.283379,0 days 00:00:01.348565,extensive,final,ols,pca_hybrid,True,COMPLETE
68,-20537.898242845156,2025-12-08 12:31:49.283379,2025-12-08 12:31:50.618994,0 days 00:00:01.335615,extensive,final,ols,pca_hybrid,True,COMPLETE
69,-20511.71027683461,2025-12-08 12:31:50.618994,2025-12-08 12:31:51.965717,0 days 00:00:01.346723,extensive,final,ols,pca_hybrid,True,COMPLETE
