number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
22,-0.0016028468917251477,2025-12-08 13:03:30.573729,2025-12-08 13:03:41.739732,0 days 00:00:11.166003,0.7818241796093965,0.09491887549251357,8,34,1838,75,1.407564342808109,0.2651660856029118,0.7439685177346469,extensive,final,lgbm,,False,COMPLETE
23,-0.0016369993109248693,2025-12-08 13:03:41.739732,2025-12-08 13:03:55.806407,0 days 00:00:14.066675,0.7132192482377344,0.05110312371016258,4,19,2291,64,1.6605405512655587,0.10300143418186637,0.6905493219219334,extensive,final,lgbm,,False,COMPLETE
24,-0.006740957013847322,2025-12-08 13:03:55.806407,2025-12-08 13:04:10.388046,0 days 00:00:14.581639,0.5351928502584552,0.039209421365548766,5,18,2786,71,0.9216610319975281,0.19928335335006578,0.7801620410699133,extensive,final,lgbm,,False,COMPLETE
25,-0.17273707805208996,2025-12-08 13:04:10.388046,2025-12-08 13:04:41.958966,0 days 00:00:31.570920,0.8576855998995044,0.06929965609802508,7,100,1790,80,0.07015554924434464,0.3480952344672738,0.8515749309956915,extensive,final,lgbm,,False,COMPLETE
26,-0.0016559720935109083,2025-12-08 13:04:41.960001,2025-12-08 13:04:49.258576,0 days 00:00:07.298575,0.7749898446793114,0.04667323913508572,4,33,1007,78,2.2460997304812174,0.9976853831575806,0.6174843788089938,extensive,final,lgbm,,False,COMPLETE
27,-0.001597556343912343,2025-12-08 13:04:49.259168,2025-12-08 13:05:00.342999,0 days 00:00:11.083831,0.6620024261348775,0.09934763928060045,6,47,2045,69,1.5365697196795858,0.4113667738472427,0.6970657893201908,extensive,final,lgbm,,False,COMPLETE
28,-0.006774549671653214,2025-12-08 13:05:00.344566,2025-12-08 13:05:10.131274,0 days 00:00:09.786708,0.6649308432721113,0.06234529778139369,6,34,1709,87,0.9022476649017815,0.36284104734962,0.715925388694317,extensive,final,lgbm,,False,COMPLETE
29,-0.0016559720935109083,2025-12-08 13:05:10.135019,2025-12-08 13:05:17.827011,0 days 00:00:07.691992,0.5994831542180595,0.07785237046959156,9,44,1267,71,1.8131533268741125,1.0822427370675234,0.5785931007844411,extensive,final,lgbm,,False,COMPLETE
30,-0.0016559720935109083,2025-12-08 13:05:17.827668,2025-12-08 13:05:25.777519,0 days 00:00:07.949851,0.6694149859360563,0.028102967573940173,8,48,1122,88,2.495606657374986,0.1827181568844161,0.8151797350727868,extensive,final,lgbm,,False,COMPLETE
31,-0.0015967262609649275,2025-12-08 13:05:25.778078,2025-12-08 13:05:37.428528,0 days 00:00:11.650450,0.6301219729098582,0.09508421273055943,5,52,2088,68,1.4990331275457984,0.36711274167517177,0.7681502754901004,extensive,final,lgbm,,False,COMPLETE
32,-0.001634347565332946,2025-12-08 13:05:37.428528,2025-12-08 13:05:47.859378,0 days 00:00:10.430850,0.6245504432202056,0.08061280211734388,5,18,2041,64,1.5700849831328927,0.43010979963132456,0.669786520592173,extensive,final,lgbm,,False,COMPLETE
33,-0.0029402966965391686,2025-12-08 13:05:47.859378,2025-12-08 13:06:00.229614,0 days 00:00:12.370236,0.5749220925491786,0.08207162839491797,6,29,2351,69,1.1170624180047746,0.15298758970113205,0.7409953700873154,extensive,final,lgbm,,False,COMPLETE
34,-0.042151444690201156,2025-12-08 13:06:00.229614,2025-12-08 13:06:17.100279,0 days 00:00:16.870665,0.7378385367012649,0.09966344872065919,7,40,2758,77,0.5135786761176753,0.9005890868134669,0.8030098557019786,extensive,final,lgbm,,False,COMPLETE
35,-0.0016559720935109083,2025-12-08 13:06:17.101789,2025-12-08 13:06:27.531554,0 days 00:00:10.429765,0.63850211716324,0.061084363509432006,6,50,1624,70,2.1363434622233273,0.3531289274690825,0.8338912743363636,extensive,final,lgbm,,False,COMPLETE
36,-0.0016559720935109083,2025-12-08 13:06:27.532833,2025-12-08 13:06:37.117958,0 days 00:00:09.585125,0.5132459784842436,0.04747781135686721,5,60,2002,73,2.637904655642322,0.15753775589421212,0.7160489596362738,extensive,final,lgbm,,False,COMPLETE
37,-0.0030961897772353955,2025-12-08 13:06:37.119512,2025-12-08 13:06:53.483519,0 days 00:00:16.364007,0.6840279206530498,0.07080495316430085,7,68,3006,67,1.0691006448157616,0.71279658268438,0.789354682114902,extensive,final,lgbm,,False,COMPLETE
38,-0.019405713314434525,2025-12-08 13:06:53.485531,2025-12-08 13:07:07.637464,0 days 00:00:14.151933,0.7162355350193732,0.08584670258282634,8,54,2475,64,0.7485947345587798,0.48656493575194354,0.6741891912410725,extensive,final,lgbm,,False,COMPLETE
39,-0.0016559720935109083,2025-12-08 13:07:07.639304,2025-12-08 13:07:22.613509,0 days 00:00:14.974205,0.7796328646952093,0.05817563132835267,10,23,2220,84,1.714820063507311,0.23818792651673365,0.7538215210175223,extensive,final,lgbm,,False,COMPLETE
40,-0.001672431865650174,2025-12-08 13:07:22.614510,2025-12-08 13:07:33.970714,0 days 00:00:11.356204,0.5867844588535527,0.07835186897269458,9,37,1866,74,1.2936037867272452,0.379940612485001,0.7215398674587395,extensive,final,lgbm,,False,COMPLETE
41,-0.001596681883905271,2025-12-08 13:07:33.971800,2025-12-08 13:07:46.288286,0 days 00:00:12.316486,0.6341526104723283,0.09573766929493015,4,59,2159,69,1.5040038930936355,0.29392156789657836,0.7706515081844207,extensive,final,lgbm,,False,COMPLETE
42,-0.0016559720935109083,2025-12-08 13:07:46.289804,2025-12-08 13:07:59.687814,0 days 00:00:13.398010,0.6417116011615152,0.08445453472885955,3,61,2631,69,2.0149227598291373,0.5697795305592485,0.6973017242000787,extensive,final,lgbm,,False,COMPLETE
43,-0.0016202726882853884,2025-12-08 13:07:59.688589,2025-12-08 13:08:09.956443,0 days 00:00:10.267854,0.5691344392392912,0.09981320797060673,5,73,2027,78,1.6635159803850907,0.3130986941493663,0.790450973708011,extensive,final,lgbm,,False,COMPLETE
44,-0.0016559720935109083,2025-12-08 13:08:09.958546,2025-12-08 13:08:19.755178,0 days 00:00:09.796632,0.7248642670458828,0.06587317705735089,4,58,1537,71,3.197635973830863,0.12369110910144145,0.7656069049554936,extensive,final,lgbm,,False,COMPLETE
45,-0.03677040957886398,2025-12-08 13:08:19.756202,2025-12-08 13:08:33.576981,0 days 00:00:13.820779,0.6164588826281171,0.07392160116233257,5,50,2364,67,0.548875009033684,0.1951020972465997,0.8290878741872416,extensive,final,lgbm,,False,COMPLETE
46,-0.001586177936275801,2025-12-08 13:08:33.578530,2025-12-08 13:08:46.171943,0 days 00:00:12.593413,0.6722520931705707,0.054431281841097676,6,66,1941,76,1.4311620053651881,0.4695077203348186,0.8655460251411982,extensive,final,lgbm,,False,COMPLETE
47,-0.008004305581041668,2025-12-08 13:08:46.173503,2025-12-08 13:08:54.385830,0 days 00:00:08.212327,0.6815388582326612,0.040620019507651234,3,65,1326,91,0.8702269868293249,0.7655962634639752,0.8709127599936116,extensive,final,lgbm,,False,COMPLETE
48,-0.0016559720935109083,2025-12-08 13:08:54.385830,2025-12-08 13:09:11.289538,0 days 00:00:16.903708,0.7599586063398435,0.031505109250263015,4,73,2970,104,1.8996181436192123,0.5386956963107741,0.8953033351538263,extensive,final,lgbm,,False,COMPLETE
49,-0.0015763765264050027,2025-12-08 13:09:11.291147,2025-12-08 13:09:16.401488,0 days 00:00:05.110341,0.7968097156518449,0.0221159351059675,6,77,651,76,1.2971765996662965,1.679846589516203,0.9403343312050265,extensive,final,lgbm,,False,COMPLETE
50,-0.0017006715843566795,2025-12-08 13:09:16.401488,2025-12-08 13:09:21.178953,0 days 00:00:04.777465,0.8017625951399062,0.022033396499313386,6,85,525,81,1.2659941873059246,1.9610927896360364,0.9379310388532458,extensive,final,lgbm,,False,COMPLETE
51,-0.0037039061895681735,2025-12-08 13:09:21.180951,2025-12-08 13:09:25.161353,0 days 00:00:03.980402,0.8502795600809316,0.016946221400440442,5,79,295,76,1.0449515641156273,3.73521879825962,0.9494106113935152,extensive,final,lgbm,,False,COMPLETE
52,-0.0016559720935109083,2025-12-08 13:09:25.163347,2025-12-08 13:09:34.093258,0 days 00:00:08.929911,0.7600551068348257,0.023395186485311914,7,82,1434,73,2.065847356735791,1.4955976398838406,0.9052779239138475,extensive,final,lgbm,,False,COMPLETE
53,-0.0015615399148410554,2025-12-08 13:09:34.095441,2025-12-08 13:09:56.275593,0 days 00:00:22.180152,0.7332243167925725,0.01704913557947199,6,69,3635,79,1.4015409643040917,2.557360478540785,0.8733321287063304,extensive,final,lgbm,,False,COMPLETE
54,-0.058182876401865036,2025-12-08 13:09:56.277613,2025-12-08 13:10:34.113904,0 days 00:00:37.836291,0.7267801808392712,0.010226023887590521,6,68,3586,79,0.34541547829211616,2.7126055411234917,0.9860884629058275,extensive,final,lgbm,,False,COMPLETE
55,-0.019809362716025108,2025-12-08 13:10:34.115905,2025-12-08 13:10:54.781940,0 days 00:00:20.666035,0.8043829169026471,0.01473212997584389,7,72,3204,90,0.7238611571859368,7.764887432459314,0.8700914817038546,extensive,final,lgbm,,False,COMPLETE
56,-0.0016241636673826425,2025-12-08 13:10:54.783024,2025-12-08 13:11:00.422840,0 days 00:00:05.639816,0.6950362315515718,0.020593447446787337,6,14,737,83,1.3354572609108484,2.291669706874562,0.9147810768496584,extensive,final,lgbm,,False,COMPLETE
57,-0.0016559720935109083,2025-12-08 13:11:00.424560,2025-12-08 13:11:21.980751,0 days 00:00:21.556191,0.7901502298123245,0.016760127813222277,4,76,3504,73,1.8134309185956354,1.4622655132254665,0.9610040160112554,extensive,final,lgbm,,False,COMPLETE
58,-0.002454711124222834,2025-12-08 13:11:21.980751,2025-12-08 13:11:42.983117,0 days 00:00:21.002366,0.83074428895323,0.025983978091696298,6,62,3688,77,1.1758268909659144,5.034911898100993,0.8655284755698935,extensive,final,lgbm,,False,COMPLETE
59,-0.0016559720935109083,2025-12-08 13:11:42.983117,2025-12-08 13:11:48.200374,0 days 00:00:05.217257,0.7557076732484419,0.0110611279476627,8,90,732,80,2.4578205788887963,3.8992599757618462,0.8321361816539519,extensive,final,lgbm,,False,COMPLETE
60,-0.004475820761950929,2025-12-08 13:11:48.200374,2025-12-08 13:11:56.895380,0 days 00:00:08.695006,0.7385233334945981,0.03193899737166914,7,69,1198,84,1.0102926192514992,3.3138243126518594,0.9232102640792327,extensive,final,lgbm,,False,COMPLETE
61,-0.001598208006701111,2025-12-08 13:11:56.895380,2025-12-08 13:12:07.501623,0 days 00:00:10.606243,0.7016846406509972,0.053809137884835614,5,57,1700,117,1.4661361761685359,0.2421651110983645,0.8028785942339652,extensive,final,lgbm,,False,COMPLETE
62,-0.001596849696150926,2025-12-08 13:12:07.504326,2025-12-08 13:12:18.495195,0 days 00:00:10.990869,0.6424926880762521,0.0875874578903829,5,75,1927,67,1.4927528958438039,1.7813746376803177,0.7304949195082063,extensive,final,lgbm,,False,COMPLETE
63,-0.0016559720935109083,2025-12-08 13:12:18.496200,2025-12-08 13:12:29.752735,0 days 00:00:11.256535,0.6767971558217036,0.01737272090464692,6,64,2189,72,1.7115171626664853,0.30309563976287174,0.8458727786813292,extensive,final,lgbm,,False,COMPLETE
64,-0.0015118774859802508,2025-12-08 13:12:29.752735,2025-12-08 13:12:33.537483,0 days 00:00:03.784748,0.628889432352482,0.043593857953395626,5,85,439,75,1.3612167024956654,0.4670581400486395,0.501139119976192,extensive,final,lgbm,,False,COMPLETE
65,-0.0015063150349837369,2025-12-08 13:12:33.538518,2025-12-08 13:12:36.949778,0 days 00:00:03.411260,0.6007972113691153,0.04762082597266022,4,96,204,75,1.319583029572567,0.4517932395606135,0.5035516738442807,extensive,final,lgbm,,False,COMPLETE
66,-0.0015049465768158428,2025-12-08 13:12:36.951893,2025-12-08 13:12:40.817076,0 days 00:00:03.865183,0.5512632396292351,0.0371790509347121,6,98,443,75,1.3149742506414204,0.45473476882165376,0.5035834755339302,extensive,final,lgbm,,False,COMPLETE
67,-0.013367987215683478,2025-12-08 13:12:40.817076,2025-12-08 13:12:45.009194,0 days 00:00:04.192118,0.5420608148590872,0.046236796173295375,7,96,512,96,0.8000615711150074,1.2103484811723035,0.5150286110647335,extensive,final,lgbm,,False,COMPLETE
68,-0.0025295746815219657,2025-12-08 13:12:45.011197,2025-12-08 13:12:48.578339,0 days 00:00:03.567142,0.5043631350936916,0.03586038825985537,5,95,449,85,1.1758880187696885,0.8636047697937402,0.5346294732527236,extensive,final,lgbm,,False,COMPLETE
69,-0.028228829898814478,2025-12-08 13:12:48.578339,2025-12-08 13:12:52.537986,0 days 00:00:03.959647,0.5606149848711022,0.04264189990617781,11,86,211,82,0.637400707743172,0.6514972795143095,0.540304685336197,extensive,final,lgbm,,False,COMPLETE
70,-0.0016559720935109083,2025-12-08 13:12:52.539010,2025-12-08 13:12:57.042678,0 days 00:00:04.503668,0.5262836040728549,0.025883178305548277,3,93,614,79,1.9227478572240901,2.6680038174223117,0.5697166372974094,extensive,final,lgbm,,False,COMPLETE
71,-0.0014490816791938494,2025-12-08 13:12:57.043781,2025-12-08 13:13:03.100041,0 days 00:00:06.056260,0.5920763667339509,0.0520411137716806,6,100,905,75,1.3531463172597973,0.49593360062268077,0.5059061417898433,extensive,final,lgbm,,False,COMPLETE
72,-0.0016890698654971799,2025-12-08 13:13:03.100041,2025-12-08 13:13:09.481967,0 days 00:00:06.381926,0.6018966875086095,0.04873382440686368,6,100,964,75,1.2779437130634492,0.4363576730434214,0.5313932414730147,extensive,final,lgbm,,False,COMPLETE
73,-0.00477941406598074,2025-12-08 13:13:09.481967,2025-12-08 13:13:14.705108,0 days 00:00:05.223141,0.5840097570305032,0.03281296409174768,6,98,836,74,0.9984456751530739,0.593771842130568,0.505645185506016,extensive,final,lgbm,,False,COMPLETE
74,-0.0016178820532059361,2025-12-08 13:13:14.706621,2025-12-08 13:13:19.150790,0 days 00:00:04.444169,0.5918036967324116,0.043624570283693445,5,82,375,78,1.655329826863417,0.1660882864425113,0.5550191749491667,extensive,final,lgbm,,False,COMPLETE
75,-0.0016559720935109083,2025-12-08 13:13:19.150790,2025-12-08 13:13:24.091266,0 days 00:00:04.940476,0.5524861404868382,0.03671278404874912,7,91,668,71,2.1833209606028827,0.20909134085674427,0.58913464864312,extensive,final,lgbm,,False,COMPLETE
76,-0.0015335306196263925,2025-12-08 13:13:24.092265,2025-12-08 13:13:27.907946,0 days 00:00:03.815681,0.8873923524318619,0.06378084916482102,5,88,219,81,1.3716842825131366,0.25832294297433855,0.5090955118988227,extensive,final,lgbm,,False,COMPLETE
77,-0.0025332191824384287,2025-12-08 13:13:27.909270,2025-12-08 13:13:31.712035,0 days 00:00:03.802765,0.8948139048188374,0.06450869445484142,6,89,279,81,1.158634066890362,1.7277800972041764,0.5154494760513327,extensive,final,lgbm,,False,COMPLETE
