number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
21,-0.0016559720935109083,2025-12-08 14:10:10.901218,2025-12-08 14:10:12.832581,0 days 00:00:01.931363,0.750774580854439,0.009481741971018086,8,100,2355,65,1.5834089094608454,0.5504801141474531,0.8386004069660645,extensive,final,lgbm,pca_hybrid,True,COMPLETE
22,-0.0016559720935109083,2025-12-08 14:10:12.833694,2025-12-08 14:10:14.706872,0 days 00:00:01.873178,0.8338805033859494,0.012624941296743268,9,80,2667,65,1.419791173410919,1.0862069413531414,0.6992120748464428,extensive,final,lgbm,pca_hybrid,True,COMPLETE
23,-0.0016559720935109083,2025-12-08 14:10:14.707985,2025-12-08 14:10:16.620385,0 days 00:00:01.912400,0.7951160531150309,0.007828906439033658,11,96,2830,71,2.283626081157282,0.3817326100379779,0.8684598026766336,extensive,final,lgbm,pca_hybrid,True,COMPLETE
24,-0.0016559720935109083,2025-12-08 14:10:16.621387,2025-12-08 14:10:18.689442,0 days 00:00:02.068055,0.898752013953771,0.014693437784037219,7,81,3272,75,1.6365553705308755,1.554451181869935,0.5561068978108066,extensive,final,lgbm,pca_hybrid,True,COMPLETE
25,-0.001871542667019573,2025-12-08 14:10:18.689442,2025-12-08 14:10:20.819724,0 days 00:00:02.130282,0.964340072258658,0.02244556362801474,8,87,2229,84,0.6113116361380968,0.45798104262746836,0.9093849455977425,extensive,final,lgbm,pca_hybrid,True,COMPLETE
26,-0.0016865160346368757,2025-12-08 14:10:20.819724,2025-12-08 14:10:22.867556,0 days 00:00:02.047832,0.6530511530372155,0.035540253405243465,6,70,1817,64,1.258165872883272,0.18851469975697802,0.5388634244775045,extensive,final,lgbm,pca_hybrid,True,COMPLETE
27,-0.0016559720935109083,2025-12-08 14:10:22.867556,2025-12-08 14:10:24.620560,0 days 00:00:01.753004,0.7278580565932038,0.007822086008806886,4,48,753,92,1.9807608271789023,0.10125417332460557,0.6225582778746845,extensive,final,lgbm,pca_hybrid,True,COMPLETE
28,-0.0031050349664462442,2025-12-08 14:10:24.620560,2025-12-08 14:10:26.415301,0 days 00:00:01.794741,0.8788261928019334,0.012219356942629944,11,34,458,69,0.7643126562910707,0.27820883336350516,0.6949983985565348,extensive,final,lgbm,pca_hybrid,True,COMPLETE
29,-0.0016559720935109083,2025-12-08 14:10:26.415844,2025-12-08 14:10:28.470019,0 days 00:00:02.054175,0.787905169735716,0.04285931098523537,5,63,2645,103,3.2366988367029643,0.15051111182083174,0.5003908748689316,extensive,final,lgbm,pca_hybrid,True,COMPLETE
30,-0.0026478934603991013,2025-12-08 14:10:28.471165,2025-12-08 14:10:30.687159,0 days 00:00:02.215994,0.6692256054445993,0.022648199066019847,9,87,3138,76,0.6191651325080393,0.18215078926618045,0.7475936760864602,extensive,final,lgbm,pca_hybrid,True,COMPLETE
31,-0.0016559720935109083,2025-12-08 14:10:30.688201,2025-12-08 14:10:32.433656,0 days 00:00:01.745455,0.8357023765121823,0.005132916973043476,10,70,1540,114,2.88263278910393,6.14662283375892,0.7027878485211091,extensive,final,lgbm,pca_hybrid,True,COMPLETE
32,-0.0016559720935109083,2025-12-08 14:10:32.434162,2025-12-08 14:10:34.787741,0 days 00:00:02.353579,0.8421037334720872,0.008366560009414088,10,73,3501,108,4.532747216334541,4.4628030634927525,0.5332936340703293,extensive,final,lgbm,pca_hybrid,True,COMPLETE
33,-0.0016559720935109083,2025-12-08 14:10:34.788823,2025-12-08 14:10:37.018798,0 days 00:00:02.229975,0.95306131487825,0.0069476435721036395,8,66,3535,108,3.338847422202331,1.1546066230301062,0.6136266259788669,extensive,final,lgbm,pca_hybrid,True,COMPLETE
34,-0.0016559720935109083,2025-12-08 14:10:37.019305,2025-12-08 14:10:39.175585,0 days 00:00:02.156280,0.9984000034101229,0.010581379194673014,11,20,3974,126,3.7329937151434525,2.6987998026798414,0.5682011472630232,extensive,final,lgbm,pca_hybrid,True,COMPLETE
35,-0.0016559720935109083,2025-12-08 14:10:39.175585,2025-12-08 14:10:40.759146,0 days 00:00:01.583561,0.7637479708562929,0.014429314579174905,9,56,862,88,2.144373162184104,15.954833318756828,0.9961444308381777,extensive,final,lgbm,pca_hybrid,True,COMPLETE
36,-0.0016559720935109083,2025-12-08 14:10:40.759146,2025-12-08 14:10:42.853069,0 days 00:00:02.093923,0.8769566002514992,0.00630710357318279,10,76,1275,84,1.7332899638484862,3.948103820675284,0.8979623087941593,extensive,final,lgbm,pca_hybrid,True,COMPLETE
37,-0.0016559720935109083,2025-12-08 14:10:42.853069,2025-12-08 14:10:44.792954,0 days 00:00:01.939885,0.7322211587717855,0.07535066332128942,8,92,2005,95,3.086255066532562,0.5710687128406798,0.956664269274238,extensive,final,lgbm,pca_hybrid,True,COMPLETE
38,-0.0016559720935109083,2025-12-08 14:10:44.794012,2025-12-08 14:10:46.950113,0 days 00:00:02.156101,0.8578639885071921,0.03432058760226704,4,52,3687,122,3.5788281353244096,0.9992569642634084,0.6781562871771423,extensive,final,lgbm,pca_hybrid,True,COMPLETE
39,-0.0016559720935109083,2025-12-08 14:10:46.950653,2025-12-08 14:10:48.588972,0 days 00:00:01.638319,0.8122786608707582,0.00915977320248412,12,84,415,101,2.5663849548676496,10.867767797240619,0.5252544132573425,extensive,final,lgbm,pca_hybrid,True,COMPLETE
40,-0.0016559720935109083,2025-12-08 14:10:48.588972,2025-12-08 14:10:50.904540,0 days 00:00:02.315568,0.5878161178272183,0.019094222483194735,3,12,2955,112,3.99644355449647,1.9836623314278734,0.7386997422843911,extensive,final,lgbm,pca_hybrid,True,COMPLETE
41,-0.0016559720935109083,2025-12-08 14:10:50.905721,2025-12-08 14:10:53.320469,0 days 00:00:02.414748,0.9026613435656818,0.01701224981777752,9,18,3996,120,4.56347305216481,0.12122334357139732,0.9550292297723407,extensive,final,lgbm,pca_hybrid,True,COMPLETE
42,-0.0016559720935109083,2025-12-08 14:10:53.320469,2025-12-08 14:10:55.420935,0 days 00:00:02.100466,0.7735510101418608,0.09954239832007528,9,30,3367,113,4.1250032280502165,0.1384109439424721,0.9725109277493797,extensive,final,lgbm,pca_hybrid,True,COMPLETE
43,-0.0016559720935109083,2025-12-08 14:10:55.420935,2025-12-08 14:10:57.621449,0 days 00:00:02.200514,0.9400451104786894,0.013025862511252173,11,18,3721,118,4.738087408246473,0.771213335286998,0.9196971617831041,extensive,final,lgbm,pca_hybrid,True,COMPLETE
44,-0.0016559720935109083,2025-12-08 14:10:57.622723,2025-12-08 14:10:59.729593,0 days 00:00:02.106870,0.8140821147510036,0.02553163681995219,10,46,3669,124,3.9318025273337325,0.280966125835783,0.8856608466089984,extensive,final,lgbm,pca_hybrid,True,COMPLETE
45,-0.0016559720935109083,2025-12-08 14:10:59.729593,2025-12-08 14:11:01.454648,0 days 00:00:01.725055,0.8926256248422028,0.01065316539317525,7,37,1059,79,3.5111780286323127,0.23354726602346843,0.9790152477941447,extensive,final,lgbm,pca_hybrid,True,COMPLETE
46,-0.0016559720935109083,2025-12-08 14:11:01.455155,2025-12-08 14:11:03.321039,0 days 00:00:01.865884,0.854349794170905,0.033846893529356964,6,21,1676,109,2.976652777538248,0.3215906269729304,0.9275608215057216,extensive,final,lgbm,pca_hybrid,True,COMPLETE
47,-0.0016559720935109083,2025-12-08 14:11:03.321039,2025-12-08 14:11:05.106598,0 days 00:00:01.785559,0.9206786070418962,0.0050544472757637505,8,14,1349,95,4.191175594854096,0.44781569278891725,0.773227848828063,extensive,final,lgbm,pca_hybrid,True,COMPLETE
48,-0.0016559720935109083,2025-12-08 14:11:05.106925,2025-12-08 14:11:07.036599,0 days 00:00:01.929674,0.8176792057298916,0.020592732974733033,9,42,3131,118,2.5825254759065226,0.10023054078353404,0.8042800028109957,extensive,final,lgbm,pca_hybrid,True,COMPLETE
49,-0.0016559720935109083,2025-12-08 14:11:07.037603,2025-12-08 14:11:09.402961,0 days 00:00:02.365358,0.978621443729456,0.016083319655916042,10,59,3787,68,1.310858324809086,0.13522321880208926,0.6061435640730477,extensive,final,lgbm,pca_hybrid,True,COMPLETE
50,-0.0016559720935109083,2025-12-08 14:11:09.402961,2025-12-08 14:11:11.155881,0 days 00:00:01.752920,0.7070635674961272,0.04925341185718684,11,25,901,72,4.395307890318776,0.22873137919328115,0.5196767008530341,extensive,final,lgbm,pca_hybrid,True,COMPLETE
51,-0.0016559720935109083,2025-12-08 14:11:11.156882,2025-12-08 14:11:13.254817,0 days 00:00:02.097935,0.7606244765340382,0.08199133179026516,12,77,3877,89,3.2823567331417056,1.2634009549737188,0.998547610215067,extensive,final,lgbm,pca_hybrid,True,COMPLETE
52,-0.0016559720935109083,2025-12-08 14:11:13.255821,2025-12-08 14:11:15.319569,0 days 00:00:02.063748,0.7409978071996199,0.06629920203150846,11,66,3556,99,3.8658538765202803,0.8758992981152017,0.9407970069579901,extensive,final,lgbm,pca_hybrid,True,COMPLETE
53,-0.0016559720935109083,2025-12-08 14:11:15.319569,2025-12-08 14:11:17.506117,0 days 00:00:02.186548,0.7954709375174168,0.024407422781860266,10,63,3293,82,2.8076577199531974,0.6268471048190588,0.9750259161850234,extensive,final,lgbm,pca_hybrid,True,COMPLETE
