number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
22,-0.001400745666806591,2025-12-08 16:15:47.901473,2025-12-08 16:16:01.966864,0 days 00:00:14.065391,0.745758488931399,0.026377192528541833,7,3,3454,1.4903421282399834,0.1070273541628436,0.5692176027494578,extensive,final,xgb,pca_block,True,COMPLETE
23,-0.00021424705921835319,2025-12-08 16:16:01.967869,2025-12-08 16:16:11.684184,0 days 00:00:09.716315,0.8800901168697581,0.007147350417170314,8,8,1744,0.9345855707645506,0.3730707735897479,0.672451401459834,extensive,final,xgb,pca_block,True,COMPLETE
24,-0.2129466991471655,2025-12-08 16:16:11.685689,2025-12-08 16:16:48.102575,0 days 00:00:36.416886,0.8811124398891953,0.0058854373024960155,9,11,1796,0.049089496326394255,0.822246075539635,0.5206523828634715,extensive,final,xgb,pca_block,True,COMPLETE
25,-0.009250118453683287,2025-12-08 16:16:48.102575,2025-12-08 16:17:09.110164,0 days 00:00:21.007589,0.8953593587730679,0.007593795785968196,8,3,2881,0.6560502713029449,1.9755472422873837,0.6354324961390718,extensive,final,xgb,pca_block,True,COMPLETE
26,-0.0016266981335200104,2025-12-08 16:17:09.110164,2025-12-08 16:17:16.399779,0 days 00:00:07.289615,0.8089473534052073,0.010720641489834412,8,7,1641,1.5616396189134192,0.48632577208763955,0.7562986506463293,extensive,final,xgb,pca_block,True,COMPLETE
27,-0.0016559721404409238,2025-12-08 16:17:16.401559,2025-12-08 16:17:25.839185,0 days 00:00:09.437626,0.6971377351312132,0.01340348708482184,6,9,2211,2.1452071679511904,0.2149396995234083,0.8607700162380417,extensive,final,xgb,pca_block,True,COMPLETE
28,-0.0003643415988421328,2025-12-08 16:17:25.840187,2025-12-08 16:17:45.015554,0 days 00:00:19.175367,0.8534609517324228,0.007310390981924733,9,12,3637,0.8724591972906464,1.157084507642943,0.7750211189303988,extensive,final,xgb,pca_block,True,COMPLETE
29,-0.0016559721404409238,2025-12-08 16:17:45.015554,2025-12-08 16:17:57.674984,0 days 00:00:12.659430,0.7934880416648864,0.0036234225162155454,9,5,3095,2.810394693234646,0.3586212693649463,0.6610220210277953,extensive,final,xgb,pca_block,True,COMPLETE
30,-0.05826497426652503,2025-12-08 16:17:57.676085,2025-12-08 16:18:07.020443,0 days 00:00:09.344358,0.6382820646401498,0.032412215680675656,8,2,787,0.353383047627965,0.614817586990001,0.8096692617906847,extensive,final,xgb,pca_block,True,COMPLETE
31,-0.0009858440355925795,2025-12-08 16:18:07.020443,2025-12-08 16:18:17.923572,0 days 00:00:10.903129,0.7329847280947425,0.019414118488215594,7,8,2492,1.1998220615922572,0.37142181118732864,0.6933881000698217,extensive,final,xgb,pca_block,True,COMPLETE
32,-0.0008065381430155671,2025-12-08 16:18:17.923572,2025-12-08 16:18:26.296570,0 days 00:00:08.372998,0.5713467546591324,0.012652492496974222,7,7,1636,0.967984428616655,0.2768322571831315,0.7238518003205412,extensive,final,xgb,pca_block,True,COMPLETE
33,-0.0016391859862797304,2025-12-08 16:18:26.297571,2025-12-08 16:18:35.706726,0 days 00:00:09.409155,0.785571281958012,0.008234564287767226,6,9,2175,1.5424574088142002,0.43725626755128444,0.5918292729728973,extensive,final,xgb,pca_block,True,COMPLETE
34,-0.0016559721404409238,2025-12-08 16:18:35.707731,2025-12-08 16:18:47.309370,0 days 00:00:11.601639,0.7289652117978136,0.020328782392001445,7,5,2725,2.232159829932745,0.7688758868589448,0.6962511796086887,extensive,final,xgb,pca_block,True,COMPLETE
35,-0.0016559721404409238,2025-12-08 16:18:47.310382,2025-12-08 16:18:57.228367,0 days 00:00:09.917985,0.5521931154718251,0.030534910407101244,10,8,2378,1.7864970108299891,0.17581578318358448,0.6282626215449011,extensive,final,xgb,pca_block,True,COMPLETE
36,-0.0016559721404409238,2025-12-08 16:18:57.228367,2025-12-08 16:19:03.128159,0 days 00:00:05.899792,0.6738196981027235,0.00593519335632413,5,10,1352,4.423085385865451,16.093877170779635,0.78885180751498,extensive,final,xgb,pca_block,True,COMPLETE
37,-0.0008609084226054072,2025-12-08 16:19:03.129333,2025-12-08 16:19:16.339516,0 days 00:00:13.210183,0.8443785030893579,0.012706589032016177,6,6,3170,1.2679112824041467,1.139695815638439,0.8396077976660188,extensive,final,xgb,pca_block,True,COMPLETE
38,-0.008058445362483013,2025-12-08 16:19:16.340521,2025-12-08 16:19:29.959547,0 days 00:00:13.619026,0.7663291927620768,0.03548153867924448,4,4,2733,0.785194677173871,0.13352163458380878,0.7561173716688183,extensive,final,xgb,pca_block,True,COMPLETE
39,-0.007715363736118179,2025-12-08 16:19:29.960547,2025-12-08 16:19:39.546490,0 days 00:00:09.585943,0.35009332829492645,0.00987737119272946,8,13,791,0.37896920661046485,1.5180153051590028,0.4782766517531035,extensive,final,xgb,pca_block,True,COMPLETE
40,-0.0016559721404409238,2025-12-08 16:19:39.546490,2025-12-08 16:19:47.295939,0 days 00:00:07.749449,0.6653897059752049,0.004974342040867727,9,15,1792,3.04179030385866,0.24015763336190826,0.5690808473323734,extensive,final,xgb,pca_block,True,COMPLETE
41,-0.0006456738621883895,2025-12-08 16:19:47.296965,2025-12-08 16:20:04.929203,0 days 00:00:17.632238,0.8632557610680137,0.006453186173889503,9,12,3608,0.9430759098172117,0.6577802990620291,0.8641644821293758,extensive,final,xgb,pca_block,True,COMPLETE
42,-0.0010541701509527341,2025-12-08 16:20:04.929203,2025-12-08 16:20:20.596262,0 days 00:00:15.667059,0.8624620090285225,0.007284155077224135,9,11,3623,1.3190500513099752,2.4541294451315774,0.7721982296240802,extensive,final,xgb,pca_block,True,COMPLETE
43,-0.002643950105536049,2025-12-08 16:20:20.597264,2025-12-08 16:20:39.744104,0 days 00:00:19.146840,0.8211716970573266,0.016795200045652898,7,14,3747,0.8490332681437711,1.2543479584355037,0.6719550623782966,extensive,final,xgb,pca_block,True,COMPLETE
44,-0.0016278588620068184,2025-12-08 16:20:39.745103,2025-12-08 16:20:56.220116,0 days 00:00:16.475013,0.8998086320884863,0.008728302111224617,8,17,3974,1.8031522448230204,0.9003607248513277,0.7329987713698464,extensive,final,xgb,pca_block,True,COMPLETE
45,-0.006196333748668496,2025-12-08 16:20:56.220116,2025-12-08 16:21:36.566775,0 days 00:00:40.346659,0.7797538672508806,0.0017142249116367826,10,12,3252,0.5069440950626947,3.2704986756838514,0.7893574997210254,extensive,final,xgb,pca_block,True,COMPLETE
