number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
31,-0.0016559721242364045,2025-12-08 13:53:09.061486,2025-12-08 13:53:10.493694,0 days 00:00:01.432208,0.0011940340470438487,0.8204311504307581,extensive,final,elastic,pca_block,True,COMPLETE
32,-0.0016559721242364045,2025-12-08 13:53:10.493694,2025-12-08 13:53:11.996124,0 days 00:00:01.502430,0.0017276584534054922,0.9768216502979096,extensive,final,elastic,pca_block,True,COMPLETE
33,-0.0016559721242364045,2025-12-08 13:53:11.996124,2025-12-08 13:53:13.481102,0 days 00:00:01.484978,0.021483075753197124,0.8672104064129946,extensive,final,elastic,pca_block,True,COMPLETE
34,-0.001778228133036371,2025-12-08 13:53:13.481102,2025-12-08 13:53:15.296235,0 days 00:00:01.815133,0.0007112909851143536,0.7573438728127884,extensive,final,elastic,pca_block,True,COMPLETE
35,-10.40981068669058,2025-12-08 13:53:15.297240,2025-12-08 13:53:16.764972,0 days 00:00:01.467732,5.567247200803925e-05,0.8057414127886869,extensive,final,elastic,pca_block,True,COMPLETE
36,-0.3083777575371267,2025-12-08 13:53:16.764972,2025-12-08 13:53:18.512173,0 days 00:00:01.747201,0.0003029913514296404,0.640994135289381,extensive,final,elastic,pca_block,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:53:18.513180,2025-12-08 13:53:20.164631,0 days 00:00:01.651451,0.0064907247159941275,0.9204818052975466,extensive,final,elastic,pca_block,True,COMPLETE
38,-2.794311586006143,2025-12-08 13:53:20.164631,2025-12-08 13:53:21.840455,0 days 00:00:01.675824,0.00011909037865327685,0.8599873673676555,extensive,final,elastic,pca_block,True,COMPLETE
39,-12533.02696338456,2025-12-08 13:53:21.841457,2025-12-08 13:53:23.600313,0 days 00:00:01.758856,2.8544095686548223e-05,0.557763445057549,extensive,final,elastic,pca_block,True,COMPLETE
40,-0.0017786082918616053,2025-12-08 13:53:23.601409,2025-12-08 13:53:25.263277,0 days 00:00:01.661868,0.0010970562087092416,0.4852075025721644,extensive,final,elastic,pca_block,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:53:25.263277,2025-12-08 13:53:26.731762,0 days 00:00:01.468485,0.05391246904325912,0.09908070513707479,extensive,final,elastic,pca_block,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:53:26.732804,2025-12-08 13:53:28.064682,0 days 00:00:01.331878,0.07295998831632752,0.05736982202816971,extensive,final,elastic,pca_block,True,COMPLETE
43,-0.0016559721242364045,2025-12-08 13:53:28.064682,2025-12-08 13:53:29.478444,0 days 00:00:01.413762,0.012760610524817986,0.3365117444014635,extensive,final,elastic,pca_block,True,COMPLETE
44,-0.0016559721242364045,2025-12-08 13:53:29.478444,2025-12-08 13:53:30.929712,0 days 00:00:01.451268,0.02991722791346582,0.20264981660994405,extensive,final,elastic,pca_block,True,COMPLETE
45,-0.0159821389131225,2025-12-08 13:53:30.930741,2025-12-08 13:53:32.429823,0 days 00:00:01.499082,0.0035962118491666487,0.09553131306790735,extensive,final,elastic,pca_block,True,COMPLETE
46,-0.0016559721242364045,2025-12-08 13:53:32.430865,2025-12-08 13:53:33.844607,0 days 00:00:01.413742,0.06439733821287619,0.9847957672444496,extensive,final,elastic,pca_block,True,COMPLETE
47,-0.0016559721242364045,2025-12-08 13:53:33.844607,2025-12-08 13:53:35.344967,0 days 00:00:01.500360,0.009542751481750685,0.19369549379622578,extensive,final,elastic,pca_block,True,COMPLETE
48,-0.0016559721242364045,2025-12-08 13:53:35.346369,2025-12-08 13:53:36.894461,0 days 00:00:01.548092,0.029756159158531085,0.6722967366711232,extensive,final,elastic,pca_block,True,COMPLETE
49,-3.037700392759092,2025-12-08 13:53:36.894461,2025-12-08 13:53:38.500954,0 days 00:00:01.606493,0.02024260305015246,0.004443820797238568,extensive,final,elastic,pca_block,True,COMPLETE
50,-0.0016559721242364045,2025-12-08 13:53:38.500954,2025-12-08 13:53:40.114445,0 days 00:00:01.613491,0.09606975187284676,0.7501868013007125,extensive,final,elastic,pca_block,True,COMPLETE
51,-0.0016559721242364045,2025-12-08 13:53:40.115448,2025-12-08 13:53:41.616301,0 days 00:00:01.500853,0.009527967919717,0.26641655244113877,extensive,final,elastic,pca_block,True,COMPLETE
52,-0.0016559721242364045,2025-12-08 13:53:41.616301,2025-12-08 13:53:43.063428,0 days 00:00:01.447127,0.037759699868504366,0.09610513516726668,extensive,final,elastic,pca_block,True,COMPLETE
53,-0.0017739615948103211,2025-12-08 13:53:43.063428,2025-12-08 13:53:44.549342,0 days 00:00:01.485914,0.0015796488490158462,0.3598074313820089,extensive,final,elastic,pca_block,True,COMPLETE
54,-0.0016559721242364045,2025-12-08 13:53:44.549342,2025-12-08 13:53:45.979418,0 days 00:00:01.430076,0.015648764844877983,0.14729294526597353,extensive,final,elastic,pca_block,True,COMPLETE
55,-0.0018094268382445506,2025-12-08 13:53:45.979418,2025-12-08 13:53:47.445657,0 days 00:00:01.466239,0.0026761547522341327,0.23009871029705553,extensive,final,elastic,pca_block,True,COMPLETE
56,-0.0016559721242364045,2025-12-08 13:53:47.446169,2025-12-08 13:53:48.862316,0 days 00:00:01.416147,0.06324609859282977,0.015379046594794984,extensive,final,elastic,pca_block,True,COMPLETE
57,-0.0017713115938176038,2025-12-08 13:53:48.862316,2025-12-08 13:53:50.262036,0 days 00:00:01.399720,0.004235188719040777,0.13910932812826193,extensive,final,elastic,pca_block,True,COMPLETE
58,-0.0016559721242364045,2025-12-08 13:53:50.262036,2025-12-08 13:53:51.680569,0 days 00:00:01.418533,0.044172233313605196,0.2847599494896107,extensive,final,elastic,pca_block,True,COMPLETE
59,-0.0016559721242364045,2025-12-08 13:53:51.681630,2025-12-08 13:53:53.066346,0 days 00:00:01.384716,0.007190195146547736,0.4865110599596322,extensive,final,elastic,pca_block,True,COMPLETE
60,-0.015259352754880995,2025-12-08 13:53:53.066346,2025-12-08 13:53:54.700396,0 days 00:00:01.634050,0.0007604741194736246,0.45334438520035275,extensive,final,elastic,pca_block,True,COMPLETE
61,-0.0016559721242364045,2025-12-08 13:53:54.700396,2025-12-08 13:53:56.115946,0 days 00:00:01.415550,0.025814943136615063,0.9520854816652223,extensive,final,elastic,pca_block,True,COMPLETE
62,-0.0016559721242364045,2025-12-08 13:53:56.116951,2025-12-08 13:53:57.529498,0 days 00:00:01.412547,0.0018946384633114438,0.9496678259260708,extensive,final,elastic,pca_block,True,COMPLETE
63,-0.0016559721242364045,2025-12-08 13:53:57.530904,2025-12-08 13:53:58.930598,0 days 00:00:01.399694,0.01047843330820396,0.9143404194929761,extensive,final,elastic,pca_block,True,COMPLETE
64,-0.13942244169208293,2025-12-08 13:53:58.930939,2025-12-08 13:54:00.346504,0 days 00:00:01.415565,0.0003732947756416455,0.7872541243527058,extensive,final,elastic,pca_block,True,COMPLETE
65,-0.4707503529543557,2025-12-08 13:54:00.347508,2025-12-08 13:54:01.764611,0 days 00:00:01.417103,0.00020390231145580836,0.8414366548770726,extensive,final,elastic,pca_block,True,COMPLETE
66,-0.0016559721242364045,2025-12-08 13:54:01.765834,2025-12-08 13:54:03.151416,0 days 00:00:01.385582,0.005242822996775338,0.9893714280406682,extensive,final,elastic,pca_block,True,COMPLETE
67,-0.0016559721242364045,2025-12-08 13:54:03.151416,2025-12-08 13:54:04.550487,0 days 00:00:01.399071,0.015932934619182403,0.8989073434359358,extensive,final,elastic,pca_block,True,COMPLETE
68,-0.0017455527792760162,2025-12-08 13:54:04.550487,2025-12-08 13:54:06.070108,0 days 00:00:01.519621,0.001401262630491276,0.5642937250017791,extensive,final,elastic,pca_block,True,COMPLETE
69,-0.0016559721242364045,2025-12-08 13:54:06.072309,2025-12-08 13:54:07.549360,0 days 00:00:01.477051,0.0024665503080166136,0.3827393107613854,extensive,final,elastic,pca_block,True,COMPLETE
70,-0.0016559721242364045,2025-12-08 13:54:07.549360,2025-12-08 13:54:08.931273,0 days 00:00:01.381913,0.07735273190425022,0.8693268537222688,extensive,final,elastic,pca_block,True,COMPLETE
71,-0.0016559721242364045,2025-12-08 13:54:08.931619,2025-12-08 13:54:10.365683,0 days 00:00:01.434064,0.007357391538822982,0.6848589920031702,extensive,final,elastic,pca_block,True,COMPLETE
72,-0.0016559721242364045,2025-12-08 13:54:10.365683,2025-12-08 13:54:11.831334,0 days 00:00:01.465651,0.037314924565855265,0.5932676756770938,extensive,final,elastic,pca_block,True,COMPLETE
73,-0.0016559721242364045,2025-12-08 13:54:11.831714,2025-12-08 13:54:13.298460,0 days 00:00:01.466746,0.05306867605527568,0.7172751722662323,extensive,final,elastic,pca_block,True,COMPLETE
