number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-0.0016559721242364045,2025-12-08 16:01:31.309794,2025-12-08 16:04:00.620506,0 days 00:02:29.310712,0.001643392474113134,0.9139900335338842,19,extensive,final,elastic,,19,False,COMPLETE
1,-0.023975908573224552,2025-12-08 16:04:00.620506,2025-12-08 16:06:29.836738,0 days 00:02:29.216232,0.002727091501672911,0.09348961085384544,372,extensive,final,elastic,,372,False,COMPLETE
2,-12.237003678013936,2025-12-08 16:06:29.836738,2025-12-08 16:09:08.463494,0 days 00:02:38.626756,1.2490850911029074e-05,0.4961151168336383,185,extensive,final,elastic,,185,False,COMPLETE
3,-0.0016559721242364045,2025-12-08 16:09:08.463494,2025-12-08 16:11:32.802214,0 days 00:02:24.338720,0.07645356496262487,0.19170487916265566,490,extensive,final,elastic,,490,False,COMPLETE
4,-0.00029149245858254663,2025-12-08 16:11:32.802214,2025-12-08 16:14:08.561795,0 days 00:02:35.759581,0.0009865623131879392,0.6727905448070823,150,extensive,final,elastic,,150,False,COMPLETE
5,-0.0016559721242364045,2025-12-08 16:14:08.561795,2025-12-08 16:16:38.566675,0 days 00:02:30.004880,0.03285872908368066,0.15668574390165535,171,extensive,final,elastic,,171,False,COMPLETE
6,-0.0016559721242364045,2025-12-08 16:16:38.566675,2025-12-08 16:19:13.510815,0 days 00:02:34.944140,0.004080526756425155,0.44516651988188805,153,extensive,final,elastic,,153,False,COMPLETE
7,-35630.82306581479,2025-12-08 16:19:13.511819,2025-12-08 16:21:56.321453,0 days 00:02:42.809634,1.4878866294716616e-05,0.1978733703849962,401,extensive,final,elastic,,401,False,COMPLETE
8,-0.06071469760615925,2025-12-08 16:21:56.321453,2025-12-08 16:24:39.729356,0 days 00:02:43.407903,0.001095938092413242,0.2114223030846668,478,extensive,final,elastic,,478,False,COMPLETE
9,-0.0016559721242364045,2025-12-08 16:24:39.730356,2025-12-08 16:27:12.837012,0 days 00:02:33.106656,0.029134071312860006,0.5375680369311533,134,extensive,final,elastic,,134,False,COMPLETE
