number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
23,-0.0016559721404409238,2025-12-08 13:34:07.378613,2025-12-08 13:34:15.497500,0 days 00:00:08.118887,0.677407141356241,0.022747954558320224,3,7,616,2.597603359910954,5.026914962118839,0.7538047738979783,extensive,final,xgb,,False,COMPLETE
24,-0.004608336554255632,2025-12-08 13:34:15.499012,2025-12-08 13:34:38.282149,0 days 00:00:22.783137,0.5809582519734827,0.006313587378836821,6,12,1054,1.0951687849482716,13.462086421607221,0.6874916046552757,extensive,final,xgb,,False,COMPLETE
25,-0.0016559721404409238,2025-12-08 13:34:38.282149,2025-12-08 13:34:45.949305,0 days 00:00:07.667156,0.5265210509135219,0.004097740140788269,4,11,625,2.334158373036238,2.2275461229752422,0.3611776778111888,extensive,final,xgb,,False,COMPLETE
26,-0.0016559721404409238,2025-12-08 13:34:45.950950,2025-12-08 13:34:57.813660,0 days 00:00:11.862710,0.3509045588580436,0.013416634693632431,5,7,1233,3.3059340194328843,7.246252728342743,0.5255164558853527,extensive,final,xgb,,False,COMPLETE
27,-0.0016271803295472658,2025-12-08 13:34:57.816381,2025-12-08 13:35:15.068698,0 days 00:00:17.252317,0.6470894285806157,0.03109686880696336,3,4,1749,1.6767126694695418,4.214131704395124,0.5992203662005302,extensive,final,xgb,,False,COMPLETE
28,-0.0015667102577228882,2025-12-08 13:35:15.069702,2025-12-08 13:35:32.553461,0 days 00:00:17.483759,0.6387180178790626,0.030823747631285398,3,4,1746,1.5918383780589085,0.9405814347287867,0.4451120174623282,extensive,final,xgb,,False,COMPLETE
29,-0.001490986596059507,2025-12-08 13:35:32.554309,2025-12-08 13:35:50.900639,0 days 00:00:18.346330,0.645878107585387,0.028013679575620704,3,4,1804,1.6250360731749298,0.5507078871362941,0.5849617162262226,extensive,final,xgb,,False,COMPLETE
30,-0.08740627379339723,2025-12-08 13:35:50.902139,2025-12-08 13:36:21.621493,0 days 00:00:30.719354,0.6063992419053615,0.049578331567824784,3,1,1684,0.5897537804090032,0.5994086480780578,0.4529594377031027,extensive,final,xgb,,False,COMPLETE
31,-0.001555886277433453,2025-12-08 13:36:21.623164,2025-12-08 13:36:39.888434,0 days 00:00:18.265270,0.6530142024823098,0.029020139025402267,3,4,1757,1.63008088723063,0.8709776611677205,0.5761616753064803,extensive,final,xgb,,False,COMPLETE
32,-0.009934795707571201,2025-12-08 13:36:39.889040,2025-12-08 13:37:07.255764,0 days 00:00:27.366724,0.7194034899466546,0.02901867167529118,3,3,2387,1.1963601552255165,0.6605660093615157,0.5614932909213624,extensive,final,xgb,,False,COMPLETE
33,-0.0014636751195384878,2025-12-08 13:37:07.256943,2025-12-08 13:37:20.118992,0 days 00:00:12.862049,0.666090358834016,0.028563537145568606,4,5,1120,1.6422982473188223,1.0934502941740771,0.6126485411224665,extensive,final,xgb,,False,COMPLETE
34,-0.0014949271519508016,2025-12-08 13:37:20.118992,2025-12-08 13:37:33.214138,0 days 00:00:13.095146,0.6689822626873022,0.026818793718270863,4,4,1178,1.6004414018269357,1.0594879145917284,0.603249812614364,extensive,final,xgb,,False,COMPLETE
35,-0.0016559721404409238,2025-12-08 13:37:33.214138,2025-12-08 13:37:45.909287,0 days 00:00:12.695149,0.6671020827647517,0.02381104233307591,4,5,1209,2.0802863322999787,0.4329058376015969,0.6224285661235726,extensive,final,xgb,,False,COMPLETE
36,-0.0016815756954929502,2025-12-08 13:37:45.909287,2025-12-08 13:37:57.276122,0 days 00:00:11.366835,0.734549804660932,0.01715172676353091,4,2,984,1.8657802076616457,1.3085228943175895,0.6982860590370185,extensive,final,xgb,,False,COMPLETE
37,-0.06054950192062377,2025-12-08 13:37:57.276750,2025-12-08 13:38:40.812616,0 days 00:00:43.535866,0.6525316703648874,0.03760241451777569,5,5,2023,0.709260230318181,0.648708444346941,0.5706079920143288,extensive,final,xgb,,False,COMPLETE
38,-0.0016559721404409238,2025-12-08 13:38:40.812616,2025-12-08 13:38:56.446900,0 days 00:00:15.634284,0.5719288979228789,0.027309054483579984,4,7,1588,2.291618382394082,0.311662070218988,0.5180882000760029,extensive,final,xgb,,False,COMPLETE
39,-0.05263921610196265,2025-12-08 13:38:56.448111,2025-12-08 13:40:28.101881,0 days 00:01:31.653770,0.6974396147790394,0.01612703755337279,8,2,1274,0.40294814964919135,0.4682883530473668,0.5894954416011123,extensive,final,xgb,,False,COMPLETE
40,-0.015753328294953423,2025-12-08 13:40:28.102920,2025-12-08 13:40:46.303654,0 days 00:00:18.200734,0.6196277574763155,0.049530577080260624,10,3,859,1.0491785834642857,1.302522848741225,0.6535828692199579,extensive,final,xgb,,False,COMPLETE
41,-0.0016474352542454145,2025-12-08 13:40:46.305680,2025-12-08 13:41:05.337882,0 days 00:00:19.032202,0.6274906281896379,0.030269861251015533,3,4,1909,1.5837234222267402,0.9330702041917175,0.5460188085798006,extensive,final,xgb,,False,COMPLETE
