number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
34,-0.0016559721242364045,2025-12-08 13:29:51.864614,2025-12-08 13:29:53.315226,0 days 00:00:01.450612,1.839992089311376,extensive,final,lasso,pca_block,True,COMPLETE
35,-0.0016559721242364045,2025-12-08 13:29:53.315226,2025-12-08 13:29:54.848502,0 days 00:00:01.533276,0.10141155757390921,extensive,final,lasso,pca_block,True,COMPLETE
36,-0.0016559721242364045,2025-12-08 13:29:54.848502,2025-12-08 13:29:56.331483,0 days 00:00:01.482981,4.939836661132611,extensive,final,lasso,pca_block,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:29:56.332033,2025-12-08 13:29:57.699982,0 days 00:00:01.367949,9.693286881791401,extensive,final,lasso,pca_block,True,COMPLETE
38,-0.0016559721242364045,2025-12-08 13:29:57.700902,2025-12-08 13:29:59.065871,0 days 00:00:01.364969,0.004915810280406407,extensive,final,lasso,pca_block,True,COMPLETE
39,-0.0016559721242364045,2025-12-08 13:29:59.066868,2025-12-08 13:30:00.448563,0 days 00:00:01.381695,1.1626658147126243,extensive,final,lasso,pca_block,True,COMPLETE
40,-0.0016559721242364045,2025-12-08 13:30:00.448563,2025-12-08 13:30:01.830297,0 days 00:00:01.381734,0.027182338497684033,extensive,final,lasso,pca_block,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:30:01.830297,2025-12-08 13:30:03.215133,0 days 00:00:01.384836,2.3121063072525843,extensive,final,lasso,pca_block,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:30:03.215663,2025-12-08 13:30:04.550367,0 days 00:00:01.334704,0.796138236754668,extensive,final,lasso,pca_block,True,COMPLETE
43,-0.0016559721242364045,2025-12-08 13:30:04.551365,2025-12-08 13:30:05.864215,0 days 00:00:01.312850,3.722189419808244,extensive,final,lasso,pca_block,True,COMPLETE
44,-0.0016559721242364045,2025-12-08 13:30:05.864215,2025-12-08 13:30:07.232368,0 days 00:00:01.368153,0.01923313341664302,extensive,final,lasso,pca_block,True,COMPLETE
45,-0.0016559721242364045,2025-12-08 13:30:07.232368,2025-12-08 13:30:08.550714,0 days 00:00:01.318346,0.482752058085885,extensive,final,lasso,pca_block,True,COMPLETE
46,-0.0016559721242364045,2025-12-08 13:30:08.550714,2025-12-08 13:30:09.898941,0 days 00:00:01.348227,0.0008904637467212175,extensive,final,lasso,pca_block,True,COMPLETE
47,-0.0016559721242364045,2025-12-08 13:30:09.898941,2025-12-08 13:30:11.299103,0 days 00:00:01.400162,5.6072691412313125,extensive,final,lasso,pca_block,True,COMPLETE
48,-0.0016559721242364045,2025-12-08 13:30:11.299481,2025-12-08 13:30:12.966631,0 days 00:00:01.667150,0.0058222029801250795,extensive,final,lasso,pca_block,True,COMPLETE
49,-0.0016559721242364045,2025-12-08 13:30:12.966631,2025-12-08 13:30:14.568433,0 days 00:00:01.601802,1.1351088032104255,extensive,final,lasso,pca_block,True,COMPLETE
50,-0.0016559721242364045,2025-12-08 13:30:14.568433,2025-12-08 13:30:15.999181,0 days 00:00:01.430748,0.06469657589469203,extensive,final,lasso,pca_block,True,COMPLETE
51,-0.0016559721242364045,2025-12-08 13:30:15.999544,2025-12-08 13:30:17.383307,0 days 00:00:01.383763,9.2843561107425,extensive,final,lasso,pca_block,True,COMPLETE
52,-0.0016559721242364045,2025-12-08 13:30:17.383307,2025-12-08 13:30:18.866791,0 days 00:00:01.483484,5.727244973337393,extensive,final,lasso,pca_block,True,COMPLETE
53,-0.0016559721242364045,2025-12-08 13:30:18.866791,2025-12-08 13:30:20.331995,0 days 00:00:01.465204,2.0022340889384425,extensive,final,lasso,pca_block,True,COMPLETE
54,-0.0016559721242364045,2025-12-08 13:30:20.332937,2025-12-08 13:30:21.841728,0 days 00:00:01.508791,4.274333076001507,extensive,final,lasso,pca_block,True,COMPLETE
55,-0.0016559721242364045,2025-12-08 13:30:21.841728,2025-12-08 13:30:23.300114,0 days 00:00:01.458386,0.7866503164556314,extensive,final,lasso,pca_block,True,COMPLETE
56,-0.0016559721242364045,2025-12-08 13:30:23.300114,2025-12-08 13:30:24.735806,0 days 00:00:01.435692,1.513071032537278,extensive,final,lasso,pca_block,True,COMPLETE
57,-0.0016559721242364045,2025-12-08 13:30:24.735806,2025-12-08 13:30:26.136066,0 days 00:00:01.400260,0.27729418080278945,extensive,final,lasso,pca_block,True,COMPLETE
58,-0.0016559721242364045,2025-12-08 13:30:26.136066,2025-12-08 13:30:27.619395,0 days 00:00:01.483329,2.3023345174325756,extensive,final,lasso,pca_block,True,COMPLETE
59,-0.0016559721242364045,2025-12-08 13:30:27.619395,2025-12-08 13:30:29.117768,0 days 00:00:01.498373,6.68078741324585,extensive,final,lasso,pca_block,True,COMPLETE
60,-0.0016559721242364045,2025-12-08 13:30:29.117768,2025-12-08 13:30:30.636282,0 days 00:00:01.518514,3.4101331717526717,extensive,final,lasso,pca_block,True,COMPLETE
61,-0.0016559721242364045,2025-12-08 13:30:30.636282,2025-12-08 13:30:32.069828,0 days 00:00:01.433546,0.01266785587862348,extensive,final,lasso,pca_block,True,COMPLETE
62,-0.0016559721242364045,2025-12-08 13:30:32.069828,2025-12-08 13:30:33.553182,0 days 00:00:01.483354,0.0162024717983402,extensive,final,lasso,pca_block,True,COMPLETE
63,-0.0016559721242364045,2025-12-08 13:30:33.553182,2025-12-08 13:30:35.033744,0 days 00:00:01.480562,0.004830864689468951,extensive,final,lasso,pca_block,True,COMPLETE
64,-0.0016559721242364045,2025-12-08 13:30:35.033744,2025-12-08 13:30:36.501301,0 days 00:00:01.467557,0.002908130666809079,extensive,final,lasso,pca_block,True,COMPLETE
