number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
33,-0.0016559721242364045,2025-12-08 13:22:19.904473,2025-12-08 13:22:21.453468,0 days 00:00:01.548995,0.30832453260443754,extensive,final,lasso,pca_hybrid,True,COMPLETE
34,-0.0016559721242364045,2025-12-08 13:22:21.454650,2025-12-08 13:22:22.987046,0 days 00:00:01.532396,0.007290865914545253,extensive,final,lasso,pca_hybrid,True,COMPLETE
35,-0.0016559721242364045,2025-12-08 13:22:22.988121,2025-12-08 13:22:24.605874,0 days 00:00:01.617753,4.042551933976925,extensive,final,lasso,pca_hybrid,True,COMPLETE
36,-0.0016559721242364045,2025-12-08 13:22:24.605874,2025-12-08 13:22:26.040270,0 days 00:00:01.434396,1.086913483790687,extensive,final,lasso,pca_hybrid,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:22:26.041270,2025-12-08 13:22:27.605569,0 days 00:00:01.564299,0.19423398685105517,extensive,final,lasso,pca_hybrid,True,COMPLETE
38,-0.0016559721242364045,2025-12-08 13:22:27.605569,2025-12-08 13:22:29.004001,0 days 00:00:01.398432,0.5689128161495273,extensive,final,lasso,pca_hybrid,True,COMPLETE
39,-0.0016559721242364045,2025-12-08 13:22:29.005016,2025-12-08 13:22:30.405950,0 days 00:00:01.400934,9.702279176290137,extensive,final,lasso,pca_hybrid,True,COMPLETE
40,-0.0016559721242364045,2025-12-08 13:22:30.405950,2025-12-08 13:22:31.855670,0 days 00:00:01.449720,0.004011862542679856,extensive,final,lasso,pca_hybrid,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:22:31.855670,2025-12-08 13:22:33.321816,0 days 00:00:01.466146,1.0274066763965273,extensive,final,lasso,pca_hybrid,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:22:33.322911,2025-12-08 13:22:34.803931,0 days 00:00:01.481020,2.6254167397400874,extensive,final,lasso,pca_hybrid,True,COMPLETE
43,-0.0016559721242364045,2025-12-08 13:22:34.803931,2025-12-08 13:22:36.222571,0 days 00:00:01.418640,0.0796502894351438,extensive,final,lasso,pca_hybrid,True,COMPLETE
44,-0.0016559721242364045,2025-12-08 13:22:36.222571,2025-12-08 13:22:37.675531,0 days 00:00:01.452960,0.40054631200446333,extensive,final,lasso,pca_hybrid,True,COMPLETE
