number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
39,-3968.793235674448,2025-12-08 12:24:18.055058,2025-12-08 12:24:19.367619,0 days 00:00:01.312561,extensive,final,ols,pca_only,True,COMPLETE
40,-4020.7733915231915,2025-12-08 12:24:19.367619,2025-12-08 12:24:20.719822,0 days 00:00:01.352203,extensive,final,ols,pca_only,True,COMPLETE
41,-3985.128045454287,2025-12-08 12:24:20.719822,2025-12-08 12:24:22.038112,0 days 00:00:01.318290,extensive,final,ols,pca_only,True,COMPLETE
42,-3943.889996904625,2025-12-08 12:24:22.039116,2025-12-08 12:24:23.375774,0 days 00:00:01.336658,extensive,final,ols,pca_only,True,COMPLETE
43,-3625.820483278602,2025-12-08 12:24:23.375774,2025-12-08 12:24:24.720017,0 days 00:00:01.344243,extensive,final,ols,pca_only,True,COMPLETE
44,-3992.296743728429,2025-12-08 12:24:24.720017,2025-12-08 12:24:26.038517,0 days 00:00:01.318500,extensive,final,ols,pca_only,True,COMPLETE
45,-3809.487764670408,2025-12-08 12:24:26.040024,2025-12-08 12:24:27.379055,0 days 00:00:01.339031,extensive,final,ols,pca_only,True,COMPLETE
46,-3805.8046734073814,2025-12-08 12:24:27.379055,2025-12-08 12:24:28.688526,0 days 00:00:01.309471,extensive,final,ols,pca_only,True,COMPLETE
47,-4392.795163439595,2025-12-08 12:24:28.688526,2025-12-08 12:24:30.005077,0 days 00:00:01.316551,extensive,final,ols,pca_only,True,COMPLETE
48,-3646.5733078734743,2025-12-08 12:24:30.006299,2025-12-08 12:24:31.360417,0 days 00:00:01.354118,extensive,final,ols,pca_only,True,COMPLETE
49,-3824.312092817136,2025-12-08 12:24:31.360417,2025-12-08 12:24:32.672086,0 days 00:00:01.311669,extensive,final,ols,pca_only,True,COMPLETE
50,-3847.6216379954044,2025-12-08 12:24:32.673225,2025-12-08 12:24:34.005714,0 days 00:00:01.332489,extensive,final,ols,pca_only,True,COMPLETE
51,-4077.8603260625337,2025-12-08 12:24:34.006816,2025-12-08 12:24:35.348571,0 days 00:00:01.341755,extensive,final,ols,pca_only,True,COMPLETE
52,-3873.346319140243,2025-12-08 12:24:35.349577,2025-12-08 12:24:36.656467,0 days 00:00:01.306890,extensive,final,ols,pca_only,True,COMPLETE
53,-3993.07587825555,2025-12-08 12:24:36.657473,2025-12-08 12:24:37.988840,0 days 00:00:01.331367,extensive,final,ols,pca_only,True,COMPLETE
54,-4166.740684071766,2025-12-08 12:24:37.989171,2025-12-08 12:24:39.313824,0 days 00:00:01.324653,extensive,final,ols,pca_only,True,COMPLETE
55,-4060.8986386736447,2025-12-08 12:24:39.313824,2025-12-08 12:24:40.641147,0 days 00:00:01.327323,extensive,final,ols,pca_only,True,COMPLETE
56,-3711.3898740587824,2025-12-08 12:24:40.641147,2025-12-08 12:24:41.989596,0 days 00:00:01.348449,extensive,final,ols,pca_only,True,COMPLETE
57,-4780.288327076594,2025-12-08 12:24:41.990643,2025-12-08 12:24:43.312659,0 days 00:00:01.322016,extensive,final,ols,pca_only,True,COMPLETE
58,-3668.91341058931,2025-12-08 12:24:43.313184,2025-12-08 12:24:44.671666,0 days 00:00:01.358482,extensive,final,ols,pca_only,True,COMPLETE
59,-2994.1341696036075,2025-12-08 12:24:44.672991,2025-12-08 12:24:45.973270,0 days 00:00:01.300279,extensive,final,ols,pca_only,True,COMPLETE
60,-3625.519370854466,2025-12-08 12:24:45.975244,2025-12-08 12:24:47.282487,0 days 00:00:01.307243,extensive,final,ols,pca_only,True,COMPLETE
61,-3714.3078690734806,2025-12-08 12:24:47.282487,2025-12-08 12:24:48.624456,0 days 00:00:01.341969,extensive,final,ols,pca_only,True,COMPLETE
62,-3624.9624767923474,2025-12-08 12:24:48.625559,2025-12-08 12:24:49.945501,0 days 00:00:01.319942,extensive,final,ols,pca_only,True,COMPLETE
