number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
39,-88895.79029105422,2025-12-08 12:37:52.787952,2025-12-08 12:37:54.010122,0 days 00:00:01.222170,extensive,final,ols,pca_block,True,COMPLETE
40,-88879.30080149701,2025-12-08 12:37:54.010122,2025-12-08 12:37:55.205879,0 days 00:00:01.195757,extensive,final,ols,pca_block,True,COMPLETE
41,-88877.57635331621,2025-12-08 12:37:55.207885,2025-12-08 12:37:56.447112,0 days 00:00:01.239227,extensive,final,ols,pca_block,True,COMPLETE
42,-88879.08587731219,2025-12-08 12:37:56.448264,2025-12-08 12:37:57.659080,0 days 00:00:01.210816,extensive,final,ols,pca_block,True,COMPLETE
43,-88878.25623959977,2025-12-08 12:37:57.660038,2025-12-08 12:37:58.900567,0 days 00:00:01.240529,extensive,final,ols,pca_block,True,COMPLETE
44,-88876.49128302925,2025-12-08 12:37:58.900567,2025-12-08 12:38:00.140733,0 days 00:00:01.240166,extensive,final,ols,pca_block,True,COMPLETE
45,-88877.5780454806,2025-12-08 12:38:00.140733,2025-12-08 12:38:01.390343,0 days 00:00:01.249610,extensive,final,ols,pca_block,True,COMPLETE
46,-88877.27910141261,2025-12-08 12:38:01.390343,2025-12-08 12:38:02.609012,0 days 00:00:01.218669,extensive,final,ols,pca_block,True,COMPLETE
47,-88880.39535090332,2025-12-08 12:38:02.610188,2025-12-08 12:38:03.834854,0 days 00:00:01.224666,extensive,final,ols,pca_block,True,COMPLETE
48,-88882.2991354108,2025-12-08 12:38:03.834854,2025-12-08 12:38:05.075986,0 days 00:00:01.241132,extensive,final,ols,pca_block,True,COMPLETE
49,-88877.15729590405,2025-12-08 12:38:05.076977,2025-12-08 12:38:06.315936,0 days 00:00:01.238959,extensive,final,ols,pca_block,True,COMPLETE
50,-88880.2614345228,2025-12-08 12:38:06.317251,2025-12-08 12:38:07.576238,0 days 00:00:01.258987,extensive,final,ols,pca_block,True,COMPLETE
51,-88875.65961697878,2025-12-08 12:38:07.577330,2025-12-08 12:38:08.872235,0 days 00:00:01.294905,extensive,final,ols,pca_block,True,COMPLETE
52,-88878.17346573567,2025-12-08 12:38:08.874655,2025-12-08 12:38:09.994570,0 days 00:00:01.119915,extensive,final,ols,pca_block,True,COMPLETE
53,-88887.07709566248,2025-12-08 12:38:09.995038,2025-12-08 12:38:11.271082,0 days 00:00:01.276044,extensive,final,ols,pca_block,True,COMPLETE
54,-88870.07729648864,2025-12-08 12:38:11.271947,2025-12-08 12:38:12.509665,0 days 00:00:01.237718,extensive,final,ols,pca_block,True,COMPLETE
55,-88879.08785139986,2025-12-08 12:38:12.509665,2025-12-08 12:38:13.757148,0 days 00:00:01.247483,extensive,final,ols,pca_block,True,COMPLETE
56,-88878.57526067957,2025-12-08 12:38:13.757148,2025-12-08 12:38:15.027273,0 days 00:00:01.270125,extensive,final,ols,pca_block,True,COMPLETE
