model_type,feature_level,label,best_value,best_ridge_alpha,best_lasso_alpha,best_enet_alpha,best_enet_l1_ratio,best_lgbm_num_leaves,best_lgbm_max_depth,best_lgbm_learning_rate,best_lgbm_min_child_samples,best_lgbm_subsample,best_lgbm_colsample_bytree,best_lgbm_n_estimators,best_lgbm_reg_alpha,best_lgbm_reg_lambda,best_xgb_max_depth,best_xgb_min_child_weight,best_xgb_subsample,best_xgb_colsample_bytree,best_xgb_learning_rate,best_xgb_n_estimators,best_xgb_reg_lambda,best_xgb_reg_alpha
ols,pca_only,PCA,-2689.600550075115,,,,,,,,,,,,,,,,,,,,,
ols,pca_hybrid,PCA,-19015.38988300681,,,,,,,,,,,,,,,,,,,,,
ols,pca_block,PCA,-88855.37602955673,,,,,,,,,,,,,,,,,,,,,
ridge,pca_only,PCA,-1481.4593613604736,998.7680405257406,,,,,,,,,,,,,,,,,,,,
ridge,pca_hybrid,PCA,-8593.388523465366,992.3316435830507,,,,,,,,,,,,,,,,,,,,
ridge,pca_block,PCA,-8.493580534456823,738.7224041331232,,,,,,,,,,,,,,,,,,,,
lasso,pca_only,PCA,-0.0016559721242364045,,3.5491028142856837,,,,,,,,,,,,,,,,,,,
lasso,pca_hybrid,PCA,-0.0016559721242364045,,0.004088726167607177,,,,,,,,,,,,,,,,,,,
lasso,pca_block,PCA,-0.0016559721242364045,,0.500749083830163,,,,,,,,,,,,,,,,,,,
elastic,pca_only,PCA,-0.0016559721242364045,,,0.04566370843240339,0.08976427208249105,,,,,,,,,,,,,,,,,
elastic,pca_hybrid,PCA,-0.0016559721242364045,,,0.004333326353213267,0.7668487527826934,,,,,,,,,,,,,,,,,
elastic,pca_block,PCA,-0.0016559721242364045,,,0.06883809438653712,0.14297958604320238,,,,,,,,,,,,,,,,,
lgbm,pca_only,PCA,-0.0016559720935109083,,,,,80.0,3.0,0.006805667222662842,40.0,0.8871152667198151,0.5511446482702094,2740.0,4.682363330874883,0.2922205455136748,,,,,,,,
lgbm,pca_hybrid,PCA,-0.0016559720935109083,,,,,87.0,4.0,0.05395397113117647,65.0,0.5037803837009349,0.822485914722294,367.0,1.6206610536235462,0.6018320261265143,,,,,,,,
lgbm,pca_block,PCA,-0.0010673339800620167,,,,,89.0,12.0,0.02650892541934112,25.0,0.5361411198227799,0.9584452036407413,2862.0,0.9073618000249821,2.6203936772476406,,,,,,,,
xgb,pca_only,PCA,-0.0016011357632122654,,,,,,,,,,,,,,10.0,12.0,0.3454078514175484,0.31858799971148394,0.03841120338386615,3798.0,0.19982914185219616,1.451169790880317
xgb,pca_hybrid,PCA,-0.0006336604657954936,,,,,,,,,,,,,,7.0,8.0,0.38255469881452214,0.4552832906709837,0.0019530615065270498,701.0,0.4233534919889027,0.12947609908041774
xgb,pca_block,PCA,0.0004911809949544876,,,,,,,,,,,,,,7.0,9.0,0.8390078727743419,0.7071827147036024,0.04939751580328495,2491.0,0.27871491472132526,1.0081727630517028
