number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
22,-0.0016559720935109083,2025-12-08 14:00:52.438974,2025-12-08 14:00:54.238256,0 days 00:00:01.799282,0.6802669547014635,0.07983084102941837,11,83,2523,105,1.998716580597617,0.7571867269503985,0.8374005511301144,extensive,final,lgbm,pca_only,True,COMPLETE
23,-0.0016559720935109083,2025-12-08 14:00:54.239298,2025-12-08 14:00:56.105238,0 days 00:00:01.865940,0.6305767228121016,0.04375833099143254,8,100,3489,119,1.4773683112384648,3.554355763570204,0.7731043990169011,extensive,final,lgbm,pca_only,True,COMPLETE
24,-0.0036190501987749535,2025-12-08 14:00:56.105238,2025-12-08 14:00:57.970336,0 days 00:00:01.865098,0.7278806242328922,0.028710107275578985,10,66,3593,84,0.735225245350839,0.8655286239124279,0.9046578853285743,extensive,final,lgbm,pca_only,True,COMPLETE
25,-0.0016559720935109083,2025-12-08 14:00:57.971463,2025-12-08 14:00:59.809184,0 days 00:00:01.837721,0.5654605403132672,0.06269312758729842,9,21,3032,94,2.4159266126881405,0.21209044475268427,0.7145528080437201,extensive,final,lgbm,pca_only,True,COMPLETE
26,-0.0016559720935109083,2025-12-08 14:00:59.809184,2025-12-08 14:01:01.593758,0 days 00:00:01.784574,0.6117698911665357,0.042874240423306335,4,92,2453,102,1.6099787243161083,0.5578673365516664,0.858487944628239,extensive,final,lgbm,pca_only,True,COMPLETE
27,-0.0016559720935109083,2025-12-08 14:01:01.593758,2025-12-08 14:01:03.305012,0 days 00:00:01.711254,0.8369021573513754,0.09895743646129104,11,51,1841,112,2.8704035874689975,3.071470696792533,0.7642495575708925,extensive,final,lgbm,pca_only,True,COMPLETE
28,-0.0016559720935109083,2025-12-08 14:01:03.305012,2025-12-08 14:01:05.021059,0 days 00:00:01.716047,0.7568243139367891,0.020387353999087157,7,75,2927,128,3.6772162718008623,0.19978438209744542,0.8251503935646248,extensive,final,lgbm,pca_only,True,COMPLETE
29,-0.0023041140597118335,2025-12-08 14:01:05.022019,2025-12-08 14:01:07.188564,0 days 00:00:02.166545,0.5548680929083241,0.01774710460079694,8,63,3789,78,0.7783258222246621,0.10338277558382665,0.6092307756905332,extensive,final,lgbm,pca_only,True,COMPLETE
30,-0.0016988109356315857,2025-12-08 14:01:07.189658,2025-12-08 14:01:09.006109,0 days 00:00:01.816451,0.5012943983315861,0.0734004768761813,10,35,2361,118,1.230845700145473,11.654258583967469,0.7428112646938186,extensive,final,lgbm,pca_only,True,COMPLETE
31,-0.0016559720935109083,2025-12-08 14:01:09.007134,2025-12-08 14:01:10.922140,0 days 00:00:01.915006,0.7972892341090752,0.0961817535422593,5,51,3286,121,4.553586849781879,2.3080576984015035,0.9039696619885974,extensive,final,lgbm,pca_only,True,COMPLETE
32,-0.0016559720935109083,2025-12-08 14:01:10.922140,2025-12-08 14:01:12.890244,0 days 00:00:01.968104,0.8963276753315207,0.049697467647033595,5,46,3285,116,4.471015710712411,1.2242684131208963,0.8805742237330894,extensive,final,lgbm,pca_only,True,COMPLETE
33,-0.0016559720935109083,2025-12-08 14:01:12.890244,2025-12-08 14:01:14.857378,0 days 00:00:01.967134,0.995565303995418,0.08482673225299299,6,71,3989,124,4.058010355954171,0.9166656414146696,0.9507501948410559,extensive,final,lgbm,pca_only,True,COMPLETE
34,-0.001882988881343417,2025-12-08 14:01:14.857378,2025-12-08 14:01:16.939277,0 days 00:00:02.081899,0.8070929920463583,0.03812607605713194,7,56,2957,109,1.0973092036871939,0.30768146276676583,0.9147742835270045,extensive,final,lgbm,pca_only,True,COMPLETE
35,-0.0016559720935109083,2025-12-08 14:01:16.940542,2025-12-08 14:01:19.076304,0 days 00:00:02.135762,0.7451488456859192,0.02987441813735821,4,26,3740,115,4.867544064375721,1.6910113270980252,0.8530017481956303,extensive,final,lgbm,pca_only,True,COMPLETE
36,-0.0016559720935109083,2025-12-08 14:01:19.076304,2025-12-08 14:01:21.021344,0 days 00:00:01.945040,0.69484661400254,0.057665712858625005,5,83,1152,74,2.1139820643034692,9.221591502428623,0.767470636753505,extensive,final,lgbm,pca_only,True,COMPLETE
37,-0.0016559720935109083,2025-12-08 14:01:21.022731,2025-12-08 14:01:22.693327,0 days 00:00:01.670596,0.7713468373551218,0.01587081967485931,7,15,700,90,3.6277946802927907,0.16774185760319002,0.8781263670667492,extensive,final,lgbm,pca_only,True,COMPLETE
38,-0.0016559720935109083,2025-12-08 14:01:22.694389,2025-12-08 14:01:24.556253,0 days 00:00:01.861864,0.8078186386465587,0.009292127505822267,3,10,3340,125,4.341337587206017,4.7134731369585525,0.6579878441766753,extensive,final,lgbm,pca_only,True,COMPLETE
39,-0.0016559720935109083,2025-12-08 14:01:24.557839,2025-12-08 14:01:26.189667,0 days 00:00:01.631828,0.887699825705889,0.06899969797405972,5,45,2657,105,4.7853096021274455,1.1463455921594297,0.9426787567599616,extensive,final,lgbm,pca_only,True,COMPLETE
40,-0.008760845881553495,2025-12-08 14:01:26.190740,2025-12-08 14:01:27.841299,0 days 00:00:01.650559,0.6707713451221083,0.08252296011597687,4,38,522,67,0.41736429712211187,2.507849681116845,0.9771591961939061,extensive,final,lgbm,pca_only,True,COMPLETE
41,-0.0016559720935109083,2025-12-08 14:01:27.841803,2025-12-08 14:01:30.023338,0 days 00:00:02.181535,0.5308955305968693,0.03162470672677968,6,86,1158,70,3.442614084839391,0.1228319749506741,0.9876463558510638,extensive,final,lgbm,pca_only,True,COMPLETE
42,-0.0016559720935109083,2025-12-08 14:01:30.023338,2025-12-08 14:01:31.838599,0 days 00:00:01.815261,0.5342326647847965,0.03912244333027882,5,87,889,71,4.247568663837724,0.15399828811173685,0.9283784248119773,extensive,final,lgbm,pca_only,True,COMPLETE
43,-0.0016559720935109083,2025-12-08 14:01:31.839602,2025-12-08 14:01:33.590377,0 days 00:00:01.750775,0.5715346496852911,0.007035021081955926,3,89,593,75,3.012188830640525,0.24979394102086175,0.9707168725215892,extensive,final,lgbm,pca_only,True,COMPLETE
44,-0.0016559720935109083,2025-12-08 14:01:33.591533,2025-12-08 14:01:35.390719,0 days 00:00:01.799186,0.6360227195799036,0.03592547200757041,4,78,2219,84,3.785938479632603,0.5219904456127052,0.7255107076314086,extensive,final,lgbm,pca_only,True,COMPLETE
45,-0.0016559720935109083,2025-12-08 14:01:35.390719,2025-12-08 14:01:37.078626,0 days 00:00:01.687907,0.8235311895046276,0.052793383750900785,6,94,1344,90,2.4141822311331445,0.3701396225215757,0.6861260346802932,extensive,final,lgbm,pca_only,True,COMPLETE
46,-0.0016559720935109083,2025-12-08 14:01:37.078626,2025-12-08 14:01:38.810251,0 days 00:00:01.731625,0.8648007912247785,0.06226556830877431,5,52,883,64,3.2596412428112727,15.107058320092444,0.6219338484917911,extensive,final,lgbm,pca_only,True,COMPLETE
47,-0.0016559720935109083,2025-12-08 14:01:38.810251,2025-12-08 14:01:40.690472,0 days 00:00:01.880221,0.5001725805960272,0.02544014398753115,7,61,1885,68,2.7573650217540426,1.593401385475783,0.8927609276674702,extensive,final,lgbm,pca_only,True,COMPLETE
48,-0.0016559720935109083,2025-12-08 14:01:40.692219,2025-12-08 14:01:42.593814,0 days 00:00:01.901595,0.7706970820424505,0.010452472794384738,3,68,1821,81,1.7683203688615534,0.14602729394805888,0.792688249740068,extensive,final,lgbm,pca_only,True,COMPLETE
49,-0.0016559720935109083,2025-12-08 14:01:42.593814,2025-12-08 14:01:44.222604,0 days 00:00:01.628790,0.6139853655482822,0.02119258888883881,8,26,230,96,3.876036169778697,8.232547126651399,0.8602603463111111,extensive,final,lgbm,pca_only,True,COMPLETE
50,-0.0016559720935109083,2025-12-08 14:01:44.224002,2025-12-08 14:01:46.022478,0 days 00:00:01.798476,0.5416231746095931,0.046180524743359694,9,96,3123,121,3.540935547910226,0.28379502154414094,0.949852982413023,extensive,final,lgbm,pca_only,True,COMPLETE
51,-0.0016559720935109083,2025-12-08 14:01:46.022478,2025-12-08 14:01:48.125286,0 days 00:00:02.102808,0.9612179338006853,0.0059396463342114144,6,77,844,75,1.2726912867826317,2.037074791317339,0.6413648106043374,extensive,final,lgbm,pca_only,True,COMPLETE
52,-0.0016559720935109083,2025-12-08 14:01:48.126294,2025-12-08 14:01:49.941823,0 days 00:00:01.815529,0.9234969567134608,0.00661891699436503,5,80,1291,73,1.6360598765120598,4.154355552847887,0.5825191311015588,extensive,final,lgbm,pca_only,True,COMPLETE
53,-0.0016559720935109083,2025-12-08 14:01:49.942830,2025-12-08 14:01:51.805367,0 days 00:00:01.862537,0.7108654508640841,0.013094745170074777,4,90,365,77,2.1810993940532035,0.42139648105022737,0.5204389438901997,extensive,final,lgbm,pca_only,True,COMPLETE
54,-0.002811801226480689,2025-12-08 14:01:51.806368,2025-12-08 14:01:53.657846,0 days 00:00:01.851478,0.9457612148103939,0.012345556376539233,12,73,739,86,0.9721666234184911,2.6218945592439575,0.6752030437315552,extensive,final,lgbm,pca_only,True,COMPLETE
55,-0.0016559720935109083,2025-12-08 14:01:53.657846,2025-12-08 14:01:55.524919,0 days 00:00:01.867073,0.5880377083839923,0.015958160128738855,6,82,2811,69,1.944571389016142,1.0737576589026108,0.838989409203519,extensive,final,lgbm,pca_only,True,COMPLETE
56,-0.0016559720935109083,2025-12-08 14:01:55.525466,2025-12-08 14:01:57.375426,0 days 00:00:01.849960,0.6657840081229425,0.024649237357990874,5,35,1690,66,1.430151626493663,1.431113605928136,0.7276602478683984,extensive,final,lgbm,pca_only,True,COMPLETE
57,-0.0016559720935109083,2025-12-08 14:01:57.375426,2025-12-08 14:01:59.141483,0 days 00:00:01.766057,0.8622932445052075,0.0052386825108493166,4,93,992,82,2.5802049762442048,1.9537431532401741,0.6557432599030457,extensive,final,lgbm,pca_only,True,COMPLETE
