number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
35,-754.9759406007612,2025-12-08 13:00:15.776449,2025-12-08 13:00:18.093172,0 days 00:00:02.316723,404.44823719512067,extensive,final,ridge,pca_block,True,COMPLETE
36,-6872.317218325402,2025-12-08 13:00:18.094250,2025-12-08 13:00:20.149417,0 days 00:00:02.055167,157.3328051704891,extensive,final,ridge,pca_block,True,COMPLETE
37,-585.723077190806,2025-12-08 13:00:20.152416,2025-12-08 13:00:23.060401,0 days 00:00:02.907985,430.9964889956285,extensive,final,ridge,pca_block,True,COMPLETE
38,-29654.268685727802,2025-12-08 13:00:23.061912,2025-12-08 13:00:25.481417,0 days 00:00:02.419505,33.470170467247854,extensive,final,ridge,pca_block,True,COMPLETE
39,-11007.61055929216,2025-12-08 13:00:25.481417,2025-12-08 13:00:28.035883,0 days 00:00:02.554466,109.86359372635745,extensive,final,ridge,pca_block,True,COMPLETE
40,-228.05357536224892,2025-12-08 13:00:28.035883,2025-12-08 13:00:30.479210,0 days 00:00:02.443327,519.9572234113411,extensive,final,ridge,pca_block,True,COMPLETE
41,-57.34227555435664,2025-12-08 13:00:30.479210,2025-12-08 13:00:33.000710,0 days 00:00:02.521500,905.1592466205753,extensive,final,ridge,pca_block,True,COMPLETE
42,-77.40004916774014,2025-12-08 13:00:33.000710,2025-12-08 13:00:35.616150,0 days 00:00:02.615440,944.3474407465004,extensive,final,ridge,pca_block,True,COMPLETE
43,-3658.305117095948,2025-12-08 13:00:35.618408,2025-12-08 13:00:38.209225,0 days 00:00:02.590817,226.75941023571318,extensive,final,ridge,pca_block,True,COMPLETE
44,-732.0393035863693,2025-12-08 13:00:38.210320,2025-12-08 13:00:40.097611,0 days 00:00:01.887291,407.7230942658949,extensive,final,ridge,pca_block,True,COMPLETE
45,-17663.33372635482,2025-12-08 13:00:40.098122,2025-12-08 13:00:42.529135,0 days 00:00:02.431013,68.44547331356243,extensive,final,ridge,pca_block,True,COMPLETE
46,-88849.46494967652,2025-12-08 13:00:42.529646,2025-12-08 13:00:44.175208,0 days 00:00:01.645562,0.002472694908869886,extensive,final,ridge,pca_block,True,COMPLETE
47,-33006.034799829664,2025-12-08 13:00:44.176216,2025-12-08 13:00:47.145122,0 days 00:00:02.968906,27.870666177174677,extensive,final,ridge,pca_block,True,COMPLETE
48,-88257.01454152995,2025-12-08 13:00:47.146333,2025-12-08 13:00:49.683647,0 days 00:00:02.537314,0.05850631540761905,extensive,final,ridge,pca_block,True,COMPLETE
49,-33.3057175513209,2025-12-08 13:00:49.685758,2025-12-08 13:00:52.380071,0 days 00:00:02.694313,650.4880228817523,extensive,final,ridge,pca_block,True,COMPLETE
50,-10359.601087265639,2025-12-08 13:00:52.380071,2025-12-08 13:00:54.930469,0 days 00:00:02.550398,115.68913509030611,extensive,final,ridge,pca_block,True,COMPLETE
51,-275.127589648052,2025-12-08 13:00:54.930469,2025-12-08 13:00:57.550236,0 days 00:00:02.619767,503.57163125261326,extensive,final,ridge,pca_block,True,COMPLETE
52,-29.212943418520315,2025-12-08 13:00:57.550236,2025-12-08 13:01:00.186255,0 days 00:00:02.636019,657.4170335942705,extensive,final,ridge,pca_block,True,COMPLETE
53,-3141.5654203968447,2025-12-08 13:01:00.186255,2025-12-08 13:01:02.865430,0 days 00:00:02.679175,244.09708524445014,extensive,final,ridge,pca_block,True,COMPLETE
54,-21.981967761754802,2025-12-08 13:01:02.865430,2025-12-08 13:01:05.295825,0 days 00:00:02.430395,671.7783422886212,extensive,final,ridge,pca_block,True,COMPLETE
55,-3550.5592886896134,2025-12-08 13:01:05.295825,2025-12-08 13:01:07.513225,0 days 00:00:02.217400,230.13843281304926,extensive,final,ridge,pca_block,True,COMPLETE
56,-88876.97412268365,2025-12-08 13:01:07.513225,2025-12-08 13:01:09.412078,0 days 00:00:01.898853,0.00012449484692411735,extensive,final,ridge,pca_block,True,COMPLETE
57,-12556.16868272284,2025-12-08 13:01:09.412871,2025-12-08 13:01:11.846060,0 days 00:00:02.433189,97.60189203652962,extensive,final,ridge,pca_block,True,COMPLETE
58,-106.00321474362221,2025-12-08 13:01:11.847111,2025-12-08 13:01:14.229797,0 days 00:00:02.382686,579.7269410090913,extensive,final,ridge,pca_block,True,COMPLETE
59,-68479.80149158745,2025-12-08 13:01:14.230126,2025-12-08 13:01:16.700438,0 days 00:00:02.470312,3.860383631117098,extensive,final,ridge,pca_block,True,COMPLETE
60,-45319.617579004895,2025-12-08 13:01:16.701053,2025-12-08 13:01:18.829818,0 days 00:00:02.128765,14.665678315577242,extensive,final,ridge,pca_block,True,COMPLETE
61,-10.897170926670475,2025-12-08 13:01:18.829818,2025-12-08 13:01:21.064266,0 days 00:00:02.234448,770.5954170127121,extensive,final,ridge,pca_block,True,COMPLETE
