number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
30,-0.0016559721242364045,2025-12-08 13:44:52.833762,2025-12-08 13:44:54.450585,0 days 00:00:01.616823,0.007405859134654288,0.32370976882992863,extensive,final,elastic,pca_hybrid,True,COMPLETE
31,-0.0016559721242364045,2025-12-08 13:44:54.450585,2025-12-08 13:44:55.883586,0 days 00:00:01.433001,0.029706002971996322,0.9094556489563275,extensive,final,elastic,pca_hybrid,True,COMPLETE
32,-0.0016559721242364045,2025-12-08 13:44:55.884146,2025-12-08 13:44:57.433894,0 days 00:00:01.549748,0.027067308745301107,0.9426055073278999,extensive,final,elastic,pca_hybrid,True,COMPLETE
33,-0.0016559721242364045,2025-12-08 13:44:57.434553,2025-12-08 13:44:59.284393,0 days 00:00:01.849840,0.018579609566517743,0.7782851291864651,extensive,final,elastic,pca_hybrid,True,COMPLETE
34,-1348.1051216816466,2025-12-08 13:44:59.284393,2025-12-08 13:45:00.800263,0 days 00:00:01.515870,0.0003138469627834522,0.8785709800016672,extensive,final,elastic,pca_hybrid,True,COMPLETE
35,-0.0016559721242364045,2025-12-08 13:45:00.801020,2025-12-08 13:45:02.283871,0 days 00:00:01.482851,0.05038096805766877,0.15560132632630613,extensive,final,elastic,pca_hybrid,True,COMPLETE
36,-805.6003872336206,2025-12-08 13:45:02.284430,2025-12-08 13:45:03.776634,0 days 00:00:01.492204,0.00013948545537773274,0.6780009273971062,extensive,final,elastic,pca_hybrid,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:45:03.776634,2025-12-08 13:45:05.251107,0 days 00:00:01.474473,0.0025932057811833675,0.59152416561808,extensive,final,elastic,pca_hybrid,True,COMPLETE
38,-0.0016559721242364045,2025-12-08 13:45:05.251107,2025-12-08 13:45:06.846821,0 days 00:00:01.595714,0.007709849329435869,0.45681476423841566,extensive,final,elastic,pca_hybrid,True,COMPLETE
39,-0.0016559721242364045,2025-12-08 13:45:06.846821,2025-12-08 13:45:08.465022,0 days 00:00:01.618201,0.04604799383329121,0.7441716387454002,extensive,final,elastic,pca_hybrid,True,COMPLETE
40,-0.0016559721242364045,2025-12-08 13:45:08.465022,2025-12-08 13:45:10.101905,0 days 00:00:01.636883,0.09832278592021727,0.8170297528168509,extensive,final,elastic,pca_hybrid,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:45:10.102912,2025-12-08 13:45:11.660230,0 days 00:00:01.557318,0.009949507481652792,0.12760471508935922,extensive,final,elastic,pca_hybrid,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:45:11.660766,2025-12-08 13:45:13.102925,0 days 00:00:01.442159,0.016606114872240715,0.36473219969420967,extensive,final,elastic,pca_hybrid,True,COMPLETE
43,-0.001804893385218535,2025-12-08 13:45:13.102925,2025-12-08 13:45:14.553506,0 days 00:00:01.450581,0.00691102157268452,0.1084627501720673,extensive,final,elastic,pca_hybrid,True,COMPLETE
44,-0.00185829116362779,2025-12-08 13:45:14.553987,2025-12-08 13:45:16.018127,0 days 00:00:01.464140,0.0033353502045508692,0.21525193336642792,extensive,final,elastic,pca_hybrid,True,COMPLETE
45,-11008.862555826849,2025-12-08 13:45:16.018127,2025-12-08 13:45:17.602627,0 days 00:00:01.584500,0.0010673350553921312,0.029858279944732516,extensive,final,elastic,pca_hybrid,True,COMPLETE
46,-0.0016559721242364045,2025-12-08 13:45:17.603624,2025-12-08 13:45:19.085841,0 days 00:00:01.482217,0.012565156738066687,0.49456286463424287,extensive,final,elastic,pca_hybrid,True,COMPLETE
47,-0.0016559721242364045,2025-12-08 13:45:19.086877,2025-12-08 13:45:20.601738,0 days 00:00:01.514861,0.005562141680419522,0.95939532557874,extensive,final,elastic,pca_hybrid,True,COMPLETE
48,-1455.1645810002158,2025-12-08 13:45:20.602982,2025-12-08 13:45:22.236355,0 days 00:00:01.633373,0.0003752770597430004,0.7170184537573171,extensive,final,elastic,pca_hybrid,True,COMPLETE
49,-0.0016559721242364045,2025-12-08 13:45:22.236355,2025-12-08 13:45:23.721855,0 days 00:00:01.485500,0.002059094653536019,0.8690153076665178,extensive,final,elastic,pca_hybrid,True,COMPLETE
50,-13.393804749152181,2025-12-08 13:45:23.721855,2025-12-08 13:45:25.930987,0 days 00:00:02.209132,0.0007165089089664098,0.5958107738506339,extensive,final,elastic,pca_hybrid,True,COMPLETE
51,-0.0016559721242364045,2025-12-08 13:45:25.930987,2025-12-08 13:45:27.484026,0 days 00:00:01.553039,0.0449837542077572,0.2575468570842285,extensive,final,elastic,pca_hybrid,True,COMPLETE
52,-0.0016559721242364045,2025-12-08 13:45:27.484026,2025-12-08 13:45:29.001232,0 days 00:00:01.517206,0.019712945491708808,0.5430359519064465,extensive,final,elastic,pca_hybrid,True,COMPLETE
53,-0.0016559721242364045,2025-12-08 13:45:29.001232,2025-12-08 13:45:30.516500,0 days 00:00:01.515268,0.052844005117891654,0.3619794830704182,extensive,final,elastic,pca_hybrid,True,COMPLETE
54,-0.0016559721242364045,2025-12-08 13:45:30.516500,2025-12-08 13:45:32.121258,0 days 00:00:01.604758,0.06517974785586937,0.9920376357860653,extensive,final,elastic,pca_hybrid,True,COMPLETE
55,-0.0016559721242364045,2025-12-08 13:45:32.121258,2025-12-08 13:45:33.753989,0 days 00:00:01.632731,0.009689432043515233,0.7952252499778115,extensive,final,elastic,pca_hybrid,True,COMPLETE
56,-0.0016559721242364045,2025-12-08 13:45:33.753989,2025-12-08 13:45:35.501741,0 days 00:00:01.747752,0.03126939599102702,0.8996302090707194,extensive,final,elastic,pca_hybrid,True,COMPLETE
57,-107.64004065572009,2025-12-08 13:45:35.501741,2025-12-08 13:45:37.153231,0 days 00:00:01.651490,0.0017145855550096765,0.0760149118350368,extensive,final,elastic,pca_hybrid,True,COMPLETE
58,-0.0016559721242364045,2025-12-08 13:45:37.153231,2025-12-08 13:45:38.755385,0 days 00:00:01.602154,0.07257253732492587,0.4435437975973209,extensive,final,elastic,pca_hybrid,True,COMPLETE
59,-0.0016559721242364045,2025-12-08 13:45:38.755385,2025-12-08 13:45:40.414298,0 days 00:00:01.658913,0.004637129049358072,0.7517468176809345,extensive,final,elastic,pca_hybrid,True,COMPLETE
60,-0.0019955190191717578,2025-12-08 13:45:40.414298,2025-12-08 13:45:42.002270,0 days 00:00:01.587972,0.003307925011348835,0.19351258646834069,extensive,final,elastic,pca_hybrid,True,COMPLETE
61,-0.0016559721242364045,2025-12-08 13:45:42.002270,2025-12-08 13:45:43.519484,0 days 00:00:01.517214,0.03602417850612484,0.3899277004994963,extensive,final,elastic,pca_hybrid,True,COMPLETE
62,-0.0016559721242364045,2025-12-08 13:45:43.519484,2025-12-08 13:45:45.036482,0 days 00:00:01.516998,0.01557559039148924,0.31616519510725866,extensive,final,elastic,pca_hybrid,True,COMPLETE
63,-16580.550028840524,2025-12-08 13:45:45.036482,2025-12-08 13:45:46.620623,0 days 00:00:01.584141,1.0773409490086528e-05,0.5538164930091989,extensive,final,elastic,pca_hybrid,True,COMPLETE
64,-0.0016559721242364045,2025-12-08 13:45:46.620623,2025-12-08 13:45:48.171277,0 days 00:00:01.550654,0.02263164273491958,0.6353618929572225,extensive,final,elastic,pca_hybrid,True,COMPLETE
65,-0.0016559721242364045,2025-12-08 13:45:48.172284,2025-12-08 13:45:49.885974,0 days 00:00:01.713690,0.0013109220600683136,0.9281600494018685,extensive,final,elastic,pca_hybrid,True,COMPLETE
66,-0.0016559721242364045,2025-12-08 13:45:49.885974,2025-12-08 13:45:51.413757,0 days 00:00:01.527783,0.0025996142000403,0.8492962463468299,extensive,final,elastic,pca_hybrid,True,COMPLETE
67,-293.70684405996883,2025-12-08 13:45:51.413757,2025-12-08 13:45:53.051880,0 days 00:00:01.638123,0.0007768379374006207,0.47084654458315156,extensive,final,elastic,pca_hybrid,True,COMPLETE
68,-15314.180875866921,2025-12-08 13:45:53.051880,2025-12-08 13:45:54.620332,0 days 00:00:01.568452,0.005240282804136921,0.002695420823324579,extensive,final,elastic,pca_hybrid,True,COMPLETE
69,-0.0016559721242364045,2025-12-08 13:45:54.621595,2025-12-08 13:45:56.120412,0 days 00:00:01.498817,0.008406352273296372,0.28922990213925515,extensive,final,elastic,pca_hybrid,True,COMPLETE
70,-0.0016559721242364045,2025-12-08 13:45:56.120412,2025-12-08 13:45:57.639068,0 days 00:00:01.518656,0.006330005576921932,0.6914861362399527,extensive,final,elastic,pca_hybrid,True,COMPLETE
71,-0.0016559721242364045,2025-12-08 13:45:57.639068,2025-12-08 13:45:59.170798,0 days 00:00:01.531730,0.011344491753103047,0.6069721432321384,extensive,final,elastic,pca_hybrid,True,COMPLETE
72,-0.0016559721242364045,2025-12-08 13:45:59.172079,2025-12-08 13:46:00.673387,0 days 00:00:01.501308,0.00399579787167504,0.5128851094522795,extensive,final,elastic,pca_hybrid,True,COMPLETE
73,-0.0016559721242364045,2025-12-08 13:46:00.673387,2025-12-08 13:46:02.205131,0 days 00:00:01.531744,0.016207330725880834,0.7011921285215952,extensive,final,elastic,pca_hybrid,True,COMPLETE
74,-0.0016559721242364045,2025-12-08 13:46:02.205131,2025-12-08 13:46:03.770896,0 days 00:00:01.565765,0.03539688262568467,0.8164951374548233,extensive,final,elastic,pca_hybrid,True,COMPLETE
75,-676.6084080433379,2025-12-08 13:46:03.770896,2025-12-08 13:46:05.452579,0 days 00:00:01.681683,0.0004984666885024494,0.652304321166853,extensive,final,elastic,pca_hybrid,True,COMPLETE
76,-0.0016559721242364045,2025-12-08 13:46:05.452579,2025-12-08 13:46:06.971048,0 days 00:00:01.518469,0.01234119451662772,0.41937962241728977,extensive,final,elastic,pca_hybrid,True,COMPLETE
77,-0.0016559721242364045,2025-12-08 13:46:06.971048,2025-12-08 13:46:08.486690,0 days 00:00:01.515642,0.0026111555925856754,0.7717448998875595,extensive,final,elastic,pca_hybrid,True,COMPLETE
78,-0.0016559721242364045,2025-12-08 13:46:08.486690,2025-12-08 13:46:10.018896,0 days 00:00:01.532206,0.02285469737749501,0.536048627313509,extensive,final,elastic,pca_hybrid,True,COMPLETE
79,-0.0016559721242364045,2025-12-08 13:46:10.018896,2025-12-08 13:46:11.556238,0 days 00:00:01.537342,0.007695864031703787,0.9637225625073543,extensive,final,elastic,pca_hybrid,True,COMPLETE
