number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
34,-0.0016559721242364045,2025-12-08 13:12:08.318726,2025-12-08 13:12:10.995819,0 days 00:00:02.677093,0.0014299936945879564,extensive,final,lasso,pca_only,True,COMPLETE
35,-138.45541431518862,2025-12-08 13:12:10.997840,2025-12-08 13:12:13.525013,0 days 00:00:02.527173,0.0002728549661117339,extensive,final,lasso,pca_only,True,COMPLETE
36,-0.0016559721242364045,2025-12-08 13:12:13.525013,2025-12-08 13:12:16.156384,0 days 00:00:02.631371,0.003401263475026022,extensive,final,lasso,pca_only,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:12:16.157369,2025-12-08 13:12:18.461128,0 days 00:00:02.303759,0.010105840592564514,extensive,final,lasso,pca_only,True,COMPLETE
38,-0.0016559721242364045,2025-12-08 13:12:18.461128,2025-12-08 13:12:20.836457,0 days 00:00:02.375329,1.2257110076176436,extensive,final,lasso,pca_only,True,COMPLETE
39,-0.0016559721242364045,2025-12-08 13:12:20.836457,2025-12-08 13:12:23.577549,0 days 00:00:02.741092,0.040547418684938795,extensive,final,lasso,pca_only,True,COMPLETE
40,-0.0016559721242364045,2025-12-08 13:12:23.578078,2025-12-08 13:12:26.300255,0 days 00:00:02.722177,0.27465291285915866,extensive,final,lasso,pca_only,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:12:26.302267,2025-12-08 13:12:29.017283,0 days 00:00:02.715016,2.1397800572716723,extensive,final,lasso,pca_only,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:12:29.018284,2025-12-08 13:12:30.862443,0 days 00:00:01.844159,5.8502678198247695,extensive,final,lasso,pca_only,True,COMPLETE
43,-0.0016559721242364045,2025-12-08 13:12:30.862443,2025-12-08 13:12:33.297477,0 days 00:00:02.435034,0.8722828024501978,extensive,final,lasso,pca_only,True,COMPLETE
44,-0.0016559721242364045,2025-12-08 13:12:33.297477,2025-12-08 13:12:35.513048,0 days 00:00:02.215571,9.62163946675232,extensive,final,lasso,pca_only,True,COMPLETE
45,-0.0016559721242364045,2025-12-08 13:12:35.513048,2025-12-08 13:12:37.418473,0 days 00:00:01.905425,0.353560081683722,extensive,final,lasso,pca_only,True,COMPLETE
46,-0.0016559721242364045,2025-12-08 13:12:37.418473,2025-12-08 13:12:39.862431,0 days 00:00:02.443958,2.1374423121744464,extensive,final,lasso,pca_only,True,COMPLETE
47,-0.0016559721242364045,2025-12-08 13:12:39.862431,2025-12-08 13:12:41.706457,0 days 00:00:01.844026,1.1868181285341004,extensive,final,lasso,pca_only,True,COMPLETE
48,-0.0016559721242364045,2025-12-08 13:12:41.707458,2025-12-08 13:12:44.218811,0 days 00:00:02.511353,3.6019084931986627,extensive,final,lasso,pca_only,True,COMPLETE
49,-0.0016559721242364045,2025-12-08 13:12:44.218811,2025-12-08 13:12:46.139811,0 days 00:00:01.921000,0.14716238981617902,extensive,final,lasso,pca_only,True,COMPLETE
50,-0.0016559721242364045,2025-12-08 13:12:46.143252,2025-12-08 13:12:48.474668,0 days 00:00:02.331416,5.470374302493451,extensive,final,lasso,pca_only,True,COMPLETE
51,-0.0016559721242364045,2025-12-08 13:12:48.474668,2025-12-08 13:12:50.772165,0 days 00:00:02.297497,1.4863020019505928,extensive,final,lasso,pca_only,True,COMPLETE
52,-0.0016559721242364045,2025-12-08 13:12:50.773165,2025-12-08 13:12:52.770419,0 days 00:00:01.997254,2.414012042627534,extensive,final,lasso,pca_only,True,COMPLETE
53,-0.0016559721242364045,2025-12-08 13:12:52.771557,2025-12-08 13:12:55.178048,0 days 00:00:02.406491,5.604227685408562,extensive,final,lasso,pca_only,True,COMPLETE
54,-0.0016559721242364045,2025-12-08 13:12:55.178048,2025-12-08 13:12:57.253559,0 days 00:00:02.075511,0.01249399328991796,extensive,final,lasso,pca_only,True,COMPLETE
55,-0.0016559721242364045,2025-12-08 13:12:57.254667,2025-12-08 13:12:59.855673,0 days 00:00:02.601006,0.00477485132570631,extensive,final,lasso,pca_only,True,COMPLETE
56,-0.0016559721242364045,2025-12-08 13:12:59.855673,2025-12-08 13:13:02.407522,0 days 00:00:02.551849,0.0021145475538262575,extensive,final,lasso,pca_only,True,COMPLETE
57,-0.0016559721242364045,2025-12-08 13:13:02.407522,2025-12-08 13:13:04.395561,0 days 00:00:01.988039,0.42009272396956704,extensive,final,lasso,pca_only,True,COMPLETE
58,-0.0016559721242364045,2025-12-08 13:13:04.395561,2025-12-08 13:13:07.295937,0 days 00:00:02.900376,7.237530667430421,extensive,final,lasso,pca_only,True,COMPLETE
