number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
35,-2442.2530690657254,2025-12-08 12:44:14.106969,2025-12-08 12:44:15.682501,0 days 00:00:01.575532,882.7927000130333,extensive,final,ridge,pca_only,True,COMPLETE
36,-3311.5967636303303,2025-12-08 12:44:15.683773,2025-12-08 12:44:17.212158,0 days 00:00:01.528385,190.44814265820443,extensive,final,ridge,pca_only,True,COMPLETE
37,-4062.6967827609883,2025-12-08 12:44:17.213159,2025-12-08 12:44:18.733889,0 days 00:00:01.520730,12.49355140517488,extensive,final,ridge,pca_only,True,COMPLETE
38,-4161.292721024438,2025-12-08 12:44:18.733889,2025-12-08 12:44:20.200179,0 days 00:00:01.466290,0.08387075690033732,extensive,final,ridge,pca_only,True,COMPLETE
39,-3204.606228829675,2025-12-08 12:44:20.201008,2025-12-08 12:44:21.715268,0 days 00:00:01.514260,348.0027681366413,extensive,final,ridge,pca_only,True,COMPLETE
40,-2917.603198051251,2025-12-08 12:44:21.715268,2025-12-08 12:44:23.220861,0 days 00:00:01.505593,541.8832872109439,extensive,final,ridge,pca_only,True,COMPLETE
41,-2575.2249927331995,2025-12-08 12:44:23.220861,2025-12-08 12:44:24.668588,0 days 00:00:01.447727,978.7326875788702,extensive,final,ridge,pca_only,True,COMPLETE
42,-2518.1878111364517,2025-12-08 12:44:24.668588,2025-12-08 12:44:26.134601,0 days 00:00:01.466013,908.1377380990778,extensive,final,ridge,pca_only,True,COMPLETE
43,-3780.1927156576076,2025-12-08 12:44:26.134601,2025-12-08 12:44:27.566737,0 days 00:00:01.432136,72.77629995767083,extensive,final,ridge,pca_only,True,COMPLETE
44,-3664.4182804875777,2025-12-08 12:44:27.567837,2025-12-08 12:44:29.000277,0 days 00:00:01.432440,177.28680110091224,extensive,final,ridge,pca_only,True,COMPLETE
45,-3003.6033492214515,2025-12-08 12:44:29.001281,2025-12-08 12:44:30.565425,0 days 00:00:01.564144,513.6816044102641,extensive,final,ridge,pca_only,True,COMPLETE
46,-3714.2027065465822,2025-12-08 12:44:30.566427,2025-12-08 12:44:32.088769,0 days 00:00:01.522342,4.863578132525303,extensive,final,ridge,pca_only,True,COMPLETE
47,-3759.132537709584,2025-12-08 12:44:32.089730,2025-12-08 12:44:33.618836,0 days 00:00:01.529106,31.645746729230666,extensive,final,ridge,pca_only,True,COMPLETE
