number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
22,-0.0016559721404409238,2025-12-08 14:31:53.396325,2025-12-08 14:31:59.445799,0 days 00:00:06.049474,0.8084617297886072,0.0011286120848676487,8,11,1524,3.4498011519908762,1.315431017875915,0.5952003528895766,extensive,final,xgb,pca_only,True,COMPLETE
23,-0.0016559721404409238,2025-12-08 14:31:59.445799,2025-12-08 14:32:05.591443,0 days 00:00:06.145644,0.8223051341934132,0.0010074576089553985,9,14,1502,2.5075692340281273,8.486298759585774,0.6669073725040436,extensive,final,xgb,pca_only,True,COMPLETE
24,-0.0016559721404409238,2025-12-08 14:32:05.592691,2025-12-08 14:32:13.873713,0 days 00:00:08.281022,0.4133251555106742,0.011943088213942205,7,15,2106,4.2033962973143515,1.8507596422519978,0.5818507602966557,extensive,final,xgb,pca_only,True,COMPLETE
25,-0.0017243630234722307,2025-12-08 14:32:13.874713,2025-12-08 14:32:17.825053,0 days 00:00:03.950340,0.6808179590306519,0.019797491551168063,6,18,923,1.4707828045535873,0.5290074876623121,0.7425336434683937,extensive,final,xgb,pca_only,True,COMPLETE
26,-0.0016559721404409238,2025-12-08 14:32:17.826022,2025-12-08 14:32:28.659827,0 days 00:00:10.833805,0.3036928813185118,0.006582382859791884,8,12,2805,3.849066211726635,0.181589059061322,0.4544417742051832,extensive,final,xgb,pca_only,True,COMPLETE
27,-0.0016559721404409238,2025-12-08 14:32:28.660887,2025-12-08 14:32:42.077566,0 days 00:00:13.416679,0.5501265280641197,0.0332198466746385,9,16,3445,4.640333142671749,4.444617307355415,0.8515182940369523,extensive,final,xgb,pca_only,True,COMPLETE
28,-0.0016559721404409238,2025-12-08 14:32:42.077566,2025-12-08 14:32:49.302103,0 days 00:00:07.224537,0.8959776864942158,0.003538771791435122,5,10,1771,3.2765592534311896,12.777919271777675,0.6894158450610416,extensive,final,xgb,pca_only,True,COMPLETE
29,-0.0016559721404409238,2025-12-08 14:32:49.303142,2025-12-08 14:32:51.594616,0 days 00:00:02.291474,0.7619956391596499,0.04979477430984986,6,6,567,2.727653513149536,0.23389045260628602,0.7995078308043285,extensive,final,xgb,pca_only,True,COMPLETE
30,-0.001655957495768856,2025-12-08 14:32:51.595811,2025-12-08 14:32:59.922455,0 days 00:00:08.326644,0.5081184584602911,0.0022291536566415335,8,13,2114,1.8092135757412797,0.6167584999460684,0.559373038139676,extensive,final,xgb,pca_only,True,COMPLETE
31,-0.0016559721404409238,2025-12-08 14:32:59.922455,2025-12-08 14:33:12.907516,0 days 00:00:12.985061,0.517965164740865,0.002277497318470388,8,14,3401,2.166278882100719,0.6214871360129508,0.5579515681967553,extensive,final,xgb,pca_only,True,COMPLETE
