number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
22,-0.001261529934154515,2025-12-08 20:05:26.421012,2025-12-08 20:06:05.611854,0 days 00:00:39.190842,0.8029146575394314,0.0097403419687097,5,19,2257,110,1.8006916418491454,0.5861088129048245,0.7516057612466616,136,extensive,final,lgbm,,136,False,COMPLETE
23,-0.0011846597440157368,2025-12-08 20:06:05.611854,2025-12-08 20:06:26.416930,0 days 00:00:20.805076,0.7262919582689913,0.04491481295478177,10,66,2509,115,1.4295421719679509,0.8931084030182898,0.7013616276238083,113,extensive,final,lgbm,,113,False,COMPLETE
24,-0.0077409543213562415,2025-12-08 20:06:26.416930,2025-12-08 20:06:46.845818,0 days 00:00:20.428888,0.7551162020154816,0.04678916244544969,9,67,2595,117,0.7154716077943405,2.9662225017175525,0.690062769526483,112,extensive,final,lgbm,,112,False,COMPLETE
25,-0.001261529934154515,2025-12-08 20:06:46.845818,2025-12-08 20:07:40.197612,0 days 00:00:53.351794,0.8925454196450063,0.07027594077051875,10,66,3097,88,2.2810609807789617,2.2063609690128985,0.5750194423378763,150,extensive,final,lgbm,,150,False,COMPLETE
26,-0.0012356262586310728,2025-12-08 20:07:40.199118,2025-12-08 20:07:53.224631,0 days 00:00:13.025513,0.6536831680632826,0.08140270617048866,7,76,2107,127,1.4848841997188413,0.9281618217340437,0.6228948974859285,88,extensive,final,lgbm,,88,False,COMPLETE
27,-0.004471792643413663,2025-12-08 20:07:53.224631,2025-12-08 20:08:31.018828,0 days 00:00:37.794197,0.813958385987648,0.030294261808193453,4,56,3317,100,0.9262647854327979,0.20432863523390207,0.789768784923073,133,extensive,final,lgbm,,133,False,COMPLETE
28,-0.0011972852653780119,2025-12-08 20:08:31.018828,2025-12-08 20:08:47.607947,0 days 00:00:16.589119,0.7356309536969275,0.04427878449382977,9,61,2574,75,1.414607108810883,0.1045483244791513,0.7090834417185667,100,extensive,final,lgbm,,100,False,COMPLETE
29,-0.012059195859077132,2025-12-08 20:08:47.607947,2025-12-08 20:09:08.374498,0 days 00:00:20.766551,0.9412858264350568,0.06157208926878775,11,79,2936,118,0.5558054555294948,0.40555621083533366,0.639294498276051,112,extensive,final,lgbm,,112,False,COMPLETE
30,-0.024363210181453175,2025-12-08 20:09:08.374498,2025-12-08 20:09:50.767069,0 days 00:00:42.392571,0.8616057482561392,0.08887382764872327,8,14,1353,82,0.4242393660169679,1.915137526056723,0.5625336405525466,140,extensive,final,lgbm,,140,False,COMPLETE
31,-0.0012046036713268204,2025-12-08 20:09:50.767069,2025-12-08 20:10:07.361888,0 days 00:00:16.594819,0.7294736485387706,0.04557911520968576,9,59,2574,76,1.4783425610806207,0.1232428055072389,0.7204897874614695,100,extensive,final,lgbm,,100,False,COMPLETE
32,-0.001199949553512747,2025-12-08 20:10:07.361888,2025-12-08 20:10:29.271232,0 days 00:00:21.909344,0.7199582180366733,0.06675697263055394,11,59,2133,74,1.3710768861788836,0.18380656205219084,0.6897686600778796,116,extensive,final,lgbm,,116,False,COMPLETE
33,-0.0037562670029987364,2025-12-08 20:10:29.277249,2025-12-08 20:10:42.374510,0 days 00:00:13.097261,0.7870780628814162,0.04448138965437165,9,64,2459,68,0.9935943767593877,0.10324491770679937,0.7724834804322014,87,extensive,final,lgbm,,87,False,COMPLETE
34,-0.001261529934154515,2025-12-08 20:10:42.376512,2025-12-08 20:11:13.174706,0 days 00:00:30.798194,0.6723784314316357,0.029286789221490677,6,74,2713,90,1.9937402836101794,0.1801347355131146,0.7311870563624007,127,extensive,final,lgbm,,127,False,COMPLETE
35,-0.001261529934154515,2025-12-08 20:11:13.174706,2025-12-08 20:11:19.721097,0 days 00:00:06.546391,0.5752374238008547,0.05650863338350537,11,86,3995,68,2.0499765554427327,6.098216823016068,0.6330184909052733,19,extensive,final,lgbm,,19,False,COMPLETE
36,-0.05248989075846318,2025-12-08 20:11:19.721097,2025-12-08 20:11:31.163460,0 days 00:00:11.442363,0.7384334579781613,0.04213007530927932,10,45,2002,105,0.21854689265385852,0.2715478183740491,0.6719675185957527,75,extensive,final,lgbm,,75,False,COMPLETE
37,-0.001261529934154515,2025-12-08 20:11:31.163460,2025-12-08 20:11:48.222631,0 days 00:00:17.059171,0.68608325585062,0.08515649682132055,7,54,2343,86,2.7857149006056448,0.14556846841962073,0.7849107104626961,102,extensive,final,lgbm,,102,False,COMPLETE
38,-0.001261529934154515,2025-12-08 20:11:48.222631,2025-12-08 20:12:19.641598,0 days 00:00:31.418967,0.8300740022640851,0.007554137845630809,8,61,3589,80,2.5644920535108953,0.8069731341604857,0.6964984321562238,127,extensive,final,lgbm,,127,False,COMPLETE
39,-0.001261529934154515,2025-12-08 20:12:19.644068,2025-12-08 20:13:03.182452,0 days 00:00:43.538384,0.5986374268674768,0.03088135589627182,5,15,1485,97,1.667939320220068,0.35269483180521244,0.5015594639325238,141,extensive,final,lgbm,,141,False,COMPLETE
40,-0.001261529934154515,2025-12-08 20:13:03.182452,2025-12-08 20:13:27.939560,0 days 00:00:24.757108,0.7811505322313103,0.018664581697973477,4,49,3253,64,3.0585365480424196,0.23272167298936078,0.7441908697067259,119,extensive,final,lgbm,,119,False,COMPLETE
41,-0.0011957625718141073,2025-12-08 20:13:27.941776,2025-12-08 20:13:49.230359,0 days 00:00:21.288583,0.7185711143997598,0.0625851099433224,11,71,2160,74,1.3965646795318465,0.16393276131058898,0.6851705555477958,115,extensive,final,lgbm,,115,False,COMPLETE
42,-0.0012635515111364183,2025-12-08 20:13:49.230987,2025-12-08 20:14:07.328234,0 days 00:00:18.097247,0.7115576325660519,0.051520640056091006,11,73,1977,69,1.2134787341350133,0.15632035934317204,0.6640996503762367,106,extensive,final,lgbm,,106,False,COMPLETE
43,-0.001261529934154515,2025-12-08 20:14:07.330243,2025-12-08 20:14:22.341294,0 days 00:00:15.011051,0.7444038723881139,0.06653540463851329,10,78,2627,75,2.024611644368326,0.1132488439486484,0.6190296342641937,95,extensive,final,lgbm,,95,False,COMPLETE
44,-0.002548139868022048,2025-12-08 20:14:22.341294,2025-12-08 20:14:33.179923,0 days 00:00:10.838629,0.6584914447917818,0.05227066364746636,12,83,1665,73,0.8967374511163182,0.3361245703463762,0.7002747477784073,79,extensive,final,lgbm,,79,False,COMPLETE
45,-0.0010829506227970187,2025-12-08 20:14:33.179923,2025-12-08 20:14:41.582627,0 days 00:00:08.402704,0.7605050400628358,0.09841445277116424,9,71,2859,80,1.2963152763385515,8.50158980739422,0.6409520313359657,59,extensive,final,lgbm,,59,False,COMPLETE
46,-0.001128116024308512,2025-12-08 20:14:41.582627,2025-12-08 20:14:49.105916,0 days 00:00:07.523289,0.7675600654962029,0.0994368019183958,11,92,2988,79,1.2667828368924736,10.099497186339619,0.5920504259499003,48,extensive,final,lgbm,,48,False,COMPLETE
47,-0.012812866811403279,2025-12-08 20:14:49.105916,2025-12-08 20:14:56.212287,0 days 00:00:07.106371,0.8087769028791754,0.09842370128670137,6,90,2879,79,0.4939578061403832,7.893721444945861,0.591511288545844,39,extensive,final,lgbm,,39,False,COMPLETE
48,-0.001261529934154515,2025-12-08 20:14:56.212287,2025-12-08 20:15:05.443524,0 days 00:00:09.231237,0.8911861741163027,0.0786101992774171,10,96,3103,90,3.8271142370147198,10.428239446083008,0.6451622280903039,66,extensive,final,lgbm,,66,False,COMPLETE
49,-0.22713807332767325,2025-12-08 20:15:05.443524,2025-12-08 20:15:16.432644,0 days 00:00:10.989120,0.7661391400175577,0.08848925826488141,8,25,3785,124,0.010614005449232522,5.94110868351659,0.5520056372556218,53,extensive,final,lgbm,,53,False,COMPLETE
50,-0.0010005615932917379,2025-12-08 20:15:16.432644,2025-12-08 20:15:23.549490,0 days 00:00:07.116846,0.8407606241508386,0.09921486449270286,12,100,3446,83,1.2475526713153675,13.237853011823201,0.6001379354814805,33,extensive,final,lgbm,,33,False,COMPLETE
51,-0.0010632570647488792,2025-12-08 20:15:23.549490,2025-12-08 20:15:30.758153,0 days 00:00:07.208663,0.8473763619185196,0.0051887322068634905,12,100,3427,82,1.2011093314447525,13.916202846465355,0.5938737947343893,28,extensive,final,lgbm,,28,False,COMPLETE
52,-0.0010807964943541303,2025-12-08 20:15:30.760655,2025-12-08 20:15:37.751348,0 days 00:00:06.990693,0.8430924172710758,0.006907201000102042,12,100,3409,81,1.1558839229129174,14.747771934043604,0.5859532299370154,25,extensive,final,lgbm,,25,False,COMPLETE
53,-0.001261529934154515,2025-12-08 20:15:37.751348,2025-12-08 20:15:44.292895,0 days 00:00:06.541547,0.8509202377011971,0.005034489863465855,12,100,3462,82,1.68279922844441,13.837349557084558,0.5719699126195208,22,extensive,final,lgbm,,22,False,COMPLETE
54,-0.0014138212321856969,2025-12-08 20:15:44.292895,2025-12-08 20:15:50.902438,0 days 00:00:06.609543,0.8841837900923638,0.0068534173711689815,12,91,3761,85,1.0398461444812868,16.644933262647637,0.5269781367744243,3,extensive,final,lgbm,,3,False,COMPLETE
55,-0.0028706076131536527,2025-12-08 20:15:50.902438,2025-12-08 20:15:58.393517,0 days 00:00:07.491079,0.9151162390940465,0.005026122585314514,12,95,3504,83,0.8798271682284964,19.63284335847916,0.6101671149032458,31,extensive,final,lgbm,,31,False,COMPLETE
56,-0.001261529934154515,2025-12-08 20:15:58.395020,2025-12-08 20:16:04.800463,0 days 00:00:06.405443,0.8353663589885935,0.01191966422837891,12,87,3193,93,1.6364997158150563,14.010035338943355,0.58371102265371,12,extensive,final,lgbm,,12,False,COMPLETE
57,-0.001016245119449488,2025-12-08 20:16:04.800463,2025-12-08 20:16:11.927713,0 days 00:00:07.127250,0.8661747733295273,0.007747548601822824,5,97,3328,77,1.1764377885796324,12.285582278418847,0.5356497186523095,33,extensive,final,lgbm,,33,False,COMPLETE
58,-0.027076672324435114,2025-12-08 20:16:11.927713,2025-12-08 20:16:20.707409,0 days 00:00:08.779696,0.8743198834649811,0.0074261612588311324,5,100,3641,77,0.3783899573381383,8.273078989621531,0.5144746711271115,34,extensive,final,lgbm,,34,False,COMPLETE
59,-0.002747546001617618,2025-12-08 20:16:20.708920,2025-12-08 20:16:27.677817,0 days 00:00:06.968897,0.9473459999836817,0.008934700152806386,12,95,3457,87,0.7439066447138779,12.280387086677337,0.5323785681063361,25,extensive,final,lgbm,,25,False,COMPLETE
60,-0.0017255814110549218,2025-12-08 20:16:27.677817,2025-12-08 20:16:34.502147,0 days 00:00:06.824330,0.8477075238420151,0.005961956434353737,4,98,3819,81,1.2081217093351915,8.092851008001952,0.5525361301555808,11,extensive,final,lgbm,,11,False,COMPLETE
61,-0.0013741928187330998,2025-12-08 20:16:34.502147,2025-12-08 20:16:42.058253,0 days 00:00:07.556106,0.8009331841201363,0.008303016834511194,6,82,3396,71,1.1296386779702223,4.073210514586694,0.6468010110415305,45,extensive,final,lgbm,,45,False,COMPLETE
