number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
30,-0.00126153,37:46.0,38:32.4,0 days 00:00:46.441655,135,0.528450803,0.004297029,5,3,1751,2.210074189,0.838969657,0.640073678,extensive,final,xgb,,135,FALSE,COMPLETE
31,-0.001195731,38:32.4,38:56.5,0 days 00:00:24.087596,114,0.436459977,0.003450502,3,1,546,1.327907515,0.207655934,0.585021203,extensive,final,xgb,,114,FALSE,COMPLETE
32,-0.001226552,38:56.5,39:22.4,0 days 00:00:25.887906,115,0.427682644,0.003692962,3,1,668,0.42458781,0.353301155,0.58566007,extensive,final,xgb,,115,FALSE,COMPLETE
33,-0.00111003,39:22.4,40:04.7,0 days 00:00:42.316894,132,0.395697047,0.002515128,4,1,1056,1.244608719,0.214711324,0.672500503,extensive,final,xgb,,132,FALSE,COMPLETE
34,-0.000937682,40:04.7,40:49.0,0 days 00:00:44.314128,133,0.385996859,0.002338497,4,2,996,0.835548165,0.463255835,0.694070237,extensive,final,xgb,,133,FALSE,COMPLETE
35,-0.00080775,40:49.0,41:48.7,0 days 00:00:59.720040,149,0.383481586,0.00201652,4,2,973,0.808605908,0.512858783,0.717319603,extensive,final,xgb,,149,FALSE,COMPLETE
36,-0.000856153,41:48.7,42:47.9,0 days 00:00:59.216963,149,0.338770839,0.002414997,4,2,948,0.802994092,0.474149814,0.720869366,extensive,final,xgb,,149,FALSE,COMPLETE
37,-0.000689036,42:47.9,43:45.6,0 days 00:00:57.623564,148,0.341324264,0.001939464,4,2,883,0.800618664,0.910716139,0.714258077,extensive,final,xgb,,148,FALSE,COMPLETE
38,-0.006079541,43:45.6,44:48.9,0 days 00:01:03.353194,150,0.346090813,0.001872189,5,4,902,0.003864049,0.936407503,0.722587058,extensive,final,xgb,,150,FALSE,COMPLETE
39,-0.000604816,44:48.9,45:43.8,0 days 00:00:54.851272,145,0.327923274,0.001241341,4,2,862,0.706159199,0.522527426,0.714432224,extensive,final,xgb,,145,FALSE,COMPLETE
40,-0.000132369,45:43.8,46:38.4,0 days 00:00:54.625570,143,0.321113737,0.001306874,5,8,791,0.420556745,1.715821095,0.751513985,extensive,final,xgb,,143,FALSE,COMPLETE
41,-2.85E-06,46:38.4,47:30.6,0 days 00:00:52.184930,141,0.328953231,0.001249146,5,8,724,0.388704906,1.633998465,0.744864815,extensive,final,xgb,,141,FALSE,COMPLETE
42,0.000307068,47:30.6,48:24.4,0 days 00:00:53.789147,142,0.325636994,0.001271394,5,9,790,0.361208541,1.78878352,0.775516752,extensive,final,xgb,,142,FALSE,COMPLETE
43,0.000158678,48:24.4,49:16.2,0 days 00:00:51.791830,142,0.312765599,0.001317802,5,9,644,0.37802347,1.759934779,0.768110147,extensive,final,xgb,,142,FALSE,COMPLETE
44,0.000337327,49:16.2,50:06.4,0 days 00:00:50.219397,140,0.326430191,0.001318438,5,9,670,0.352392064,2.078728476,0.770729162,extensive,final,xgb,,140,FALSE,COMPLETE
45,0.00033636,50:06.4,50:58.9,0 days 00:00:52.519723,142,0.30396232,0.001269826,5,9,698,0.330818436,2.078209215,0.762977243,extensive,final,xgb,,142,FALSE,COMPLETE
46,-0.012596167,50:58.9,51:44.7,0 days 00:00:45.813386,138,0.300622979,0.016209699,5,10,400,0.258915568,2.730416724,0.844391133,extensive,final,xgb,,138,FALSE,COMPLETE
47,0.001178682,51:44.7,52:19.5,0 days 00:00:34.781780,120,0.364748715,0.001214463,6,9,666,0.004764472,2.535244419,0.782634158,extensive,final,xgb,,120,FALSE,COMPLETE
48,0.001007064,52:19.5,52:51.9,0 days 00:00:32.372072,120,0.35874389,0.001026062,6,10,450,0.064401024,2.455537422,0.782983868,extensive,final,xgb,,120,FALSE,COMPLETE
49,0.000681983,52:51.9,53:25.7,0 days 00:00:33.833654,118,0.887695823,0.001008836,6,11,492,0.291661528,2.577186208,0.783335314,extensive,final,xgb,,118,FALSE,COMPLETE
50,-0.105759902,53:25.7,53:48.0,0 days 00:00:22.311872,93,0.788392842,0.0456717,6,11,438,0.108798652,3.231636309,0.794216694,extensive,final,xgb,,93,FALSE,COMPLETE
51,0.001807581,53:48.0,54:20.6,0 days 00:00:32.555780,118,0.891222723,0.001066295,6,9,480,0.028214833,2.420610569,0.840904618,extensive,final,xgb,,118,FALSE,COMPLETE
52,0.001444571,54:20.6,54:55.3,0 days 00:00:34.766632,120,0.8907967,0.00103466,6,10,459,0.073879838,5.06523599,0.849468297,extensive,final,xgb,,120,FALSE,COMPLETE
53,0.000831075,54:55.3,55:24.7,0 days 00:00:29.364066,102,0.899214516,0.001060958,7,11,485,0.102576763,5.514381422,0.845536158,extensive,final,xgb,,102,FALSE,COMPLETE
54,0.000721011,55:24.7,55:46.8,0 days 00:00:22.070451,103,0.887807086,0.001066143,7,11,222,0.009977134,5.798680026,0.862031882,extensive,final,xgb,,103,FALSE,COMPLETE
