number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
34,-0.05412888149220518,2025-12-08 19:29:20.362698,2025-12-08 19:29:26.058980,0 days 00:00:05.696282,31.360155199614827,12,extensive,final,ridge,,12,False,COMPLETE
35,-0.1449620805109623,2025-12-08 19:29:26.058980,2025-12-08 19:29:31.841427,0 days 00:00:05.782447,12.241912686673441,23,extensive,final,ridge,,23,False,COMPLETE
36,-3.1731438235709275,2025-12-08 19:29:31.841427,2025-12-08 19:29:39.149395,0 days 00:00:07.307968,181.51786677255254,57,extensive,final,ridge,,57,False,COMPLETE
37,-0.049076912030001196,2025-12-08 19:29:39.149395,2025-12-08 19:29:44.842825,0 days 00:00:05.693430,75.37487370873102,7,extensive,final,ridge,,7,False,COMPLETE
38,-4.793694565459109,2025-12-08 19:29:44.842825,2025-12-08 19:29:53.741616,0 days 00:00:08.898791,28.195059866449494,72,extensive,final,ridge,,72,False,COMPLETE
39,-0.004590948265232231,2025-12-08 19:29:53.741616,2025-12-08 19:29:59.358502,0 days 00:00:05.616886,0.2721731980569257,5,extensive,final,ridge,,5,False,COMPLETE
40,-0.0016020160621271762,2025-12-08 19:29:59.358502,2025-12-08 19:30:04.991861,0 days 00:00:05.633359,448.73358556790566,5,extensive,final,ridge,,5,False,COMPLETE
41,0.0018529550052629018,2025-12-08 19:30:04.991861,2025-12-08 19:30:10.651247,0 days 00:00:05.659386,5.980740655837568,1,extensive,final,ridge,,1,False,COMPLETE
42,-0.00364620380078029,2025-12-08 19:30:10.651247,2025-12-08 19:30:16.300747,0 days 00:00:05.649500,3.446677540632699,4,extensive,final,ridge,,4,False,COMPLETE
43,-0.054031460997647864,2025-12-08 19:30:16.300747,2025-12-08 19:30:22.039552,0 days 00:00:05.738805,8.12433053513561,10,extensive,final,ridge,,10,False,COMPLETE
44,0.0019022361890665752,2025-12-08 19:30:22.039552,2025-12-08 19:30:27.761757,0 days 00:00:05.722205,41.090667881312996,1,extensive,final,ridge,,1,False,COMPLETE
45,-0.09301111526987353,2025-12-08 19:30:27.761757,2025-12-08 19:30:33.442488,0 days 00:00:05.680731,54.049311037375894,16,extensive,final,ridge,,16,False,COMPLETE
46,-0.0902740163900857,2025-12-08 19:30:33.442488,2025-12-08 19:30:39.132453,0 days 00:00:05.689965,206.0406344423627,20,extensive,final,ridge,,20,False,COMPLETE
47,-0.004410509750833858,2025-12-08 19:30:39.132453,2025-12-08 19:30:44.792152,0 days 00:00:05.659699,17.154143700224243,5,extensive,final,ridge,,5,False,COMPLETE
48,-0.05227364953848292,2025-12-08 19:30:44.792152,2025-12-08 19:30:50.432314,0 days 00:00:05.640162,47.257051510250164,11,extensive,final,ridge,,11,False,COMPLETE
49,-0.004567550262068787,2025-12-08 19:30:50.439488,2025-12-08 19:30:56.123229,0 days 00:00:05.683741,2.416616512379531,5,extensive,final,ridge,,5,False,COMPLETE
50,-3.3747497991440243,2025-12-08 19:30:56.123229,2025-12-08 19:31:02.289560,0 days 00:00:06.166331,0.506886495885701,40,extensive,final,ridge,,40,False,COMPLETE
51,0.0018582298484838499,2025-12-08 19:31:02.291189,2025-12-08 19:31:07.903267,0 days 00:00:05.612078,9.527642382147283,1,extensive,final,ridge,,1,False,COMPLETE
52,0.0018597540500987276,2025-12-08 19:31:07.903267,2025-12-08 19:31:13.539154,0 days 00:00:05.635887,10.561298059677666,1,extensive,final,ridge,,1,False,COMPLETE
53,-0.0024342577253748886,2025-12-08 19:31:13.539154,2025-12-08 19:31:19.349680,0 days 00:00:05.810526,142.06190818858573,4,extensive,final,ridge,,4,False,COMPLETE
54,-0.05449792535656654,2025-12-08 19:31:19.349680,2025-12-08 19:31:24.998188,0 days 00:00:05.648508,21.7614218742131,9,extensive,final,ridge,,9,False,COMPLETE
55,-0.057943575166332015,2025-12-08 19:31:24.998188,2025-12-08 19:31:30.662023,0 days 00:00:05.663835,471.0609732650721,15,extensive,final,ridge,,15,False,COMPLETE
56,0.0018462734947654047,2025-12-08 19:31:30.662023,2025-12-08 19:31:36.249393,0 days 00:00:05.587370,1.553989008338586,1,extensive,final,ridge,,1,False,COMPLETE
57,0.0006182707019693146,2025-12-08 19:31:36.249393,2025-12-08 19:31:41.849253,0 days 00:00:05.599860,0.10096619777693355,3,extensive,final,ridge,,3,False,COMPLETE
58,-3.69101867727761,2025-12-08 19:31:41.851260,2025-12-08 19:31:48.563743,0 days 00:00:06.712483,0.006156399812590372,51,extensive,final,ridge,,51,False,COMPLETE
59,-0.053117438052198505,2025-12-08 19:31:48.563743,2025-12-08 19:31:54.311744,0 days 00:00:05.748001,41.880375947733164,12,extensive,final,ridge,,12,False,COMPLETE
60,-0.05527096599107497,2025-12-08 19:31:54.311744,2025-12-08 19:32:00.037130,0 days 00:00:05.725386,12.785650856113294,7,extensive,final,ridge,,7,False,COMPLETE
61,0.0006303301413259188,2025-12-08 19:32:00.037130,2025-12-08 19:32:05.692160,0 days 00:00:05.655030,3.2003686193171643,3,extensive,final,ridge,,3,False,COMPLETE
62,0.0018455178176741472,2025-12-08 19:32:05.692160,2025-12-08 19:32:11.341602,0 days 00:00:05.649442,1.0578743661171295,1,extensive,final,ridge,,1,False,COMPLETE
63,-0.05574537343699304,2025-12-08 19:32:11.341602,2025-12-08 19:32:17.003329,0 days 00:00:05.661727,9.570827164121061,9,extensive,final,ridge,,9,False,COMPLETE
64,-0.006256991151512703,2025-12-08 19:32:17.003329,2025-12-08 19:32:22.661926,0 days 00:00:05.658597,22.178188474348644,6,extensive,final,ridge,,6,False,COMPLETE
65,0.0006405228419746001,2025-12-08 19:32:22.661926,2025-12-08 19:32:28.308660,0 days 00:00:05.646734,5.840637377979703,3,extensive,final,ridge,,3,False,COMPLETE
66,-0.04513234472347412,2025-12-08 19:32:28.308660,2025-12-08 19:32:33.959439,0 days 00:00:05.650779,128.65483135689686,9,extensive,final,ridge,,9,False,COMPLETE
67,0.0021115728533785518,2025-12-08 19:32:33.959439,2025-12-08 19:32:39.571260,0 days 00:00:05.611821,284.24592526373567,1,extensive,final,ridge,,1,False,COMPLETE
68,-0.03597762971855682,2025-12-08 19:32:39.571260,2025-12-08 19:32:45.241138,0 days 00:00:05.669878,280.1612822660215,12,extensive,final,ridge,,12,False,COMPLETE
69,-2.3969648077974837,2025-12-08 19:32:45.241138,2025-12-08 19:32:55.471304,0 days 00:00:10.230166,683.9252119518103,80,extensive,final,ridge,,80,False,COMPLETE
70,-0.07208029419151851,2025-12-08 19:32:55.471304,2025-12-08 19:33:01.211921,0 days 00:00:05.740617,266.3054398976607,18,extensive,final,ridge,,18,False,COMPLETE
71,0.001925398751291807,2025-12-08 19:33:01.211921,2025-12-08 19:33:06.851259,0 days 00:00:05.639338,59.31586697844618,1,extensive,final,ridge,,1,False,COMPLETE
72,-0.002620770756098434,2025-12-08 19:33:06.854317,2025-12-08 19:33:12.541455,0 days 00:00:05.687138,117.135009768418,4,extensive,final,ridge,,4,False,COMPLETE
73,-0.04946221289942332,2025-12-08 19:33:12.541455,2025-12-08 19:33:18.191623,0 days 00:00:05.650168,71.15797595634865,7,extensive,final,ridge,,7,False,COMPLETE
74,0.0019048766288598529,2025-12-08 19:33:18.191623,2025-12-08 19:33:23.851943,0 days 00:00:05.660320,43.107195359944235,1,extensive,final,ridge,,1,False,COMPLETE
75,0.0007468082317449775,2025-12-08 19:33:23.857499,2025-12-08 19:33:29.496818,0 days 00:00:05.639319,34.556188298211055,3,extensive,final,ridge,,3,False,COMPLETE
76,-4.030687843699726,2025-12-08 19:33:29.496818,2025-12-08 19:33:37.513876,0 days 00:00:08.017058,57.63757365461946,66,extensive,final,ridge,,66,False,COMPLETE
77,-0.031549609483886965,2025-12-08 19:33:37.513876,2025-12-08 19:33:43.171084,0 days 00:00:05.657208,337.21210410887505,7,extensive,final,ridge,,7,False,COMPLETE
78,0.0019328173334409947,2025-12-08 19:33:43.171084,2025-12-08 19:33:48.839362,0 days 00:00:05.668278,668.9601706234141,3,extensive,final,ridge,,3,False,COMPLETE
79,-0.04826809730113564,2025-12-08 19:33:48.839362,2025-12-08 19:33:54.556489,0 days 00:00:05.717127,608.8584069967668,14,extensive,final,ridge,,14,False,COMPLETE
80,-0.039895054983250675,2025-12-08 19:33:54.556489,2025-12-08 19:34:00.282782,0 days 00:00:05.726293,188.7563441799384,10,extensive,final,ridge,,10,False,COMPLETE
81,0.0018588100294902655,2025-12-08 19:34:00.282782,2025-12-08 19:34:05.913060,0 days 00:00:05.630278,593.1561601335331,3,extensive,final,ridge,,3,False,COMPLETE
82,0.0020300763438807047,2025-12-08 19:34:05.913060,2025-12-08 19:34:11.574697,0 days 00:00:05.661637,788.9532652782784,3,extensive,final,ridge,,3,False,COMPLETE
83,-0.0004427615659609696,2025-12-08 19:34:11.574697,2025-12-08 19:34:17.315173,0 days 00:00:05.740476,840.3691563219195,5,extensive,final,ridge,,5,False,COMPLETE
84,-0.0033761725960945064,2025-12-08 19:34:17.315173,2025-12-08 19:34:22.980214,0 days 00:00:05.665041,318.8086233172169,6,extensive,final,ridge,,6,False,COMPLETE
85,0.0009472333932209143,2025-12-08 19:34:22.980214,2025-12-08 19:34:28.649038,0 days 00:00:05.668824,95.39609313895727,3,extensive,final,ridge,,3,False,COMPLETE
86,0.002010531378786018,2025-12-08 19:34:28.649038,2025-12-08 19:34:34.306136,0 days 00:00:05.657098,139.45514345572775,1,extensive,final,ridge,,1,False,COMPLETE
87,-0.027480473347053634,2025-12-08 19:34:34.306136,2025-12-08 19:34:40.012840,0 days 00:00:05.706704,445.31157265876305,8,extensive,final,ridge,,8,False,COMPLETE
88,-0.0035586498144140723,2025-12-08 19:34:40.012840,2025-12-08 19:34:45.669222,0 days 00:00:05.656382,109.19461148615278,5,extensive,final,ridge,,5,False,COMPLETE
89,0.00131512567779839,2025-12-08 19:34:45.669222,2025-12-08 19:34:51.371177,0 days 00:00:05.701955,238.06973068429795,3,extensive,final,ridge,,3,False,COMPLETE
90,-2.059154701098134,2025-12-08 19:34:51.371177,2025-12-08 19:34:57.311994,0 days 00:00:05.940817,988.4052614576614,31,extensive,final,ridge,,31,False,COMPLETE
91,0.002035801761864531,2025-12-08 19:34:57.311994,2025-12-08 19:35:03.091665,0 days 00:00:05.779671,168.75900403869065,1,extensive,final,ridge,,1,False,COMPLETE
92,0.0020329718305866383,2025-12-08 19:35:03.091665,2025-12-08 19:35:08.812388,0 days 00:00:05.720723,165.310490624385,1,extensive,final,ridge,,1,False,COMPLETE
93,-0.004640161796200392,2025-12-08 19:35:08.812388,2025-12-08 19:35:14.527858,0 days 00:00:05.715470,161.5835295207699,6,extensive,final,ridge,,6,False,COMPLETE
94,0.0016672463582071196,2025-12-08 19:35:14.527858,2025-12-08 19:35:20.180333,0 days 00:00:05.652475,407.64913995137863,2,extensive,final,ridge,,2,False,COMPLETE
95,-0.02189278135399144,2025-12-08 19:35:20.180333,2025-12-08 19:35:25.930571,0 days 00:00:05.750238,615.497581381337,10,extensive,final,ridge,,10,False,COMPLETE
96,-0.0030549993705174085,2025-12-08 19:35:25.932074,2025-12-08 19:35:31.573697,0 days 00:00:05.641623,64.6339228699813,4,extensive,final,ridge,,4,False,COMPLETE
97,0.0020890265443828772,2025-12-08 19:35:31.573697,2025-12-08 19:35:37.232706,0 days 00:00:05.659009,244.01990725848802,1,extensive,final,ridge,,1,False,COMPLETE
98,-3.297155930619431,2025-12-08 19:35:37.232706,2025-12-08 19:35:43.782766,0 days 00:00:06.550060,251.24785530969763,47,extensive,final,ridge,,47,False,COMPLETE
99,-0.031070173627556173,2025-12-08 19:35:43.788180,2025-12-08 19:35:49.481807,0 days 00:00:05.693627,360.36190307651333,8,extensive,final,ridge,,8,False,COMPLETE
