number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
38,-5.299109273523975,2025-12-08 19:19:43.821156,2025-12-08 19:19:51.571072,0 days 00:00:07.749916,62,extensive,final,ols,,62,False,COMPLETE
39,-0.2750646034782668,2025-12-08 19:19:51.571072,2025-12-08 19:19:57.512384,0 days 00:00:05.941312,28,extensive,final,ols,,28,False,COMPLETE
40,-0.10176038997956072,2025-12-08 19:19:57.512384,2025-12-08 19:20:03.300058,0 days 00:00:05.787674,17,extensive,final,ols,,17,False,COMPLETE
41,0.0018439018156545695,2025-12-08 19:20:03.300058,2025-12-08 19:20:08.984856,0 days 00:00:05.684798,1,extensive,final,ols,,1,False,COMPLETE
42,-0.004593928124956559,2025-12-08 19:20:08.984856,2025-12-08 19:20:14.699073,0 days 00:00:05.714217,5,extensive,final,ols,,5,False,COMPLETE
43,0.0018439018156545695,2025-12-08 19:20:14.699073,2025-12-08 19:20:20.385457,0 days 00:00:05.686384,1,extensive,final,ols,,1,False,COMPLETE
44,0.0018439018156545695,2025-12-08 19:20:20.385457,2025-12-08 19:20:26.242696,0 days 00:00:05.857239,1,extensive,final,ols,,1,False,COMPLETE
45,-5.762761541460387,2025-12-08 19:20:26.242696,2025-12-08 19:20:35.642776,0 days 00:00:09.400080,74,extensive,final,ols,,74,False,COMPLETE
46,-0.0065777045041383484,2025-12-08 19:20:35.642776,2025-12-08 19:20:41.282767,0 days 00:00:05.639991,6,extensive,final,ols,,6,False,COMPLETE
47,-4.478028592048965,2025-12-08 19:20:41.282767,2025-12-08 19:20:47.507142,0 days 00:00:06.224375,37,extensive,final,ols,,37,False,COMPLETE
48,-0.05732609501905883,2025-12-08 19:20:47.507142,2025-12-08 19:20:53.211902,0 days 00:00:05.704760,12,extensive,final,ols,,12,False,COMPLETE
49,-4.486283778396421,2025-12-08 19:20:53.211902,2025-12-08 19:20:59.799529,0 days 00:00:06.587627,46,extensive,final,ols,,46,False,COMPLETE
50,-0.0036827010085432876,2025-12-08 19:20:59.799529,2025-12-08 19:21:05.499477,0 days 00:00:05.699948,4,extensive,final,ols,,4,False,COMPLETE
51,0.0018439018156545695,2025-12-08 19:21:05.499477,2025-12-08 19:21:11.232755,0 days 00:00:05.733278,1,extensive,final,ols,,1,False,COMPLETE
52,-0.05688976271954584,2025-12-08 19:21:11.232755,2025-12-08 19:21:17.022319,0 days 00:00:05.789564,8,extensive,final,ols,,8,False,COMPLETE
53,-0.0036827010085432876,2025-12-08 19:21:17.022319,2025-12-08 19:21:22.839227,0 days 00:00:05.816908,4,extensive,final,ols,,4,False,COMPLETE
54,-0.05675575245206814,2025-12-08 19:21:22.839227,2025-12-08 19:21:28.562160,0 days 00:00:05.722933,9,extensive,final,ols,,9,False,COMPLETE
55,-0.05732609501905883,2025-12-08 19:21:28.562160,2025-12-08 19:21:34.306543,0 days 00:00:05.744383,12,extensive,final,ols,,12,False,COMPLETE
56,0.0018439018156545695,2025-12-08 19:21:34.306543,2025-12-08 19:21:40.032298,0 days 00:00:05.725755,1,extensive,final,ols,,1,False,COMPLETE
57,-0.10652596971701603,2025-12-08 19:21:40.032298,2025-12-08 19:21:45.858704,0 days 00:00:05.826406,18,extensive,final,ols,,18,False,COMPLETE
58,-0.0036827010085432876,2025-12-08 19:21:45.858704,2025-12-08 19:21:51.624706,0 days 00:00:05.766002,4,extensive,final,ols,,4,False,COMPLETE
59,-0.05688976271954584,2025-12-08 19:21:51.624706,2025-12-08 19:21:57.466400,0 days 00:00:05.841694,8,extensive,final,ols,,8,False,COMPLETE
60,-0.09494792343471573,2025-12-08 19:21:57.466400,2025-12-08 19:22:03.271350,0 days 00:00:05.804950,15,extensive,final,ols,,15,False,COMPLETE
61,0.0018439018156545695,2025-12-08 19:22:03.271350,2025-12-08 19:22:09.007373,0 days 00:00:05.736023,1,extensive,final,ols,,1,False,COMPLETE
62,-0.0036827010085432876,2025-12-08 19:22:09.008923,2025-12-08 19:22:15.007304,0 days 00:00:05.998381,4,extensive,final,ols,,4,False,COMPLETE
63,0.0018439018156545695,2025-12-08 19:22:15.007304,2025-12-08 19:22:20.958948,0 days 00:00:05.951644,1,extensive,final,ols,,1,False,COMPLETE
64,-0.05667300755373046,2025-12-08 19:22:20.958948,2025-12-08 19:22:26.753078,0 days 00:00:05.794130,7,extensive,final,ols,,7,False,COMPLETE
65,-0.05483188002136408,2025-12-08 19:22:26.753078,2025-12-08 19:22:32.488088,0 days 00:00:05.735010,10,extensive,final,ols,,10,False,COMPLETE
66,0.000617876128479411,2025-12-08 19:22:32.488088,2025-12-08 19:22:38.286736,0 days 00:00:05.798648,3,extensive,final,ols,,3,False,COMPLETE
67,-0.0036827010085432876,2025-12-08 19:22:38.286736,2025-12-08 19:22:44.055968,0 days 00:00:05.769232,4,extensive,final,ols,,4,False,COMPLETE
