number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559720935109083,2025-12-08 03:13:47.366460,2025-12-08 03:13:49.732101,0 days 00:00:02.365641,0.8546406059442023,0.006409997891698702,3,75,1556,100,2.756144005880408,0.13430032417330034,0.8344979637208045,extensive,final,lgbm,pca_hybrid,True,COMPLETE
1,-0.0016559720935109083,2025-12-08 03:13:49.732101,2025-12-08 03:13:51.386784,0 days 00:00:01.654683,0.5719839654057042,0.07184806439108188,7,87,2280,82,2.8411471262424604,0.12257227660735749,0.9800227007472643,extensive,final,lgbm,pca_hybrid,True,COMPLETE
2,-0.0016559720935109083,2025-12-08 03:13:51.386784,2025-12-08 03:13:52.856242,0 days 00:00:01.469458,0.7817696469543117,0.08278104677098684,8,14,1528,98,4.227897760735234,0.8998494279471106,0.8934833687533975,extensive,final,lgbm,pca_hybrid,True,COMPLETE
3,-0.0016559720935109083,2025-12-08 03:13:52.857247,2025-12-08 03:13:54.358383,0 days 00:00:01.501136,0.6163652316905641,0.005097430174957211,8,50,1630,68,3.2872549273040805,0.11366442898662894,0.6284004684066795,extensive,final,lgbm,pca_hybrid,True,COMPLETE
4,-0.0016559720935109083,2025-12-08 03:13:54.359384,2025-12-08 03:13:56.242771,0 days 00:00:01.883387,0.5982429987329585,0.03571787266243419,5,89,3836,68,1.937813007240183,19.62085259708158,0.9982582005366265,extensive,final,lgbm,pca_hybrid,True,COMPLETE
