number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
40,-0.0016559721242364045,2025-12-07 17:02:57.250001,2025-12-07 17:02:58.450543,0 days 00:00:01.200542,0.0012056614085382612,medium,COMPLETE
41,0.0008735453091192799,2025-12-07 17:02:58.451543,2025-12-07 17:02:59.566071,0 days 00:00:01.114528,0.0006503260573439714,medium,COMPLETE
42,-0.0642374323223811,2025-12-07 17:02:59.567102,2025-12-07 17:03:00.966138,0 days 00:00:01.399036,0.00023251552830485026,medium,COMPLETE
43,0.0008217715711683985,2025-12-07 17:03:00.966138,2025-12-07 17:03:02.070411,0 days 00:00:01.104273,0.0006653791962641976,medium,COMPLETE
44,-0.0016559721242364045,2025-12-07 17:03:02.071422,2025-12-07 17:03:03.101027,0 days 00:00:01.029605,0.2761515974037503,medium,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:03:03.102200,2025-12-07 17:03:04.151026,0 days 00:00:01.048826,0.0013515485054136644,medium,COMPLETE
46,-1.3295027237641646,2025-12-07 17:03:04.152031,2025-12-07 17:03:05.992119,0 days 00:00:01.840088,0.00010935767944590784,medium,COMPLETE
47,-0.0469564250985924,2025-12-07 17:03:05.992119,2025-12-07 17:03:07.333735,0 days 00:00:01.341616,0.00024962037724843294,medium,COMPLETE
48,-0.0016559721242364045,2025-12-07 17:03:07.335097,2025-12-07 17:03:08.380086,0 days 00:00:01.044989,0.005028183372852883,medium,COMPLETE
49,0.000817364678365462,2025-12-07 17:03:08.380086,2025-12-07 17:03:09.445194,0 days 00:00:01.065108,0.000666414385137066,medium,COMPLETE
50,-0.0016559721242364045,2025-12-07 17:03:09.445194,2025-12-07 17:03:10.484852,0 days 00:00:01.039658,0.03644635262407314,medium,COMPLETE
51,0.0005663026978953711,2025-12-07 17:03:10.484852,2025-12-07 17:03:11.565917,0 days 00:00:01.081065,0.0007011796293361658,medium,COMPLETE
52,-0.0016559721242364045,2025-12-07 17:03:11.567550,2025-12-07 17:03:12.635467,0 days 00:00:01.067917,0.001591741804392406,medium,COMPLETE
53,-0.013510019892698585,2025-12-07 17:03:12.636466,2025-12-07 17:03:13.814322,0 days 00:00:01.177856,0.00034841557234053676,medium,COMPLETE
54,-0.0016311578628710095,2025-12-07 17:03:13.816138,2025-12-07 17:03:14.868602,0 days 00:00:01.052464,0.000983659300347598,medium,COMPLETE
55,0.0006723588483873444,2025-12-07 17:03:14.868602,2025-12-07 17:03:15.978272,0 days 00:00:01.109670,0.000523847257198303,medium,COMPLETE
56,-0.0016559721242364045,2025-12-07 17:03:15.978272,2025-12-07 17:03:17.181085,0 days 00:00:01.202813,0.0026652713935942074,medium,COMPLETE
57,-0.019157065880241204,2025-12-07 17:03:17.181085,2025-12-07 17:03:18.370416,0 days 00:00:01.189331,0.00032209778659693193,medium,COMPLETE
58,-0.2555180715868118,2025-12-07 17:03:18.370416,2025-12-07 17:03:20.916841,0 days 00:00:02.546425,0.0001594327964157414,medium,COMPLETE
59,-0.00034082795869757226,2025-12-07 17:03:20.918593,2025-12-07 17:03:21.985595,0 days 00:00:01.067002,0.0008123674675586328,medium,COMPLETE
60,-0.0016559721242364045,2025-12-07 17:03:21.985595,2025-12-07 17:03:23.103584,0 days 00:00:01.117989,0.14225243759142017,medium,COMPLETE
61,0.0006646008522086152,2025-12-07 17:03:23.103584,2025-12-07 17:03:24.205414,0 days 00:00:01.101830,0.0005273164785470803,medium,COMPLETE
62,0.0007638314839819582,2025-12-07 17:03:24.208507,2025-12-07 17:03:25.281246,0 days 00:00:01.072739,0.0006773992287161396,medium,COMPLETE
