number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
47,-441600454.5746885,2025-12-07 15:56:33.383745,2025-12-07 15:56:35.982481,0 days 00:00:02.598736,advanced,COMPLETE
48,-441600454.5746885,2025-12-07 15:56:35.982481,2025-12-07 15:56:38.581659,0 days 00:00:02.599178,advanced,COMPLETE
49,-441600454.5746885,2025-12-07 15:56:38.582235,2025-12-07 15:56:41.089192,0 days 00:00:02.506957,advanced,COMPLETE
50,-441600454.5746885,2025-12-07 15:56:41.089192,2025-12-07 15:56:43.590521,0 days 00:00:02.501329,advanced,COMPLETE
51,-441600454.5746885,2025-12-07 15:56:43.590521,2025-12-07 15:56:46.159110,0 days 00:00:02.568589,advanced,COMPLETE
52,-441600454.5746885,2025-12-07 15:56:46.159110,2025-12-07 15:56:48.752193,0 days 00:00:02.593083,advanced,COMPLETE
53,-441600454.5746885,2025-12-07 15:56:48.752193,2025-12-07 15:56:51.503085,0 days 00:00:02.750892,advanced,COMPLETE
54,-441600454.5746885,2025-12-07 15:56:51.503085,2025-12-07 15:56:54.104177,0 days 00:00:02.601092,advanced,COMPLETE
55,-441600454.5746885,2025-12-07 15:56:54.106184,2025-12-07 15:56:56.310415,0 days 00:00:02.204231,advanced,COMPLETE
56,-441600454.5746885,2025-12-07 15:56:56.310415,2025-12-07 15:56:58.776614,0 days 00:00:02.466199,advanced,COMPLETE
57,-441600454.5746885,2025-12-07 15:56:58.776614,2025-12-07 15:57:01.352992,0 days 00:00:02.576378,advanced,COMPLETE
58,-441600454.5746885,2025-12-07 15:57:01.352992,2025-12-07 15:57:03.841185,0 days 00:00:02.488193,advanced,COMPLETE
59,-441600454.5746885,2025-12-07 15:57:03.841185,2025-12-07 15:57:06.332702,0 days 00:00:02.491517,advanced,COMPLETE
60,-441600454.5746885,2025-12-07 15:57:06.333757,2025-12-07 15:57:08.813868,0 days 00:00:02.480111,advanced,COMPLETE
61,-441600454.5746885,2025-12-07 15:57:08.814915,2025-12-07 15:57:11.296847,0 days 00:00:02.481932,advanced,COMPLETE
62,-441600454.5746885,2025-12-07 15:57:11.296847,2025-12-07 15:57:13.793581,0 days 00:00:02.496734,advanced,COMPLETE
63,-441600454.5746885,2025-12-07 15:57:13.793581,2025-12-07 15:57:16.375726,0 days 00:00:02.582145,advanced,COMPLETE
64,-441600454.5746885,2025-12-07 15:57:16.375726,2025-12-07 15:57:18.861541,0 days 00:00:02.485815,advanced,COMPLETE
65,-441600454.5746885,2025-12-07 15:57:18.861541,2025-12-07 15:57:21.345329,0 days 00:00:02.483788,advanced,COMPLETE
66,-441600454.5746885,2025-12-07 15:57:21.345329,2025-12-07 15:57:23.843734,0 days 00:00:02.498405,advanced,COMPLETE
67,-441600454.5746885,2025-12-07 15:57:23.843734,2025-12-07 15:57:26.172235,0 days 00:00:02.328501,advanced,COMPLETE
68,-441600454.5746885,2025-12-07 15:57:26.172235,2025-12-07 15:57:28.693639,0 days 00:00:02.521404,advanced,COMPLETE
69,-441600454.5746885,2025-12-07 15:57:28.693639,2025-12-07 15:57:31.182023,0 days 00:00:02.488384,advanced,COMPLETE
70,-441600454.5746885,2025-12-07 15:57:31.183692,2025-12-07 15:57:33.665032,0 days 00:00:02.481340,advanced,COMPLETE
71,-441600454.5746885,2025-12-07 15:57:33.665032,2025-12-07 15:57:36.129118,0 days 00:00:02.464086,advanced,COMPLETE
72,-441600454.5746885,2025-12-07 15:57:36.130455,2025-12-07 15:57:38.691776,0 days 00:00:02.561321,advanced,COMPLETE
73,-441600454.5746885,2025-12-07 15:57:38.691776,2025-12-07 15:57:41.228671,0 days 00:00:02.536895,advanced,COMPLETE
74,-441600454.5746885,2025-12-07 15:57:41.228671,2025-12-07 15:57:43.871253,0 days 00:00:02.642582,advanced,COMPLETE
75,-441600454.5746885,2025-12-07 15:57:43.871253,2025-12-07 15:57:46.392148,0 days 00:00:02.520895,advanced,COMPLETE
76,-441600454.5746885,2025-12-07 15:57:46.393718,2025-12-07 15:57:48.865450,0 days 00:00:02.471732,advanced,COMPLETE
77,-441600454.5746885,2025-12-07 15:57:48.867631,2025-12-07 15:57:51.362142,0 days 00:00:02.494511,advanced,COMPLETE
78,-441600454.5746885,2025-12-07 15:57:51.362142,2025-12-07 15:57:53.880247,0 days 00:00:02.518105,advanced,COMPLETE
79,-441600454.5746885,2025-12-07 15:57:53.880247,2025-12-07 15:57:56.191197,0 days 00:00:02.310950,advanced,COMPLETE
80,-441600454.5746885,2025-12-07 15:57:56.193802,2025-12-07 15:57:58.769186,0 days 00:00:02.575384,advanced,COMPLETE
81,-441600454.5746885,2025-12-07 15:57:58.769186,2025-12-07 15:58:01.288181,0 days 00:00:02.518995,advanced,COMPLETE
82,-441600454.5746885,2025-12-07 15:58:01.289225,2025-12-07 15:58:03.861074,0 days 00:00:02.571849,advanced,COMPLETE
83,-441600454.5746885,2025-12-07 15:58:03.861074,2025-12-07 15:58:06.395977,0 days 00:00:02.534903,advanced,COMPLETE
