number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
42,-1.2442990108591345,2025-12-07 16:31:55.513747,2025-12-07 16:31:55.729606,0 days 00:00:00.215859,117.3536339077416,simple,COMPLETE
43,-0.12152417249928986,2025-12-07 16:31:55.729606,2025-12-07 16:31:55.948147,0 days 00:00:00.218541,983.017249636398,simple,COMPLETE
44,-0.4617428537874237,2025-12-07 16:31:55.948147,2025-12-07 16:31:56.151611,0 days 00:00:00.203464,297.68375110108406,simple,COMPLETE
45,-0.12048617228526075,2025-12-07 16:31:56.151611,2025-12-07 16:31:56.364096,0 days 00:00:00.212485,990.479209014587,simple,COMPLETE
46,-0.2860580275660272,2025-12-07 16:31:56.365621,2025-12-07 16:31:56.596241,0 days 00:00:00.230620,461.02973991062873,simple,COMPLETE
47,-6.728224991739527,2025-12-07 16:31:56.596241,2025-12-07 16:31:56.831263,0 days 00:00:00.235022,23.29676504351426,simple,COMPLETE
48,-2.142717425896118,2025-12-07 16:31:56.831768,2025-12-07 16:31:57.063989,0 days 00:00:00.232221,70.99772233056154,simple,COMPLETE
49,-0.30141419522384255,2025-12-07 16:31:57.065001,2025-12-07 16:31:57.281322,0 days 00:00:00.216321,439.82059764464526,simple,COMPLETE
50,-0.8496249498116427,2025-12-07 16:31:57.281828,2025-12-07 16:31:57.513968,0 days 00:00:00.232140,167.92187259253407,simple,COMPLETE
51,-0.13506467565561672,2025-12-07 16:31:57.514976,2025-12-07 16:31:57.734495,0 days 00:00:00.219519,895.7046097805197,simple,COMPLETE
52,-27.390994042149032,2025-12-07 16:31:57.734495,2025-12-07 16:31:57.964057,0 days 00:00:00.229562,0.00032090906137060806,simple,COMPLETE
53,-0.12497203334647966,2025-12-07 16:31:57.965065,2025-12-07 16:31:58.196338,0 days 00:00:00.231273,959.0797161804383,simple,COMPLETE
54,-0.47511498934901786,2025-12-07 16:31:58.198068,2025-12-07 16:31:58.432666,0 days 00:00:00.234598,289.8956495321818,simple,COMPLETE
55,-0.2555462049604896,2025-12-07 16:31:58.432666,2025-12-07 16:31:58.663162,0 days 00:00:00.230496,510.0618465199545,simple,COMPLETE
56,-1.6071551903656764,2025-12-07 16:31:58.663162,2025-12-07 16:31:58.882547,0 days 00:00:00.219385,92.53252311374479,simple,COMPLETE
57,-26.337125485560893,2025-12-07 16:31:58.883554,2025-12-07 16:31:59.114813,0 days 00:00:00.231259,0.36688402991712277,simple,COMPLETE
58,-0.24663079482616226,2025-12-07 16:31:59.116428,2025-12-07 16:31:59.381292,0 days 00:00:00.264864,526.4815822829488,simple,COMPLETE
