number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
40,-0.0016559721242364045,2025-12-07 16:59:41.538725,2025-12-07 16:59:41.744427,0 days 00:00:00.205702,0.04187605283580657,simple,COMPLETE
41,0.0011195120256672537,2025-12-07 16:59:41.744427,2025-12-07 16:59:41.969260,0 days 00:00:00.224833,0.0005333393513906749,simple,COMPLETE
42,0.0009322996490247482,2025-12-07 16:59:41.970787,2025-12-07 16:59:42.167190,0 days 00:00:00.196403,0.0005999555516288384,simple,COMPLETE
43,-0.03917451031197924,2025-12-07 16:59:42.168197,2025-12-07 16:59:42.384777,0 days 00:00:00.216580,0.00019863383410414196,simple,COMPLETE
44,0.000966676318939097,2025-12-07 16:59:42.386503,2025-12-07 16:59:42.603937,0 days 00:00:00.217434,0.0005905190990283804,simple,COMPLETE
45,0.0009552083282602005,2025-12-07 16:59:42.605737,2025-12-07 16:59:42.820937,0 days 00:00:00.215200,0.0005938341543244293,simple,COMPLETE
46,-0.0016559721242364045,2025-12-07 16:59:42.821943,2025-12-07 16:59:43.037846,0 days 00:00:00.215903,0.003170652635344705,simple,COMPLETE
47,-0.0016559721242364045,2025-12-07 16:59:43.038859,2025-12-07 16:59:43.243656,0 days 00:00:00.204797,0.0013487069878611163,simple,COMPLETE
48,-0.0067158779947760205,2025-12-07 16:59:43.243656,2025-12-07 16:59:43.455517,0 days 00:00:00.211861,0.0003232252609559028,simple,COMPLETE
49,-0.0016559721242364045,2025-12-07 16:59:43.457023,2025-12-07 16:59:43.665588,0 days 00:00:00.208565,0.14638493937463576,simple,COMPLETE
50,6.115838852464399e-05,2025-12-07 16:59:43.666874,2025-12-07 16:59:43.868064,0 days 00:00:00.201190,0.0007550563912077658,simple,COMPLETE
51,0.0010925993920397614,2025-12-07 16:59:43.869861,2025-12-07 16:59:44.070926,0 days 00:00:00.201065,0.0005456849567370822,simple,COMPLETE
52,-0.07557214268184853,2025-12-07 16:59:44.072996,2025-12-07 16:59:44.289665,0 days 00:00:00.216669,0.00015072026765233017,simple,COMPLETE
53,0.0006804550482443217,2025-12-07 16:59:44.290649,2025-12-07 16:59:44.493451,0 days 00:00:00.202802,0.0004625154803736305,simple,COMPLETE
54,-0.0016235777400363343,2025-12-07 16:59:44.494699,2025-12-07 16:59:44.696752,0 days 00:00:00.202053,0.0009805745524782434,simple,COMPLETE
55,-0.027925456764994472,2025-12-07 16:59:44.698041,2025-12-07 16:59:44.922072,0 days 00:00:00.224031,0.00021897868555266096,simple,COMPLETE
56,-0.0016559721242364045,2025-12-07 16:59:44.924757,2025-12-07 16:59:45.123375,0 days 00:00:00.198618,0.0011969085120597347,simple,COMPLETE
57,-0.0016559721242364045,2025-12-07 16:59:45.125089,2025-12-07 16:59:45.337372,0 days 00:00:00.212283,0.0070934057988664544,simple,COMPLETE
58,0.0008285681094970521,2025-12-07 16:59:45.339297,2025-12-07 16:59:45.557939,0 days 00:00:00.218642,0.0006240191004589414,simple,COMPLETE
59,-0.0016559721242364045,2025-12-07 16:59:45.562275,2025-12-07 16:59:45.755725,0 days 00:00:00.193450,0.0026777241627297566,simple,COMPLETE
60,-0.008160785172894536,2025-12-07 16:59:45.757238,2025-12-07 16:59:45.974681,0 days 00:00:00.217443,0.0003105071117644206,simple,COMPLETE
61,0.0011039753039330618,2025-12-07 16:59:45.975472,2025-12-07 16:59:46.188994,0 days 00:00:00.213522,0.000482366423070621,simple,COMPLETE
62,0.0001018602164085299,2025-12-07 16:59:46.190825,2025-12-07 16:59:46.407311,0 days 00:00:00.216486,0.00044378045180640767,simple,COMPLETE
63,-0.0016559721242364045,2025-12-07 16:59:46.409539,2025-12-07 16:59:46.623046,0 days 00:00:00.213507,0.0016665252936395609,simple,COMPLETE
64,-0.0016559721242364045,2025-12-07 16:59:46.624935,2025-12-07 16:59:46.835835,0 days 00:00:00.210900,0.004694965529140298,simple,COMPLETE
65,-0.0873365274516978,2025-12-07 16:59:46.835835,2025-12-07 16:59:47.057925,0 days 00:00:00.222090,0.00013796013642166613,simple,COMPLETE
66,-6.513507332772672e-05,2025-12-07 16:59:47.059160,2025-12-07 16:59:47.272315,0 days 00:00:00.213155,0.0007744209685439388,simple,COMPLETE
67,-0.013161839111570798,2025-12-07 16:59:47.273321,2025-12-07 16:59:47.477527,0 days 00:00:00.204206,0.0002748025405048575,simple,COMPLETE
68,0.001110396817058749,2025-12-07 16:59:47.479096,2025-12-07 16:59:47.687398,0 days 00:00:00.208302,0.0005381599775756073,simple,COMPLETE
69,-0.0016559721242364045,2025-12-07 16:59:47.687398,2025-12-07 16:59:47.900089,0 days 00:00:00.212691,0.001156516450546316,simple,COMPLETE
70,-0.0016379814857596653,2025-12-07 16:59:47.901092,2025-12-07 16:59:48.103948,0 days 00:00:00.202856,0.00040591935510081196,simple,COMPLETE
71,0.0010433862443507784,2025-12-07 16:59:48.104994,2025-12-07 16:59:48.323783,0 days 00:00:00.218789,0.0005636998206793801,simple,COMPLETE
72,0.00108942371066445,2025-12-07 16:59:48.325655,2025-12-07 16:59:48.427703,0 days 00:00:00.102048,0.000494987441765105,simple,COMPLETE
73,-0.0016559721242364045,2025-12-07 16:59:48.428706,2025-12-07 16:59:48.632618,0 days 00:00:00.203912,0.002367362396701755,simple,COMPLETE
74,-0.056197925683086604,2025-12-07 16:59:48.634282,2025-12-07 16:59:48.836849,0 days 00:00:00.202567,0.0001757186880214008,simple,COMPLETE
75,-0.011622970002293806,2025-12-07 16:59:48.836849,2025-12-07 16:59:49.055311,0 days 00:00:00.218462,0.00028491421311197646,simple,COMPLETE
76,-0.0013731064467484473,2025-12-07 16:59:49.057315,2025-12-07 16:59:49.273932,0 days 00:00:00.216617,0.0009365690452161439,simple,COMPLETE
77,-0.12075099617985563,2025-12-07 16:59:49.274546,2025-12-07 16:59:49.489374,0 days 00:00:00.214828,0.00011390925252185585,simple,COMPLETE
78,0.0008026685807394074,2025-12-07 16:59:49.491153,2025-12-07 16:59:49.705237,0 days 00:00:00.214084,0.0004674143872041402,simple,COMPLETE
79,-0.0016559721242364045,2025-12-07 16:59:49.706912,2025-12-07 16:59:49.914701,0 days 00:00:00.207789,1.1748124164727554,simple,COMPLETE
80,-0.0016559721242364045,2025-12-07 16:59:49.916156,2025-12-07 16:59:50.133960,0 days 00:00:00.217804,0.011918348225993781,simple,COMPLETE
81,0.0005940986055908241,2025-12-07 16:59:50.135606,2025-12-07 16:59:50.339051,0 days 00:00:00.203445,0.0006793949080347047,simple,COMPLETE
82,-0.018993239830112623,2025-12-07 16:59:50.342787,2025-12-07 16:59:50.563866,0 days 00:00:00.221079,0.00024230606065215641,simple,COMPLETE
83,0.0011357678336382608,2025-12-07 16:59:50.563866,2025-12-07 16:59:50.773372,0 days 00:00:00.209506,0.0005197716461530043,simple,COMPLETE
84,-0.003095965894774455,2025-12-07 16:59:50.774770,2025-12-07 16:59:50.989367,0 days 00:00:00.214597,0.00036417339772253305,simple,COMPLETE
85,-0.0016559721242364045,2025-12-07 16:59:50.989967,2025-12-07 16:59:51.207730,0 days 00:00:00.217763,0.0018031940155106155,simple,COMPLETE
86,-0.0016559721242364045,2025-12-07 16:59:51.209426,2025-12-07 16:59:51.421287,0 days 00:00:00.211861,0.0012899016318810852,simple,COMPLETE
87,0.001107651043326811,2025-12-07 16:59:51.424116,2025-12-07 16:59:51.639662,0 days 00:00:00.215546,0.0005021852213079435,simple,COMPLETE
88,-0.0007198497964438685,2025-12-07 16:59:51.641774,2025-12-07 16:59:51.858460,0 days 00:00:00.216686,0.0008596666781630604,simple,COMPLETE
89,-0.04834882989418343,2025-12-07 16:59:51.860325,2025-12-07 16:59:52.073487,0 days 00:00:00.213162,0.00018564885521820372,simple,COMPLETE
90,-0.002449920017899232,2025-12-07 16:59:52.074161,2025-12-07 16:59:52.291137,0 days 00:00:00.216976,0.00038305539001803527,simple,COMPLETE
91,0.0008294381083108204,2025-12-07 16:59:52.293340,2025-12-07 16:59:52.493305,0 days 00:00:00.199965,0.0006237576423017021,simple,COMPLETE
92,0.00024957398932949165,2025-12-07 16:59:52.495299,2025-12-07 16:59:52.708241,0 days 00:00:00.212942,0.0004480472816019019,simple,COMPLETE
93,-0.01788233640120514,2025-12-07 16:59:52.708755,2025-12-07 16:59:52.918359,0 days 00:00:00.209604,0.0002477731979599315,simple,COMPLETE
94,0.0010379035158007606,2025-12-07 16:59:52.919841,2025-12-07 16:59:53.136144,0 days 00:00:00.216303,0.0005663091330753321,simple,COMPLETE
95,-0.00047110126887824527,2025-12-07 16:59:53.142161,2025-12-07 16:59:53.353354,0 days 00:00:00.211193,0.0008296661878730009,simple,COMPLETE
96,-0.0016559721242364045,2025-12-07 16:59:53.355224,2025-12-07 16:59:53.562364,0 days 00:00:00.207140,0.0015322656880880773,simple,COMPLETE
97,0.0011000828887902658,2025-12-07 16:59:53.563369,2025-12-07 16:59:53.774825,0 days 00:00:00.211456,0.0004990460349616562,simple,COMPLETE
98,-0.0016559721242364045,2025-12-07 16:59:53.775830,2025-12-07 16:59:53.990619,0 days 00:00:00.214789,0.0011742884913031372,simple,COMPLETE
99,-0.008106279511474357,2025-12-07 16:59:53.991784,2025-12-07 16:59:54.196654,0 days 00:00:00.204870,0.00031095602261737107,simple,COMPLETE
100,-0.0016559721242364045,2025-12-07 16:59:54.196654,2025-12-07 16:59:54.294158,0 days 00:00:00.097504,0.004179124802000752,simple,COMPLETE
101,0.0011069568202396463,2025-12-07 16:59:54.295163,2025-12-07 16:59:54.494263,0 days 00:00:00.199100,0.0005397703440043762,simple,COMPLETE
102,0.0007060713453878043,2025-12-07 16:59:54.496269,2025-12-07 16:59:54.707799,0 days 00:00:00.211530,0.0004635032544636043,simple,COMPLETE
103,-0.004801265307345555,2025-12-07 16:59:54.709679,2025-12-07 16:59:54.925591,0 days 00:00:00.215912,0.0003435274235485659,simple,COMPLETE
104,9.713758396749188e-05,2025-12-07 16:59:54.926906,2025-12-07 16:59:55.139694,0 days 00:00:00.212788,0.000749629641749807,simple,COMPLETE
105,-0.0016137866528089795,2025-12-07 16:59:55.145847,2025-12-07 16:59:55.352379,0 days 00:00:00.206532,0.0009765530656085793,simple,COMPLETE
106,-0.0270765896658219,2025-12-07 16:59:55.353260,2025-12-07 16:59:55.557873,0 days 00:00:00.204613,0.00022080403662200782,simple,COMPLETE
107,0.0011303756189869156,2025-12-07 16:59:55.559830,2025-12-07 16:59:55.771776,0 days 00:00:00.211946,0.000525695275904971,simple,COMPLETE
108,-0.07542992257248755,2025-12-07 16:59:55.774933,2025-12-07 16:59:55.989479,0 days 00:00:00.214546,0.00015091217423208377,simple,COMPLETE
109,-0.0016559721242364045,2025-12-07 16:59:55.990247,2025-12-07 16:59:56.195038,0 days 00:00:00.204791,0.002232677216610171,simple,COMPLETE
110,-0.0016559721242364045,2025-12-07 16:59:56.197094,2025-12-07 16:59:56.401866,0 days 00:00:00.204772,0.4566513163760981,simple,COMPLETE
111,-0.0016559721242364045,2025-12-07 16:59:56.402696,2025-12-07 16:59:56.603476,0 days 00:00:00.200780,0.02245933356905416,simple,COMPLETE
