number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
46,-1523013022.5449407,2025-12-07 16:10:48.503102,2025-12-07 16:10:53.235872,0 days 00:00:04.732770,extensive,COMPLETE
47,-1523013022.5449407,2025-12-07 16:10:53.235872,2025-12-07 16:10:57.558284,0 days 00:00:04.322412,extensive,COMPLETE
48,-1523013022.5449407,2025-12-07 16:10:57.558284,2025-12-07 16:11:02.011716,0 days 00:00:04.453432,extensive,COMPLETE
49,-1523013022.5449407,2025-12-07 16:11:02.011716,2025-12-07 16:11:06.754865,0 days 00:00:04.743149,extensive,COMPLETE
50,-1523013022.5449407,2025-12-07 16:11:06.754865,2025-12-07 16:11:11.429437,0 days 00:00:04.674572,extensive,COMPLETE
51,-1523013022.5449407,2025-12-07 16:11:11.429437,2025-12-07 16:11:16.205472,0 days 00:00:04.776035,extensive,COMPLETE
52,-1523013022.5449407,2025-12-07 16:11:16.205472,2025-12-07 16:11:21.440809,0 days 00:00:05.235337,extensive,COMPLETE
53,-1523013022.5449407,2025-12-07 16:11:21.440809,2025-12-07 16:11:26.015991,0 days 00:00:04.575182,extensive,COMPLETE
54,-1523013022.5449407,2025-12-07 16:11:26.016497,2025-12-07 16:11:30.808777,0 days 00:00:04.792280,extensive,COMPLETE
55,-1523013022.5449407,2025-12-07 16:11:30.808777,2025-12-07 16:11:36.055980,0 days 00:00:05.247203,extensive,COMPLETE
56,-1523013022.5449407,2025-12-07 16:11:36.056762,2025-12-07 16:11:40.798468,0 days 00:00:04.741706,extensive,COMPLETE
57,-1523013022.5449407,2025-12-07 16:11:40.798468,2025-12-07 16:11:45.500130,0 days 00:00:04.701662,extensive,COMPLETE
58,-1523013022.5449407,2025-12-07 16:11:45.501408,2025-12-07 16:11:50.286638,0 days 00:00:04.785230,extensive,COMPLETE
59,-1523013022.5449407,2025-12-07 16:11:50.286638,2025-12-07 16:11:54.962089,0 days 00:00:04.675451,extensive,COMPLETE
60,-1523013022.5449407,2025-12-07 16:11:54.964097,2025-12-07 16:11:59.546992,0 days 00:00:04.582895,extensive,COMPLETE
61,-1523013022.5449407,2025-12-07 16:11:59.546992,2025-12-07 16:12:04.212772,0 days 00:00:04.665780,extensive,COMPLETE
62,-1523013022.5449407,2025-12-07 16:12:04.213778,2025-12-07 16:12:08.849248,0 days 00:00:04.635470,extensive,COMPLETE
63,-1523013022.5449407,2025-12-07 16:12:08.850764,2025-12-07 16:12:13.575263,0 days 00:00:04.724499,extensive,COMPLETE
64,-1523013022.5449407,2025-12-07 16:12:13.575263,2025-12-07 16:12:18.245270,0 days 00:00:04.670007,extensive,COMPLETE
65,-1523013022.5449407,2025-12-07 16:12:18.245270,2025-12-07 16:12:22.915322,0 days 00:00:04.670052,extensive,COMPLETE
66,-1523013022.5449407,2025-12-07 16:12:22.916407,2025-12-07 16:12:27.446624,0 days 00:00:04.530217,extensive,COMPLETE
67,-1523013022.5449407,2025-12-07 16:12:27.446624,2025-12-07 16:12:32.185796,0 days 00:00:04.739172,extensive,COMPLETE
68,-1523013022.5449407,2025-12-07 16:12:32.185796,2025-12-07 16:12:36.949623,0 days 00:00:04.763827,extensive,COMPLETE
69,-1523013022.5449407,2025-12-07 16:12:36.950137,2025-12-07 16:12:41.665202,0 days 00:00:04.715065,extensive,COMPLETE
70,-1523013022.5449407,2025-12-07 16:12:41.666276,2025-12-07 16:12:46.355273,0 days 00:00:04.688997,extensive,COMPLETE
71,-1523013022.5449407,2025-12-07 16:12:46.355273,2025-12-07 16:12:51.028793,0 days 00:00:04.673520,extensive,COMPLETE
72,-1523013022.5449407,2025-12-07 16:12:51.028793,2025-12-07 16:12:55.595718,0 days 00:00:04.566925,extensive,COMPLETE
