number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
42,-103935.8910482456,2025-12-07 16:35:19.078697,2025-12-07 16:35:20.352316,0 days 00:00:01.273619,117.3536339077416,medium,COMPLETE
43,-13678.839637740422,2025-12-07 16:35:20.352316,2025-12-07 16:35:21.688082,0 days 00:00:01.335766,983.017249636398,medium,COMPLETE
44,-45093.01666110308,2025-12-07 16:35:21.689085,2025-12-07 16:35:23.075626,0 days 00:00:01.386541,297.68375110108406,medium,COMPLETE
45,-13564.720100334924,2025-12-07 16:35:23.075626,2025-12-07 16:35:24.410963,0 days 00:00:01.335337,990.479209014587,medium,COMPLETE
46,-29931.695224515817,2025-12-07 16:35:24.411544,2025-12-07 16:35:25.775856,0 days 00:00:01.364312,461.02973991062873,medium,COMPLETE
47,-379235.89126263914,2025-12-07 16:35:25.777549,2025-12-07 16:35:26.972832,0 days 00:00:01.195283,23.29676504351426,medium,COMPLETE
48,-162317.67364103976,2025-12-07 16:35:26.972832,2025-12-07 16:35:28.276510,0 days 00:00:01.303678,70.99772233056154,medium,COMPLETE
49,-31319.034246988875,2025-12-07 16:35:28.277944,2025-12-07 16:35:29.545418,0 days 00:00:01.267474,439.82059764464526,medium,COMPLETE
50,-75468.68698757907,2025-12-07 16:35:29.545418,2025-12-07 16:35:30.825653,0 days 00:00:01.280235,167.92187259253407,medium,COMPLETE
51,-15150.130471568764,2025-12-07 16:35:30.825653,2025-12-07 16:35:32.111930,0 days 00:00:01.286277,895.7046097805197,medium,COMPLETE
52,-2099477.4341567582,2025-12-07 16:35:32.112975,2025-12-07 16:35:33.421546,0 days 00:00:01.308571,0.00032090906137060806,medium,COMPLETE
53,-14056.523493248393,2025-12-07 16:35:33.422411,2025-12-07 16:35:34.727959,0 days 00:00:01.305548,959.0797161804383,medium,COMPLETE
54,-46197.203295744876,2025-12-07 16:35:34.727959,2025-12-07 16:35:35.995183,0 days 00:00:01.267224,289.8956495321818,medium,COMPLETE
55,-27126.26717246497,2025-12-07 16:35:35.996051,2025-12-07 16:35:37.295463,0 days 00:00:01.299412,510.0618465199545,medium,COMPLETE
56,-128475.59184713132,2025-12-07 16:35:37.295463,2025-12-07 16:35:38.545643,0 days 00:00:01.250180,92.53252311374479,medium,COMPLETE
57,-278041.1123689608,2025-12-07 16:35:38.545643,2025-12-07 16:35:39.845563,0 days 00:00:01.299920,0.36688402991712277,medium,COMPLETE
58,-26292.944387950716,2025-12-07 16:35:39.845563,2025-12-07 16:35:41.146386,0 days 00:00:01.300823,526.4815822829488,medium,COMPLETE
59,-77269.9159017196,2025-12-07 16:35:41.146386,2025-12-07 16:35:42.412501,0 days 00:00:01.266115,163.54454950995517,medium,COMPLETE
60,-21536.188472020604,2025-12-07 16:35:42.412501,2025-12-07 16:35:43.665683,0 days 00:00:01.253182,642.0790700824111,medium,COMPLETE
