number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0031502202917237376,2025-12-08 03:13:33.062129,2025-12-08 03:13:36.289299,0 days 00:00:03.227170,0.7235611842817501,0.06816805452058129,4,75,2445,97,0.8406055922537986,5.216570343783628,0.9905345421296021,extensive,final,lgbm,pca_only,True,COMPLETE
1,-0.0016559720935109083,2025-12-08 03:13:36.289299,2025-12-08 03:13:39.081674,0 days 00:00:02.792375,0.6147280941432274,0.029404060427871935,10,12,1354,119,3.723600479594975,2.1152109722807,0.7920787257435137,extensive,final,lgbm,pca_only,True,COMPLETE
2,-0.0016559720935109083,2025-12-08 03:13:39.081674,2025-12-08 03:13:41.836786,0 days 00:00:02.755112,0.7182640600911732,0.00814214590605533,12,48,1440,89,4.318615368674876,13.404323789098376,0.8888574497647852,extensive,final,lgbm,pca_only,True,COMPLETE
3,-0.0016559720935109083,2025-12-08 03:13:41.837791,2025-12-08 03:13:44.541756,0 days 00:00:02.703965,0.9334256026813113,0.06431783108456707,11,34,423,103,3.72490025304109,4.397077113873546,0.6750616163925907,extensive,final,lgbm,pca_only,True,COMPLETE
4,-0.0016559720935109083,2025-12-08 03:13:44.541756,2025-12-08 03:13:47.365460,0 days 00:00:02.823704,0.9163719279481072,0.08903307619165174,4,10,2756,77,3.6611674483728502,0.8796732036929581,0.7419806618331932,extensive,final,lgbm,pca_only,True,COMPLETE
