number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 03:14:46.136992,2025-12-08 03:14:50.891327,0 days 00:00:04.754335,0.8201000934084164,0.0027673358074557525,3,6,1078,2.278260734739948,0.6383148379577946,0.3903087805348842,extensive,final,xgb,pca_hybrid,True,COMPLETE
1,-0.0017099333495289581,2025-12-08 03:14:50.892327,2025-12-08 03:15:01.093652,0 days 00:00:10.201325,0.8954052752719448,0.009148326409163736,9,11,2564,1.3910477099112517,0.20985051776403454,0.4147191247247844,extensive,final,xgb,pca_hybrid,True,COMPLETE
2,-0.0016559721404409238,2025-12-08 03:15:01.093652,2025-12-08 03:15:09.938520,0 days 00:00:08.844868,0.47968556591277495,0.006996117689343629,5,12,2249,4.722389163742081,13.733672158809474,0.7922122547639903,extensive,final,xgb,pca_hybrid,True,COMPLETE
3,-0.0016559721404409238,2025-12-08 03:15:09.938520,2025-12-08 03:15:15.259995,0 days 00:00:05.321475,0.43375467150191305,0.0020846897691100775,6,18,1313,4.7441285581563095,0.13258839200602332,0.7498580007921993,extensive,final,xgb,pca_hybrid,True,COMPLETE
4,-0.0016559721404409238,2025-12-08 03:15:15.259995,2025-12-08 03:15:20.696018,0 days 00:00:05.436023,0.7546166187205685,0.008452463425430747,4,4,1312,3.262695395448521,0.7707178827209104,0.7001930908093565,extensive,final,xgb,pca_hybrid,True,COMPLETE
