number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
47,-428311532.9632318,2025-12-07 15:45:03.736982,2025-12-07 15:45:06.009910,0 days 00:00:02.272928,medium,COMPLETE
48,-428311532.9632318,2025-12-07 15:45:06.009910,2025-12-07 15:45:08.354867,0 days 00:00:02.344957,medium,COMPLETE
49,-428311532.9632318,2025-12-07 15:45:08.354867,2025-12-07 15:45:10.816740,0 days 00:00:02.461873,medium,COMPLETE
50,-428311532.9632318,2025-12-07 15:45:10.816740,2025-12-07 15:45:13.310639,0 days 00:00:02.493899,medium,COMPLETE
51,-428311532.9632318,2025-12-07 15:45:13.310639,2025-12-07 15:45:15.762613,0 days 00:00:02.451974,medium,COMPLETE
52,-428311532.9632318,2025-12-07 15:45:15.762613,2025-12-07 15:45:18.280014,0 days 00:00:02.517401,medium,COMPLETE
53,-428311532.9632318,2025-12-07 15:45:18.280014,2025-12-07 15:45:20.697953,0 days 00:00:02.417939,medium,COMPLETE
54,-428311532.9632318,2025-12-07 15:45:20.699957,2025-12-07 15:45:23.572133,0 days 00:00:02.872176,medium,COMPLETE
55,-428311532.9632318,2025-12-07 15:45:23.572133,2025-12-07 15:45:26.107687,0 days 00:00:02.535554,medium,COMPLETE
56,-428311532.9632318,2025-12-07 15:45:26.107687,2025-12-07 15:45:28.596122,0 days 00:00:02.488435,medium,COMPLETE
57,-428311532.9632318,2025-12-07 15:45:28.596122,2025-12-07 15:45:30.986513,0 days 00:00:02.390391,medium,COMPLETE
58,-428311532.9632318,2025-12-07 15:45:30.986513,2025-12-07 15:45:33.304297,0 days 00:00:02.317784,medium,COMPLETE
59,-428311532.9632318,2025-12-07 15:45:33.304297,2025-12-07 15:45:35.610625,0 days 00:00:02.306328,medium,COMPLETE
60,-428311532.9632318,2025-12-07 15:45:35.610625,2025-12-07 15:45:37.855172,0 days 00:00:02.244547,medium,COMPLETE
61,-428311532.9632318,2025-12-07 15:45:37.855172,2025-12-07 15:45:40.189971,0 days 00:00:02.334799,medium,COMPLETE
62,-428311532.9632318,2025-12-07 15:45:40.191661,2025-12-07 15:45:42.473143,0 days 00:00:02.281482,medium,COMPLETE
63,-428311532.9632318,2025-12-07 15:45:42.473143,2025-12-07 15:45:44.680861,0 days 00:00:02.207718,medium,COMPLETE
64,-428311532.9632318,2025-12-07 15:45:44.681917,2025-12-07 15:45:47.054388,0 days 00:00:02.372471,medium,COMPLETE
65,-428311532.9632318,2025-12-07 15:45:47.054388,2025-12-07 15:45:49.404238,0 days 00:00:02.349850,medium,COMPLETE
66,-428311532.9632318,2025-12-07 15:45:49.404238,2025-12-07 15:45:51.831730,0 days 00:00:02.427492,medium,COMPLETE
67,-428311532.9632318,2025-12-07 15:45:51.831730,2025-12-07 15:45:54.219410,0 days 00:00:02.387680,medium,COMPLETE
68,-428311532.9632318,2025-12-07 15:45:54.219410,2025-12-07 15:45:56.429075,0 days 00:00:02.209665,medium,COMPLETE
69,-428311532.9632318,2025-12-07 15:45:56.429075,2025-12-07 15:45:58.768854,0 days 00:00:02.339779,medium,COMPLETE
70,-428311532.9632318,2025-12-07 15:45:58.768854,2025-12-07 15:46:01.215633,0 days 00:00:02.446779,medium,COMPLETE
71,-428311532.9632318,2025-12-07 15:46:01.216637,2025-12-07 15:46:03.776640,0 days 00:00:02.560003,medium,COMPLETE
72,-428311532.9632318,2025-12-07 15:46:03.776640,2025-12-07 15:46:06.264071,0 days 00:00:02.487431,medium,COMPLETE
73,-428311532.9632318,2025-12-07 15:46:06.265123,2025-12-07 15:46:08.623721,0 days 00:00:02.358598,medium,COMPLETE
74,-428311532.9632318,2025-12-07 15:46:08.623721,2025-12-07 15:46:10.861875,0 days 00:00:02.238154,medium,COMPLETE
75,-428311532.9632318,2025-12-07 15:46:10.861875,2025-12-07 15:46:13.157364,0 days 00:00:02.295489,medium,COMPLETE
76,-428311532.9632318,2025-12-07 15:46:13.157364,2025-12-07 15:46:15.677440,0 days 00:00:02.520076,medium,COMPLETE
77,-428311532.9632318,2025-12-07 15:46:15.677440,2025-12-07 15:46:18.293610,0 days 00:00:02.616170,medium,COMPLETE
78,-428311532.9632318,2025-12-07 15:46:18.294172,2025-12-07 15:46:21.084788,0 days 00:00:02.790616,medium,COMPLETE
79,-428311532.9632318,2025-12-07 15:46:21.084788,2025-12-07 15:46:23.566596,0 days 00:00:02.481808,medium,COMPLETE
80,-428311532.9632318,2025-12-07 15:46:23.566596,2025-12-07 15:46:25.557491,0 days 00:00:01.990895,medium,COMPLETE
81,-428311532.9632318,2025-12-07 15:46:25.557491,2025-12-07 15:46:27.781051,0 days 00:00:02.223560,medium,COMPLETE
82,-428311532.9632318,2025-12-07 15:46:27.782102,2025-12-07 15:46:30.043743,0 days 00:00:02.261641,medium,COMPLETE
83,-428311532.9632318,2025-12-07 15:46:30.043743,2025-12-07 15:46:32.242457,0 days 00:00:02.198714,medium,COMPLETE
84,-428311532.9632318,2025-12-07 15:46:32.243501,2025-12-07 15:46:34.437160,0 days 00:00:02.193659,medium,COMPLETE
85,-428311532.9632318,2025-12-07 15:46:34.437160,2025-12-07 15:46:36.629192,0 days 00:00:02.192032,medium,COMPLETE
