number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
41,0.0011679220350146642,2025-12-07 16:58:43.661199,2025-12-07 16:58:43.852785,0 days 00:00:00.191586,0.0005333393513906749,none,COMPLETE
42,-0.025396530170392933,2025-12-07 16:58:43.855511,2025-12-07 16:58:44.050712,0 days 00:00:00.195201,0.00023251552830485026,none,COMPLETE
43,0.0006296191126828147,2025-12-07 16:58:44.052718,2025-12-07 16:58:44.239484,0 days 00:00:00.186766,0.0006653791962641976,none,COMPLETE
44,-0.0016559721242364045,2025-12-07 16:58:44.239484,2025-12-07 16:58:44.426722,0 days 00:00:00.187238,0.0015490433303686473,none,COMPLETE
45,-0.0016559721242364045,2025-12-07 16:58:44.427507,2025-12-07 16:58:44.614456,0 days 00:00:00.186949,0.2676227571454768,none,COMPLETE
46,-0.14408137898296328,2025-12-07 16:58:44.615674,2025-12-07 16:58:44.703747,0 days 00:00:00.088073,0.0001071905262852167,none,COMPLETE
47,-0.01835551277418268,2025-12-07 16:58:44.704900,2025-12-07 16:58:44.896814,0 days 00:00:00.191914,0.00025671898525341316,none,COMPLETE
48,-0.0016559721242364045,2025-12-07 16:58:44.897735,2025-12-07 16:58:45.102361,0 days 00:00:00.204626,0.005028183372852883,none,COMPLETE
49,-0.0014972518456187374,2025-12-07 16:58:45.104213,2025-12-07 16:58:45.301072,0 days 00:00:00.196859,0.0009542121513663618,none,COMPLETE
50,0.0009161739465904928,2025-12-07 16:58:45.301072,2025-12-07 16:58:45.488342,0 days 00:00:00.187270,0.0005999746739978085,none,COMPLETE
51,0.0008574196219179875,2025-12-07 16:58:45.490037,2025-12-07 16:58:45.682691,0 days 00:00:00.192654,0.0006152837414124618,none,COMPLETE
52,-0.06218264452165608,2025-12-07 16:58:45.682691,2025-12-07 16:58:45.769933,0 days 00:00:00.087242,0.00017819458076523572,none,COMPLETE
53,-0.004060591207539137,2025-12-07 16:58:45.770939,2025-12-07 16:58:45.969041,0 days 00:00:00.198102,0.00034841557234053676,none,COMPLETE
54,-0.0016559721242364045,2025-12-07 16:58:45.969041,2025-12-07 16:58:46.161887,0 days 00:00:00.192846,0.0025049239776129095,none,COMPLETE
