number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
41,-13180.071541802752,2025-12-07 16:49:41.732452,2025-12-07 16:49:43.792126,0 days 00:00:02.059674,347.66991055392435,extensive,COMPLETE
42,-50666.71760912172,2025-12-07 16:49:43.794306,2025-12-07 16:49:45.698659,0 days 00:00:01.904353,117.3536339077416,extensive,COMPLETE
43,-4665.394174687531,2025-12-07 16:49:45.700168,2025-12-07 16:49:47.708883,0 days 00:00:02.008715,983.017249636398,extensive,COMPLETE
44,-15816.8200469134,2025-12-07 16:49:47.708883,2025-12-07 16:49:49.784283,0 days 00:00:02.075400,297.68375110108406,extensive,COMPLETE
45,-4636.2955457754715,2025-12-07 16:49:49.784283,2025-12-07 16:49:51.861802,0 days 00:00:02.077519,990.479209014587,extensive,COMPLETE
46,-9611.8600451935,2025-12-07 16:49:51.862744,2025-12-07 16:49:53.862864,0 days 00:00:02.000120,461.02973991062873,extensive,COMPLETE
47,-304066.4299313997,2025-12-07 16:49:53.864865,2025-12-07 16:49:55.908777,0 days 00:00:02.043912,23.29676504351426,extensive,COMPLETE
48,-94552.14015356703,2025-12-07 16:49:55.908777,2025-12-07 16:49:57.927024,0 days 00:00:02.018247,70.99772233056154,extensive,COMPLETE
49,-10115.945320939934,2025-12-07 16:49:57.927024,2025-12-07 16:49:59.979983,0 days 00:00:02.052959,439.82059764464526,extensive,COMPLETE
50,-32131.460545788676,2025-12-07 16:49:59.979983,2025-12-07 16:50:02.027973,0 days 00:00:02.047990,167.92187259253407,extensive,COMPLETE
51,-5046.286245918829,2025-12-07 16:50:02.027973,2025-12-07 16:50:04.186381,0 days 00:00:02.158408,895.7046097805197,extensive,COMPLETE
52,-91225244.75302018,2025-12-07 16:50:04.187250,2025-12-07 16:50:06.232299,0 days 00:00:02.045049,0.00032090906137060806,extensive,COMPLETE
53,-4762.140118473201,2025-12-07 16:50:06.232809,2025-12-07 16:50:08.219444,0 days 00:00:01.986635,959.0797161804383,extensive,COMPLETE
54,-16325.930154750158,2025-12-07 16:50:08.221272,2025-12-07 16:50:10.264334,0 days 00:00:02.043062,289.8956495321818,extensive,COMPLETE
55,-8632.996370943723,2025-12-07 16:50:10.265550,2025-12-07 16:50:12.297747,0 days 00:00:02.032197,510.0618465199545,extensive,COMPLETE
56,-68324.00076790758,2025-12-07 16:50:12.298753,2025-12-07 16:50:14.414067,0 days 00:00:02.115314,92.53252311374479,extensive,COMPLETE
57,-12866436.46220787,2025-12-07 16:50:14.414067,2025-12-07 16:50:16.431950,0 days 00:00:02.017883,0.36688402991712277,extensive,COMPLETE
58,-8352.67418884592,2025-12-07 16:50:16.432770,2025-12-07 16:50:18.353412,0 days 00:00:01.920642,526.4815822829488,extensive,COMPLETE
59,-33226.649719670066,2025-12-07 16:50:18.353412,2025-12-07 16:50:20.314305,0 days 00:00:01.960893,163.54454950995517,extensive,COMPLETE
60,-6843.100683399421,2025-12-07 16:50:20.315816,2025-12-07 16:50:22.547060,0 days 00:00:02.231244,642.0790700824111,extensive,COMPLETE
61,-5116.83563018768,2025-12-07 16:50:22.547060,2025-12-07 16:50:24.675307,0 days 00:00:02.128247,881.3883257002385,extensive,COMPLETE
62,-4618.746247308703,2025-12-07 16:50:24.675307,2025-12-07 16:50:26.730072,0 days 00:00:02.054765,995.0405345030265,extensive,COMPLETE
63,-8525.105043927373,2025-12-07 16:50:26.730072,2025-12-07 16:50:28.788655,0 days 00:00:02.058583,516.237566274939,extensive,COMPLETE
64,-24060.10911616152,2025-12-07 16:50:28.791032,2025-12-07 16:50:30.844689,0 days 00:00:02.053657,211.26404454024362,extensive,COMPLETE
65,-11350.53853792761,2025-12-07 16:50:30.844689,2025-12-07 16:50:32.932150,0 days 00:00:02.087461,396.3839434505235,extensive,COMPLETE
66,-46655.830678086284,2025-12-07 16:50:32.932720,2025-12-07 16:50:34.995020,0 days 00:00:02.062300,125.23296513109266,extensive,COMPLETE
67,-174972.66883669852,2025-12-07 16:50:34.996773,2025-12-07 16:50:36.996309,0 days 00:00:01.999536,41.33638470770049,extensive,COMPLETE
68,-20471.93819036566,2025-12-07 16:50:36.996309,2025-12-07 16:50:38.994570,0 days 00:00:01.998261,240.6403751641862,extensive,COMPLETE
69,-7244.782678966865,2025-12-07 16:50:38.994570,2025-12-07 16:50:41.016635,0 days 00:00:02.022065,605.8097892325943,extensive,COMPLETE
70,-4731.85136492545,2025-12-07 16:50:41.016635,2025-12-07 16:50:43.054816,0 days 00:00:02.038181,966.4337008444835,extensive,COMPLETE
71,-5033.605545955928,2025-12-07 16:50:43.056823,2025-12-07 16:50:45.062787,0 days 00:00:02.005964,898.3334744727946,extensive,COMPLETE
72,-7640.065978022884,2025-12-07 16:50:45.065099,2025-12-07 16:50:47.046760,0 days 00:00:01.981661,574.4530960322188,extensive,COMPLETE
73,-14430.249351714318,2025-12-07 16:50:47.046760,2025-12-07 16:50:49.030359,0 days 00:00:01.983599,321.6719686115905,extensive,COMPLETE
74,-4782.628004623729,2025-12-07 16:50:49.032269,2025-12-07 16:50:51.057773,0 days 00:00:02.025504,954.1754847404105,extensive,COMPLETE
75,-27993.663023744662,2025-12-07 16:50:51.057773,2025-12-07 16:50:53.129492,0 days 00:00:02.071719,187.2571048887136,extensive,COMPLETE
76,-9003363.005768005,2025-12-07 16:50:53.130497,2025-12-07 16:50:55.219286,0 days 00:00:02.088789,0.007676493548583711,extensive,COMPLETE
77,-1853644.3633077263,2025-12-07 16:50:55.220290,2025-12-07 16:50:57.249387,0 days 00:00:02.029097,1.964538236167475,extensive,COMPLETE
78,-12144.323143334854,2025-12-07 16:50:57.250333,2025-12-07 16:50:59.231127,0 days 00:00:01.980794,373.3726099019628,extensive,COMPLETE
79,-111851.69829457393,2025-12-07 16:50:59.232033,2025-12-07 16:51:01.243642,0 days 00:00:02.011609,61.63812860854364,extensive,COMPLETE
80,-7378.814595139592,2025-12-07 16:51:01.246198,2025-12-07 16:51:03.336918,0 days 00:00:02.090720,594.7376648348604,extensive,COMPLETE
81,-4631.009101654898,2025-12-07 16:51:03.338735,2025-12-07 16:51:05.379573,0 days 00:00:02.040838,991.8483535753805,extensive,COMPLETE
82,-4619.3109354462,2025-12-07 16:51:05.381853,2025-12-07 16:51:07.446851,0 days 00:00:02.064998,994.8930389636428,extensive,COMPLETE
83,-18841.006581693095,2025-12-07 16:51:07.448859,2025-12-07 16:51:09.452684,0 days 00:00:02.003825,257.50334083311117,extensive,COMPLETE
84,-6855.098432145406,2025-12-07 16:51:09.452684,2025-12-07 16:51:11.551730,0 days 00:00:02.099046,640.9224175461995,extensive,COMPLETE
85,-47532.78226468596,2025-12-07 16:51:11.552234,2025-12-07 16:51:13.666933,0 days 00:00:02.114699,123.41039436791226,extensive,COMPLETE
86,-11527.860089616557,2025-12-07 16:51:13.668589,2025-12-07 16:51:15.866130,0 days 00:00:02.197541,390.95485007785135,extensive,COMPLETE
