number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
14,-0.0016559720935109083,2025-12-07 18:09:50.564517,2025-12-07 18:09:50.971070,0 days 00:00:00.406553,0.7466249497215666,0.06088982687850378,8,47,968,111,3.44577911492431,0.6858187140623053,0.6671680435920644,none,COMPLETE
15,-0.30020776150029466,2025-12-07 18:09:50.971070,2025-12-07 18:09:53.135028,0 days 00:00:02.163958,0.5943154140680537,0.059459792058418816,10,86,2423,71,0.07755190997113548,4.436892093045354,0.8202139292383122,none,COMPLETE
16,-0.0016559720935109083,2025-12-07 18:09:53.136775,2025-12-07 18:09:53.400004,0 days 00:00:00.263229,0.51059520987161,0.013803691767380733,4,99,203,94,1.9438459739319311,0.10723233615838117,0.6274809405587258,none,COMPLETE
17,-0.0023450273366308525,2025-12-07 18:09:53.400004,2025-12-07 18:09:53.908125,0 days 00:00:00.508121,0.6900913631930553,0.07059064774462229,7,69,1335,81,1.255773118034989,19.078647856602792,0.7117505980173551,none,COMPLETE
18,-0.0016559720935109083,2025-12-07 18:09:53.910132,2025-12-07 18:09:54.266123,0 days 00:00:00.355991,0.8221116350657081,0.01546867341889106,9,10,698,128,3.111473652446301,0.8294476153405086,0.559052034925493,none,COMPLETE
19,-0.0016559720935109083,2025-12-07 18:09:54.266123,2025-12-07 18:09:54.613314,0 days 00:00:00.347191,0.586720193068739,0.0437802651972889,7,62,637,114,2.15722290553336,2.078424061187202,0.8222347859504923,none,COMPLETE
20,-0.005615554662487532,2025-12-07 18:09:54.613314,2025-12-07 18:09:55.314868,0 days 00:00:00.701554,0.7045005355351618,0.09887559544116296,4,78,2232,101,0.618589853351008,4.458534106961762,0.9725478777943671,none,COMPLETE
21,-0.0016559720935109083,2025-12-07 18:09:55.315914,2025-12-07 18:09:55.897329,0 days 00:00:00.581415,0.6004377110018971,0.030771050086020844,5,34,1793,92,3.9742730037146368,0.10794644264465772,0.6412958183502866,none,COMPLETE
22,-0.0016559720935109083,2025-12-07 18:09:55.897329,2025-12-07 18:09:56.651163,0 days 00:00:00.753834,0.6948125233608562,0.018431374036174442,4,44,2863,88,3.7720533712242816,0.2380506314855982,0.6130024066003887,none,COMPLETE
23,-0.0016559720935109083,2025-12-07 18:09:56.651163,2025-12-07 18:09:57.233641,0 days 00:00:00.582478,0.632764436659482,0.03699705602862758,3,54,1964,91,4.091972034364747,0.7149514160129203,0.689121364560726,none,COMPLETE
24,-0.0016559720935109083,2025-12-07 18:09:57.233641,2025-12-07 18:09:57.734111,0 days 00:00:00.500470,0.5615819297733018,0.029454127542558297,5,15,1376,99,3.3351944697550313,1.6766857393603045,0.5467003072018446,none,COMPLETE
25,-0.0016559720935109083,2025-12-07 18:09:57.734111,2025-12-07 18:09:58.061920,0 days 00:00:00.327809,0.5004420350889325,0.05028619606592437,6,90,570,82,2.3455058001480116,0.46535769474868277,0.6083736835510467,none,COMPLETE
26,-0.0016559720935109083,2025-12-07 18:09:58.061920,2025-12-07 18:09:58.435633,0 days 00:00:00.373713,0.7787588257864038,0.07484566659077492,4,40,907,108,4.280954315553826,0.21492084201401618,0.699168038946605,none,COMPLETE
27,-0.0016559720935109083,2025-12-07 18:09:58.435633,2025-12-07 18:09:59.050949,0 days 00:00:00.615316,0.6573590504614019,0.019184241473014715,3,29,2032,76,4.947710382037248,1.0243206507212688,0.643337973526392,none,COMPLETE
28,-0.0016559720935109083,2025-12-07 18:09:59.050949,2025-12-07 18:09:59.516605,0 days 00:00:00.465656,0.705271179276075,0.03136337867481378,11,58,1293,87,1.693508368763714,0.4795456982167832,0.5785652118081882,none,COMPLETE
29,-0.0016559720935109083,2025-12-07 18:09:59.516605,2025-12-07 18:10:00.351013,0 days 00:00:00.834408,0.5615531317018375,0.008772148782691877,8,67,3139,96,3.4964674729639986,0.17187347077081372,0.5311339949430063,none,COMPLETE
30,-0.0034435572042768037,2025-12-07 18:10:00.351013,2025-12-07 18:10:00.725380,0 days 00:00:00.374367,0.9101320728802786,0.04945849917739954,5,74,471,96,1.0004003024348411,4.885120537392572,0.5892317102518021,none,COMPLETE
31,-0.0016559720935109083,2025-12-07 18:10:00.725380,2025-12-07 18:10:01.715157,0 days 00:00:00.989777,0.5229331041927238,0.03517563165220974,9,64,3995,99,4.89510982206288,7.349111106569966,0.5592421864814638,none,COMPLETE
32,-0.0016559720935109083,2025-12-07 18:10:01.716200,2025-12-07 18:10:02.590153,0 days 00:00:00.873953,0.7510230289488433,0.008366124589805674,6,53,3573,107,4.5036542557196215,19.04302584849807,0.5946097213957298,none,COMPLETE
33,-0.0016559720935109083,2025-12-07 18:10:02.590153,2025-12-07 18:10:03.466754,0 days 00:00:00.876601,0.5628200897119829,0.023073345447499113,7,81,3367,123,4.808220494144298,6.010810311921003,0.5145617261723365,none,COMPLETE
