number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.0016559721404409238,2025-12-08 00:46:09.068173,2025-12-08 00:46:15.523393,0 days 00:00:06.455220,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,advanced,COMPLETE
1,-0.006652417714191931,2025-12-08 00:46:15.523393,2025-12-08 00:46:29.501259,0 days 00:00:13.977866,0.8819459112971966,0.025959425503112647,7,15,1007,0.9170225492671691,0.2620503255096255,0.31235069657748143,advanced,COMPLETE
2,-0.0016559721404409238,2025-12-08 00:46:29.502259,2025-12-08 00:46:35.306100,0 days 00:00:05.803841,0.47473748411882516,0.010952662748632562,5,11,730,1.8318092164684585,0.4701469243560972,0.5591670111852695,advanced,COMPLETE
3,-0.003645778413926326,2025-12-08 00:46:35.307100,2025-12-08 00:46:43.078640,0 days 00:00:07.771540,0.608540663048167,0.010150667045928576,6,16,376,0.8526206184364576,2.5002240473339543,0.41980426929501585,advanced,COMPLETE
4,-0.0016559721404409238,2025-12-08 00:46:43.080688,2025-12-08 00:46:48.192764,0 days 00:00:05.112076,0.7850384088698767,0.0032925293631105254,3,19,571,2.2007624686980067,3.753537145233125,0.8793792198447357,advanced,COMPLETE
5,-0.0016559721404409238,2025-12-08 00:46:48.192764,2025-12-08 00:47:08.288907,0 days 00:00:20.096143,0.8455922412472694,0.0027520696850790523,3,10,2718,2.600340105889054,0.5215026697411662,0.320633112669131,advanced,COMPLETE
6,-0.0016559721404409238,2025-12-08 00:47:08.289907,2025-12-08 00:47:33.803329,0 days 00:00:25.513422,0.7650796940166689,0.03946212980759095,7,4,3601,4.609371175115584,2.375668206925437,0.8817507766587351,advanced,COMPLETE
7,-0.0016559721404409238,2025-12-08 00:47:33.804328,2025-12-08 00:47:42.769439,0 days 00:00:08.965111,0.49519819845795865,0.004574578205475401,3,4,1231,1.7837666334679465,8.071418522169695,0.32713637334632284,advanced,COMPLETE
8,-0.0023222506305392208,2025-12-08 00:47:42.781387,2025-12-08 00:48:31.481843,0 days 00:00:48.700456,0.7813181884524238,0.0013386261584543908,5,11,3951,0.993578407670862,5.983542473217019,0.3845545349848576,advanced,COMPLETE
9,-0.024160840421358354,2025-12-08 00:48:31.482846,2025-12-08 00:48:40.792114,0 days 00:00:09.309268,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,advanced,COMPLETE
10,-0.0016559721404409238,2025-12-08 00:48:40.793114,2025-12-08 00:48:53.105456,0 days 00:00:12.312342,0.310777125368892,0.0010619628509861785,10,1,1865,4.880699499289976,0.108354597653543,0.6936918182244493,advanced,COMPLETE
