number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
36,-0.0016559721242364045,2025-12-07 17:31:20.277623,2025-12-07 17:31:21.297795,0 days 00:00:01.020172,0.001999643985730898,0.7505589794411317,medium,COMPLETE
37,-0.024381165807614735,2025-12-07 17:31:21.299803,2025-12-07 17:31:22.458525,0 days 00:00:01.158722,0.00033313236308932215,0.9108091215421869,medium,COMPLETE
38,-37369.78742102263,2025-12-07 17:31:22.461730,2025-12-07 17:31:28.228053,0 days 00:00:05.766323,3.865703886034957e-05,0.8498589760605334,medium,COMPLETE
39,-2581.0576313874712,2025-12-07 17:31:28.228053,2025-12-07 17:31:30.672137,0 days 00:00:02.444084,0.00010476790916451212,0.7224077014162339,medium,COMPLETE
40,0.0008279473349180888,2025-12-07 17:31:30.674143,2025-12-07 17:31:31.742275,0 days 00:00:01.068132,0.0006290424324305684,0.9335745775141304,medium,COMPLETE
41,-0.0005095624917646665,2025-12-07 17:31:31.742748,2025-12-07 17:31:32.754207,0 days 00:00:01.011459,0.0008426872953204328,0.990013898658734,medium,COMPLETE
42,-0.0016559721242364045,2025-12-07 17:31:32.755229,2025-12-07 17:31:33.780462,0 days 00:00:01.025233,0.0014681670656718508,0.932581198438624,medium,COMPLETE
43,0.0005584463303593598,2025-12-07 17:31:33.783242,2025-12-07 17:31:34.815758,0 days 00:00:01.032516,0.0005720028897931793,0.855758314012487,medium,COMPLETE
44,0.0009184713574527844,2025-12-07 17:31:34.817765,2025-12-07 17:31:35.867872,0 days 00:00:01.050107,0.0006576340936407243,0.9402589772016975,medium,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:31:35.869569,2025-12-07 17:31:36.901012,0 days 00:00:01.031443,0.004068561088747606,0.9519451553329662,medium,COMPLETE
46,-0.0016559721242364045,2025-12-07 17:31:36.901012,2025-12-07 17:31:37.809896,0 days 00:00:00.908884,0.002654104881541881,0.9503835395242354,medium,COMPLETE
47,-0.08894213195319156,2025-12-07 17:31:37.810907,2025-12-07 17:31:39.016979,0 days 00:00:01.206072,0.0003220949257663767,0.6638950785857483,medium,COMPLETE
48,-0.8874564343200486,2025-12-07 17:31:39.016979,2025-12-07 17:31:42.514229,0 days 00:00:03.497250,0.00013952542997775277,0.8862032773119302,medium,COMPLETE
49,-0.0016559721242364045,2025-12-07 17:31:42.516237,2025-12-07 17:31:43.531357,0 days 00:00:01.015120,0.011566713947706638,0.7333889168271628,medium,COMPLETE
50,0.0005581934394723135,2025-12-07 17:31:43.531357,2025-12-07 17:31:44.569132,0 days 00:00:01.037775,0.0007037667495129447,0.9975007762453031,medium,COMPLETE
51,-0.0016559721242364045,2025-12-07 17:31:44.589606,2025-12-07 17:31:45.651659,0 days 00:00:01.062053,0.0018818179157207668,0.8589631274794081,medium,COMPLETE
52,-0.008934037124604647,2025-12-07 17:31:45.653666,2025-12-07 17:31:46.748121,0 days 00:00:01.094455,0.00041290735731671323,0.9120772407292274,medium,COMPLETE
53,0.0006639749018969946,2025-12-07 17:31:46.748121,2025-12-07 17:31:47.799504,0 days 00:00:01.051383,0.0006590646998176614,0.8006546282928824,medium,COMPLETE
54,-0.0013034314173459016,2025-12-07 17:31:47.801510,2025-12-07 17:31:48.833989,0 days 00:00:01.032479,0.0011885580356991447,0.7778230350577204,medium,COMPLETE
55,0.0008336215836323158,2025-12-07 17:31:48.835997,2025-12-07 17:31:49.916422,0 days 00:00:01.080425,0.0007370939552141164,0.7983779012436967,medium,COMPLETE
56,-0.4662430535558431,2025-12-07 17:31:49.916422,2025-12-07 17:31:53.163864,0 days 00:00:03.247442,0.00023075653358557366,0.5647304025311302,medium,COMPLETE
57,-0.0016559721242364045,2025-12-07 17:31:53.165872,2025-12-07 17:31:54.181810,0 days 00:00:01.015938,0.001723612244888529,0.8057304970070083,medium,COMPLETE
58,0.00025093772589768193,2025-12-07 17:31:54.181810,2025-12-07 17:31:55.240627,0 days 00:00:01.058817,0.001186525319912865,0.615917088666452,medium,COMPLETE
59,-0.0016559721242364045,2025-12-07 17:31:55.241698,2025-12-07 17:31:56.268432,0 days 00:00:01.026734,0.0035680200838425027,0.29838012966497707,medium,COMPLETE
60,-0.0014238395885132575,2025-12-07 17:31:56.268432,2025-12-07 17:31:57.319392,0 days 00:00:01.050960,0.000664139080002845,0.6679340636760656,medium,COMPLETE
61,0.0006291248084580777,2025-12-07 17:31:57.319392,2025-12-07 17:31:58.371917,0 days 00:00:01.052525,0.0007737262156840922,0.8976096824401338,medium,COMPLETE
62,-0.017095639979980277,2025-12-07 17:31:58.372782,2025-12-07 17:31:59.530960,0 days 00:00:01.158178,0.0003991752205365128,0.8292453942904693,medium,COMPLETE
63,0.0008114044826785053,2025-12-07 17:31:59.533100,2025-12-07 17:32:00.580229,0 days 00:00:01.047129,0.0008790543227523988,0.7595982236828628,medium,COMPLETE
64,0.0006946289984071097,2025-12-07 17:32:00.583699,2025-12-07 17:32:01.616327,0 days 00:00:01.032628,0.0009763364903919986,0.7036271338040009,medium,COMPLETE
65,-0.0016559721242364045,2025-12-07 17:32:01.616327,2025-12-07 17:32:02.620698,0 days 00:00:01.004371,0.0022754934288655914,0.6922959348733247,medium,COMPLETE
66,-0.00046960889364751807,2025-12-07 17:32:02.622202,2025-12-07 17:32:03.652965,0 days 00:00:01.030763,0.0010853363619193841,0.763985320310232,medium,COMPLETE
67,-0.16054298367758504,2025-12-07 17:32:03.654972,2025-12-07 17:32:05.036639,0 days 00:00:01.381667,0.00024823591791845384,0.7385648634958667,medium,COMPLETE
68,-0.0016559721242364045,2025-12-07 17:32:05.037373,2025-12-07 17:32:06.054988,0 days 00:00:01.017615,0.0014289250706612958,0.9618467644994342,medium,COMPLETE
