number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
25,-0.0016559720935109083,2025-12-07 18:12:27.126348,2025-12-07 18:12:27.485093,0 days 00:00:00.358745,0.5004420350889325,0.05028619606592437,6,90,570,82,2.3455058001480116,0.46535769474868277,0.6083736835510467,simple,COMPLETE
26,-0.0016559720935109083,2025-12-07 18:12:27.485093,2025-12-07 18:12:27.927717,0 days 00:00:00.442624,0.7787588257864038,0.07484566659077492,4,40,907,108,4.280954315553826,0.21492084201401618,0.699168038946605,simple,COMPLETE
27,-0.0016559720935109083,2025-12-07 18:12:27.927717,2025-12-07 18:12:28.600640,0 days 00:00:00.672923,0.6573590504614019,0.019184241473014715,3,29,2032,76,4.947710382037248,1.0243206507212688,0.643337973526392,simple,COMPLETE
28,-0.0016559720935109083,2025-12-07 18:12:28.600640,2025-12-07 18:12:29.146593,0 days 00:00:00.545953,0.705271179276075,0.03136337867481378,11,58,1293,87,1.693508368763714,0.4795456982167832,0.5785652118081882,simple,COMPLETE
29,-0.0016559720935109083,2025-12-07 18:12:29.146904,2025-12-07 18:12:30.105420,0 days 00:00:00.958516,0.5615531317018375,0.008772148782691877,8,67,3139,96,3.4964674729639986,0.17187347077081372,0.5311339949430063,simple,COMPLETE
30,-0.0035164172946842154,2025-12-07 18:12:30.105420,2025-12-07 18:12:30.465692,0 days 00:00:00.360272,0.9101320728802786,0.04945849917739954,5,74,471,96,1.0004003024348411,4.885120537392572,0.5892317102518021,simple,COMPLETE
31,-0.0016559720935109083,2025-12-07 18:12:30.467694,2025-12-07 18:12:31.597113,0 days 00:00:01.129419,0.5229331041927238,0.03517563165220974,9,64,3995,99,4.89510982206288,7.349111106569966,0.5592421864814638,simple,COMPLETE
32,-0.0016559720935109083,2025-12-07 18:12:31.597113,2025-12-07 18:12:32.708688,0 days 00:00:01.111575,0.7510230289488433,0.008366124589805674,6,53,3573,107,4.5036542557196215,19.04302584849807,0.5946097213957298,simple,COMPLETE
33,-0.0016559720935109083,2025-12-07 18:12:32.708688,2025-12-07 18:12:33.715672,0 days 00:00:01.006984,0.5628200897119829,0.023073345447499113,7,81,3367,123,4.808220494144298,6.010810311921003,0.5145617261723365,simple,COMPLETE
34,-0.0016559720935109083,2025-12-07 18:12:33.715672,2025-12-07 18:12:34.662046,0 days 00:00:00.946374,0.9959782326816241,0.02627380007448027,11,60,2768,84,4.2926257653250195,12.537298741977489,0.6640253143746593,simple,COMPLETE
35,-0.0016559720935109083,2025-12-07 18:12:34.662046,2025-12-07 18:12:35.766615,0 days 00:00:01.104569,0.6116462939260536,0.005435502790616668,12,49,3721,90,4.697886931795921,1.9295270537626195,0.5695450818431336,simple,COMPLETE
36,-0.0016559720935109083,2025-12-07 18:12:35.768121,2025-12-07 18:12:36.362740,0 days 00:00:00.594619,0.6628135196886192,0.07787656004338056,10,68,1568,104,3.7467653789731576,13.132952391315461,0.6241854900792527,simple,COMPLETE
37,-0.0016559720935109083,2025-12-07 18:12:36.362740,2025-12-07 18:12:37.098688,0 days 00:00:00.735948,0.5482928606810181,0.018738531453799834,3,21,2249,77,4.153221048375173,3.3083326455184547,0.534790250755425,simple,COMPLETE
38,-0.0016559720935109083,2025-12-07 18:12:37.098688,2025-12-07 18:12:38.040223,0 days 00:00:00.941535,0.6638521091848306,0.04317171178318846,6,93,3078,85,3.099055906370385,1.500393359411223,0.6779914611744576,simple,COMPLETE
39,-0.0016559720935109083,2025-12-07 18:12:38.040223,2025-12-07 18:12:38.369608,0 days 00:00:00.329385,0.5310990238874808,0.008063905563268556,8,85,414,111,4.586313284233049,0.32742508553016625,0.780955241071822,simple,COMPLETE
40,-0.0016559720935109083,2025-12-07 18:12:38.369608,2025-12-07 18:12:39.182106,0 days 00:00:00.812498,0.6215401964115316,0.01041241965990479,4,74,2551,67,2.547477679199923,1.036789579086209,0.6480931339819158,simple,COMPLETE
41,-0.0016559720935109083,2025-12-07 18:12:39.182106,2025-12-07 18:12:39.592975,0 days 00:00:00.410869,0.7911369381887071,0.03544700774809905,3,29,803,81,4.557821914470957,0.45906227499214985,0.5929917774437093,simple,COMPLETE
42,-0.0016559720935109083,2025-12-07 18:12:39.592975,2025-12-07 18:12:40.076820,0 days 00:00:00.483845,0.7332043137642722,0.02670257014024969,5,36,1083,94,4.400483745427276,0.31650106771447845,0.5390482566911516,simple,COMPLETE
43,-0.0016559720935109083,2025-12-07 18:12:40.076820,2025-12-07 18:12:40.389540,0 days 00:00:00.312720,0.8830839626320754,0.049534905876185385,3,50,347,78,3.903302544709977,0.15631108127041704,0.5027732866931287,simple,COMPLETE
