number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
47,-27.39197360030307,2025-12-07 15:40:43.790133,2025-12-07 15:40:44.023248,0 days 00:00:00.233115,simple,COMPLETE
48,-27.39197360030307,2025-12-07 15:40:44.023248,2025-12-07 15:40:44.256987,0 days 00:00:00.233739,simple,COMPLETE
49,-27.39197360030307,2025-12-07 15:40:44.256987,2025-12-07 15:40:44.491104,0 days 00:00:00.234117,simple,COMPLETE
50,-27.39197360030307,2025-12-07 15:40:44.491104,2025-12-07 15:40:44.723018,0 days 00:00:00.231914,simple,COMPLETE
51,-27.39197360030307,2025-12-07 15:40:44.723018,2025-12-07 15:40:44.957095,0 days 00:00:00.234077,simple,COMPLETE
52,-27.39197360030307,2025-12-07 15:40:44.957095,2025-12-07 15:40:45.190358,0 days 00:00:00.233263,simple,COMPLETE
53,-27.39197360030307,2025-12-07 15:40:45.190358,2025-12-07 15:40:45.422703,0 days 00:00:00.232345,simple,COMPLETE
54,-27.39197360030307,2025-12-07 15:40:45.422703,2025-12-07 15:40:45.656451,0 days 00:00:00.233748,simple,COMPLETE
55,-27.39197360030307,2025-12-07 15:40:45.656451,2025-12-07 15:40:45.889893,0 days 00:00:00.233442,simple,COMPLETE
56,-27.39197360030307,2025-12-07 15:40:45.889893,2025-12-07 15:40:46.123396,0 days 00:00:00.233503,simple,COMPLETE
57,-27.39197360030307,2025-12-07 15:40:46.123396,2025-12-07 15:40:46.355668,0 days 00:00:00.232272,simple,COMPLETE
58,-27.39197360030307,2025-12-07 15:40:46.355668,2025-12-07 15:40:46.590297,0 days 00:00:00.234629,simple,COMPLETE
59,-27.39197360030307,2025-12-07 15:40:46.590297,2025-12-07 15:40:46.822518,0 days 00:00:00.232221,simple,COMPLETE
60,-27.39197360030307,2025-12-07 15:40:46.822518,2025-12-07 15:40:47.056499,0 days 00:00:00.233981,simple,COMPLETE
61,-27.39197360030307,2025-12-07 15:40:47.056499,2025-12-07 15:40:47.291572,0 days 00:00:00.235073,simple,COMPLETE
62,-27.39197360030307,2025-12-07 15:40:47.291572,2025-12-07 15:40:47.524014,0 days 00:00:00.232442,simple,COMPLETE
63,-27.39197360030307,2025-12-07 15:40:47.524014,2025-12-07 15:40:47.755966,0 days 00:00:00.231952,simple,COMPLETE
64,-27.39197360030307,2025-12-07 15:40:47.755966,2025-12-07 15:40:47.990268,0 days 00:00:00.234302,simple,COMPLETE
65,-27.39197360030307,2025-12-07 15:40:47.990268,2025-12-07 15:40:48.224309,0 days 00:00:00.234041,simple,COMPLETE
66,-27.39197360030307,2025-12-07 15:40:48.224309,2025-12-07 15:40:48.455374,0 days 00:00:00.231065,simple,COMPLETE
67,-27.39197360030307,2025-12-07 15:40:48.455374,2025-12-07 15:40:48.689451,0 days 00:00:00.234077,simple,COMPLETE
68,-27.39197360030307,2025-12-07 15:40:48.689451,2025-12-07 15:40:48.923035,0 days 00:00:00.233584,simple,COMPLETE
69,-27.39197360030307,2025-12-07 15:40:48.923035,2025-12-07 15:40:49.157707,0 days 00:00:00.234672,simple,COMPLETE
