number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 03:15:20.696018,2025-12-08 03:15:23.548887,0 days 00:00:02.852869,0.5109098130435057,0.03141763179666947,7,12,612,2.817626027387199,0.32522532211927835,0.6924837043073606,extensive,final,xgb,pca_block,True,COMPLETE
1,-0.0016559721404409238,2025-12-08 03:15:23.548887,2025-12-08 03:15:32.364070,0 days 00:00:08.815183,0.5822027550563363,0.026428660840502705,10,20,2173,3.692083212936609,12.514626877111267,0.7475008133302212,extensive,final,xgb,pca_block,True,COMPLETE
2,-0.0008639002278224931,2025-12-08 03:15:32.365070,2025-12-08 03:15:46.007356,0 days 00:00:13.642286,0.38485939423873383,0.011107580172580888,6,4,3337,1.1657797331942088,1.4132463489609157,0.8183896598780172,extensive,final,xgb,pca_block,True,COMPLETE
3,-0.0015828177056498305,2025-12-08 03:15:46.014862,2025-12-08 03:15:59.323439,0 days 00:00:13.308577,0.7511051480618594,0.009694501880600009,10,16,3334,1.6397836298997248,0.9838866235631207,0.585373240679405,extensive,final,xgb,pca_block,True,COMPLETE
4,-0.0016559721404409238,2025-12-08 03:15:59.324489,2025-12-08 03:16:05.584955,0 days 00:00:06.260466,0.6601923703507928,0.011493703164796061,8,9,1484,4.834249895903387,0.8448622053901972,0.7370523106539743,extensive,final,xgb,pca_block,True,COMPLETE
