number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
33,-0.0016559721404409238,2025-12-08 01:54:06.782888,2025-12-08 01:54:16.356449,0 days 00:00:09.573561,0.5919130366546366,0.0010270550995699697,4,8,1060,1.9926393761649208,1.770608067319696,0.43115026709166515,extensive,COMPLETE
34,-0.001650828339966733,2025-12-08 01:54:16.357449,2025-12-08 01:54:22.730849,0 days 00:00:06.373400,0.5173578362950325,0.001405843271361473,3,15,471,1.1073877114006632,0.6588127998684258,0.425761918628474,extensive,COMPLETE
35,-0.0016614148454468698,2025-12-08 01:54:22.730849,2025-12-08 01:54:26.968261,0 days 00:00:04.237412,0.4713288234937221,0.001622348255745571,3,15,220,0.9248578461311254,0.4268759143230717,0.3508653095871689,extensive,COMPLETE
36,-0.0016559721404409238,2025-12-08 01:54:26.970265,2025-12-08 01:54:32.179826,0 days 00:00:05.209561,0.5187565892919829,0.012181444110949173,3,16,475,2.501265070252707,11.914723619480025,0.3946667170921613,extensive,COMPLETE
37,-0.001822768760756895,2025-12-08 01:54:32.179826,2025-12-08 01:54:45.260838,0 days 00:00:13.081012,0.5938404837788629,0.0022007084224645087,7,15,519,1.1115109659765874,0.5924848343320207,0.6164902930422725,extensive,COMPLETE
38,-0.025456870954697102,2025-12-08 01:54:45.260838,2025-12-08 01:55:47.026210,0 days 00:01:01.765372,0.7124769324526314,0.004124452755782119,3,11,3116,0.6599057140335209,0.7198784149291433,0.6810700497290791,extensive,COMPLETE
39,-0.0016559721404409238,2025-12-08 01:55:47.028210,2025-12-08 01:55:57.911394,0 days 00:00:10.883184,0.6397003590770215,0.0013949790316875224,5,18,1215,2.199867237467071,0.2286442225467196,0.4205838289279557,extensive,COMPLETE
40,-0.0016527715443622377,2025-12-08 01:55:57.912394,2025-12-08 01:56:05.128017,0 days 00:00:07.215623,0.3842221587744935,0.00312675952568112,3,12,730,1.7143316859615045,5.573288271904404,0.5625300875780012,extensive,COMPLETE
41,-0.0016500541834343352,2025-12-08 01:56:05.128650,2025-12-08 01:56:11.832389,0 days 00:00:06.703739,0.3645817076177773,0.0030397821582756413,3,12,688,1.6035734627943605,3.952035627419249,0.5715226814222354,extensive,COMPLETE
42,-0.0016220135999756395,2025-12-08 01:56:11.832389,2025-12-08 01:56:17.227840,0 days 00:00:05.395451,0.3555709490257277,0.0012800166466857442,3,14,402,1.2148048829229323,4.163788372307895,0.5086294973135921,extensive,COMPLETE
