number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
40,-0.0016559721242364045,2025-12-07 17:08:47.349588,2025-12-07 17:08:48.598497,0 days 00:00:01.248909,0.05108656238468169,advanced,COMPLETE
41,2.461338815858601e-05,2025-12-07 17:08:48.600522,2025-12-07 17:08:49.855469,0 days 00:00:01.254947,0.0006503260573439714,advanced,COMPLETE
42,-0.0016559721242364045,2025-12-07 17:08:49.857475,2025-12-07 17:08:51.095079,0 days 00:00:01.237604,0.0011932009586720785,advanced,COMPLETE
43,-0.06720029867730222,2025-12-07 17:08:51.097375,2025-12-07 17:08:52.802029,0 days 00:00:01.704654,0.0002409074973559125,advanced,COMPLETE
44,-2.2001707387013052e-05,2025-12-07 17:08:52.806044,2025-12-07 17:08:54.057349,0 days 00:00:01.251305,0.000662951779198869,advanced,COMPLETE
45,-0.0001730078964653122,2025-12-07 17:08:54.059356,2025-12-07 17:08:55.373339,0 days 00:00:01.313983,0.0006892196695507865,advanced,COMPLETE
46,-0.9610633022722749,2025-12-07 17:08:55.373339,2025-12-07 17:08:59.779773,0 days 00:00:04.406434,0.00010938250288168403,advanced,COMPLETE
47,-0.0016559721242364045,2025-12-07 17:08:59.779773,2025-12-07 17:09:00.945296,0 days 00:00:01.165523,0.0032902697482205625,advanced,COMPLETE
48,-0.0016559721242364045,2025-12-07 17:09:00.945296,2025-12-07 17:09:02.214613,0 days 00:00:01.269317,0.005420068732928994,advanced,COMPLETE
49,-0.0016559721242364045,2025-12-07 17:09:02.215737,2025-12-07 17:09:03.465325,0 days 00:00:01.249588,0.0013104013837572804,advanced,COMPLETE
50,-0.029703916273170188,2025-12-07 17:09:03.465325,2025-12-07 17:09:05.049507,0 days 00:00:01.584182,0.00030431352683266214,advanced,COMPLETE
51,-0.0002773507351286157,2025-12-07 17:09:05.051625,2025-12-07 17:09:06.305298,0 days 00:00:01.253673,0.0007011796293361658,advanced,COMPLETE
52,-0.2632962694436605,2025-12-07 17:09:06.307017,2025-12-07 17:09:09.300259,0 days 00:00:02.993242,0.00016057737531205852,advanced,COMPLETE
53,-0.0013250610096344762,2025-12-07 17:09:09.300259,2025-12-07 17:09:10.554772,0 days 00:00:01.254513,0.0009436391719495003,advanced,COMPLETE
54,-0.0016559721242364045,2025-12-07 17:09:10.554772,2025-12-07 17:09:11.793198,0 days 00:00:01.238426,0.3346843561591912,advanced,COMPLETE
55,-0.016675302119981177,2025-12-07 17:09:11.794414,2025-12-07 17:09:13.156793,0 days 00:00:01.362379,0.0003547639106425727,advanced,COMPLETE
56,-0.0016559721242364045,2025-12-07 17:09:13.158800,2025-12-07 17:09:14.384904,0 days 00:00:01.226104,0.0026652713935942074,advanced,COMPLETE
57,-0.0008331950764357184,2025-12-07 17:09:14.386914,2025-12-07 17:09:15.682735,0 days 00:00:01.295821,0.000499201616573557,advanced,COMPLETE
58,-0.0016559721242364045,2025-12-07 17:09:15.683944,2025-12-07 17:09:16.940027,0 days 00:00:01.256083,0.001440403545800379,advanced,COMPLETE
59,-0.0779335225070319,2025-12-07 17:09:16.949507,2025-12-07 17:09:18.393530,0 days 00:00:01.444023,0.0002311757631852445,advanced,COMPLETE
60,-0.0009535047051646798,2025-12-07 17:09:18.395967,2025-12-07 17:09:19.637039,0 days 00:00:01.241072,0.0008370606638657098,advanced,COMPLETE
61,-0.00048398792898503756,2025-12-07 17:09:19.637039,2025-12-07 17:09:20.951806,0 days 00:00:01.314767,0.0005273164785470803,advanced,COMPLETE
62,-9.157117062371285e-05,2025-12-07 17:09:20.953827,2025-12-07 17:09:22.207562,0 days 00:00:01.253735,0.000677249419032947,advanced,COMPLETE
63,-0.0016559721242364045,2025-12-07 17:09:22.207562,2025-12-07 17:09:23.461559,0 days 00:00:01.253997,0.001936432872599438,advanced,COMPLETE
64,-0.015278937927848476,2025-12-07 17:09:23.461559,2025-12-07 17:09:24.794975,0 days 00:00:01.333416,0.0003609398795817443,advanced,COMPLETE
65,-0.0013424604726914129,2025-12-07 17:09:24.796601,2025-12-07 17:09:26.036876,0 days 00:00:01.240275,0.0009515002866770405,advanced,COMPLETE
66,-0.0016559721242364045,2025-12-07 17:09:26.036876,2025-12-07 17:09:27.287689,0 days 00:00:01.250813,0.005764543229713059,advanced,COMPLETE
67,-0.0016559721242364045,2025-12-07 17:09:27.289697,2025-12-07 17:09:28.556470,0 days 00:00:01.266773,0.012270272017840578,advanced,COMPLETE
68,-0.0016559721242364045,2025-12-07 17:09:28.558491,2025-12-07 17:09:29.796101,0 days 00:00:01.237610,0.0013770495416386432,advanced,COMPLETE
69,5.084151631329359e-05,2025-12-07 17:09:29.797107,2025-12-07 17:09:31.067501,0 days 00:00:01.270394,0.0006389813608942747,advanced,COMPLETE
70,-1.170296730961246,2025-12-07 17:09:31.067501,2025-12-07 17:09:34.989701,0 days 00:00:03.922200,0.00010127932011951646,advanced,COMPLETE
71,5.6193782716373875e-05,2025-12-07 17:09:34.989701,2025-12-07 17:09:36.258252,0 days 00:00:01.268551,0.0006411681416549793,advanced,COMPLETE
72,-0.0001442484639524085,2025-12-07 17:09:36.258252,2025-12-07 17:09:37.544404,0 days 00:00:01.286152,0.0005921606058385034,advanced,COMPLETE
73,-0.02835973203963671,2025-12-07 17:09:37.545208,2025-12-07 17:09:39.158218,0 days 00:00:01.613010,0.00030854907162805297,advanced,COMPLETE
74,-0.0011648158125378376,2025-12-07 17:09:39.160226,2025-12-07 17:09:40.401743,0 days 00:00:01.241517,0.0008852100409322051,advanced,COMPLETE
75,-0.0016559721242364045,2025-12-07 17:09:40.402743,2025-12-07 17:09:41.654118,0 days 00:00:01.251375,0.0016754309756365515,advanced,COMPLETE
76,-0.0034229716945040436,2025-12-07 17:09:41.654118,2025-12-07 17:09:42.973139,0 days 00:00:01.319021,0.0004327066297503024,advanced,COMPLETE
77,-0.0016559721242364045,2025-12-07 17:09:42.973139,2025-12-07 17:09:44.209294,0 days 00:00:01.236155,0.0029136521174888868,advanced,COMPLETE
78,-0.2211334299849852,2025-12-07 17:09:44.211302,2025-12-07 17:09:47.046639,0 days 00:00:02.835337,0.00017196418428267187,advanced,COMPLETE
79,-2.456905302313424e-05,2025-12-07 17:09:47.048646,2025-12-07 17:09:48.318566,0 days 00:00:01.269920,0.0006635793173532215,advanced,COMPLETE
80,-0.0016559721242364045,2025-12-07 17:09:48.318566,2025-12-07 17:09:49.557426,0 days 00:00:01.238860,0.0011115578035822168,advanced,COMPLETE
81,-0.0004715995139549234,2025-12-07 17:09:49.559202,2025-12-07 17:09:50.813123,0 days 00:00:01.253921,0.0007205936844802032,advanced,COMPLETE
82,-0.0016652486056998688,2025-12-07 17:09:50.815019,2025-12-07 17:09:52.110990,0 days 00:00:01.295971,0.0004635631464757269,advanced,COMPLETE
83,-0.051524629116697605,2025-12-07 17:09:52.110990,2025-12-07 17:09:53.789141,0 days 00:00:01.678151,0.0002592189675954878,advanced,COMPLETE
84,-8.062878543343052e-06,2025-12-07 17:09:53.791148,2025-12-07 17:09:55.049164,0 days 00:00:01.258016,0.0006593317519365991,advanced,COMPLETE
85,5.6360500496399624e-05,2025-12-07 17:09:55.051171,2025-12-07 17:09:56.363514,0 days 00:00:01.312343,0.0006410578675201619,advanced,COMPLETE
86,-0.0016559721242364045,2025-12-07 17:09:56.363514,2025-12-07 17:09:57.584821,0 days 00:00:01.221307,0.0016501987222897823,advanced,COMPLETE
87,-0.0016559721242364045,2025-12-07 17:09:57.585829,2025-12-07 17:09:58.715591,0 days 00:00:01.129762,0.18758599247119154,advanced,COMPLETE
88,3.3223802518171176e-05,2025-12-07 17:09:58.717109,2025-12-07 17:09:59.987464,0 days 00:00:01.270355,0.0006339184874320032,advanced,COMPLETE
