number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
12,-0.0016559721404409238,2025-12-07 21:08:55.203259,2025-12-07 21:09:06.532146,0 days 00:00:11.328887,0.6850321159481426,0.0019570407808016848,5,20,2820,3.7109617606161134,6.829675549923149,0.69445779721767,simple2,COMPLETE
13,-0.03623442760795603,2025-12-07 21:09:06.533735,2025-12-07 21:09:38.865852,0 days 00:00:32.332117,0.5213460475099596,0.0017345286659260657,9,13,1777,0.02616525959119631,0.11645880000439712,0.6102008085910016,simple2,COMPLETE
14,-0.0016559721404409238,2025-12-07 21:09:38.867710,2025-12-07 21:09:51.335406,0 days 00:00:12.467696,0.5768429036921325,0.004171424823239406,6,7,3093,3.3350344041462963,1.1570174807466898,0.7857473510118685,simple2,COMPLETE
15,-0.0016559721404409238,2025-12-07 21:09:51.336413,2025-12-07 21:09:57.376591,0 days 00:00:06.040178,0.39933376883122673,0.0017518252777534015,8,13,1476,3.9732268205604444,17.544098575609052,0.5911861177184772,simple2,COMPLETE
16,-0.0016559721404409238,2025-12-07 21:09:57.376591,2025-12-07 21:10:07.221797,0 days 00:00:09.845206,0.7044091457735527,0.006241352857946716,4,7,2414,2.7643870576890737,1.2036063214986896,0.43676091389973465,simple2,COMPLETE
17,-0.0017195431252578313,2025-12-07 21:10:07.221797,2025-12-07 21:10:21.301840,0 days 00:00:14.080043,0.8157899251173307,0.0023568070907084293,4,18,3294,1.4255705246080306,6.891383689985541,0.8043223150369871,simple2,COMPLETE
18,-0.0016559721404409238,2025-12-07 21:10:21.302941,2025-12-07 21:10:29.901475,0 days 00:00:08.598534,0.6252342641264145,0.0013328197602295402,6,14,2126,4.9864367334813675,0.2794907588112161,0.5236372382152099,simple2,COMPLETE
19,-0.0016559721404409238,2025-12-07 21:10:29.902472,2025-12-07 21:10:36.112105,0 days 00:00:06.209633,0.559647366708295,0.007129607013639369,4,7,1520,4.078649186547714,4.236869541995222,0.6458595440219126,simple2,COMPLETE
20,-0.0016559721404409238,2025-12-07 21:10:36.113615,2025-12-07 21:10:51.851878,0 days 00:00:15.738263,0.7126317048887219,0.0014728683975590833,8,20,3922,2.9111046405876935,0.21366974082820558,0.7947793353131883,simple2,COMPLETE
21,-0.0016636847847643448,2025-12-07 21:10:51.852449,2025-12-07 21:10:55.404478,0 days 00:00:03.552029,0.45347131802190443,0.011726054896928628,5,11,845,1.6401193028080394,0.4931103747307739,0.5664840116054779,simple2,COMPLETE
