number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
40,-0.0016559721242364045,2025-12-07 17:15:55.153279,2025-12-07 17:15:56.832622,0 days 00:00:01.679343,0.001919616461973897,extensive,COMPLETE
41,-0.0002015713972124041,2025-12-07 17:15:56.832622,2025-12-07 17:15:58.588138,0 days 00:00:01.755516,0.0005960931946059234,extensive,COMPLETE
42,-0.00011258608256155729,2025-12-07 17:15:58.588138,2025-12-07 17:16:00.332440,0 days 00:00:01.744302,0.0006099620180385877,extensive,COMPLETE
43,-0.0016559721242364045,2025-12-07 17:16:00.332440,2025-12-07 17:16:02.037991,0 days 00:00:01.705551,0.0014853270888050979,extensive,COMPLETE
44,-0.0016559721242364045,2025-12-07 17:16:02.037991,2025-12-07 17:16:03.714870,0 days 00:00:01.676879,0.003178569606943416,extensive,COMPLETE
45,-0.11794275620536847,2025-12-07 17:16:03.714870,2025-12-07 17:16:05.615563,0 days 00:00:01.900693,0.00020929918699035923,extensive,COMPLETE
46,-0.6787109537947215,2025-12-07 17:16:05.615563,2025-12-07 17:16:08.610108,0 days 00:00:02.994545,0.00010800877652975414,extensive,COMPLETE
47,-0.0191486468331102,2025-12-07 17:16:08.610108,2025-12-07 17:16:10.397378,0 days 00:00:01.787270,0.0003868010102251596,extensive,COMPLETE
48,-0.0016559721242364045,2025-12-07 17:16:10.397378,2025-12-07 17:16:12.076455,0 days 00:00:01.679077,0.3936695786462719,extensive,COMPLETE
49,-0.0016559721242364045,2025-12-07 17:16:12.076455,2025-12-07 17:16:13.736474,0 days 00:00:01.660019,0.005098599542963937,extensive,COMPLETE
50,-0.0016559721242364045,2025-12-07 17:16:13.736474,2025-12-07 17:16:15.429973,0 days 00:00:01.693499,0.08227957450650736,extensive,COMPLETE
51,-0.0002773507351286157,2025-12-07 17:16:15.429973,2025-12-07 17:16:17.270450,0 days 00:00:01.840477,0.0007011796293361658,extensive,COMPLETE
52,2.0203040794123755e-05,2025-12-07 17:16:17.272454,2025-12-07 17:16:19.149171,0 days 00:00:01.876717,0.0006512812091263548,extensive,COMPLETE
