number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 03:14:05.178385,2025-12-08 03:14:13.761279,0 days 00:00:08.582894,0.6699580979814084,0.007951915991944477,4,12,2113,2.250350157304818,0.12568822378554217,0.405253492932024,extensive,final,xgb,pca_only,True,COMPLETE
1,-0.0018340955843575053,2025-12-08 03:14:13.761279,2025-12-08 03:14:21.698584,0 days 00:00:07.937305,0.3170182974369184,0.006258851664589445,8,10,1263,0.7288299498255135,0.3656812355640502,0.8559726448609233,extensive,final,xgb,pca_only,True,COMPLETE
2,-0.0016559721404409238,2025-12-08 03:14:21.698584,2025-12-08 03:14:26.275027,0 days 00:00:04.576443,0.6501617848469,0.020882019847384903,6,7,1098,4.882699864664303,1.7524142321575837,0.4811510913943724,extensive,final,xgb,pca_only,True,COMPLETE
3,-0.0017088845180579515,2025-12-08 03:14:26.275027,2025-12-08 03:14:31.836046,0 days 00:00:05.561019,0.5752036953693936,0.002491440908537212,4,17,1306,1.3554872888888558,0.44151378518938145,0.7378536021701425,extensive,final,xgb,pca_only,True,COMPLETE
4,-0.0017069542007409992,2025-12-08 03:14:31.837054,2025-12-08 03:14:46.135977,0 days 00:00:14.298923,0.8810891174062365,0.0026452255374606864,4,15,3707,1.4026751900284045,12.869408479091337,0.47712270836731074,extensive,final,xgb,pca_only,True,COMPLETE
