label,final,final,final,final,final,final
feature_level,advanced,extensive,medium,none,simple,simple2
model_type,,,,,,
elastic,0.0007331937403595168,0.0007327851531420126,9.703055889620504e-05,0.00043241029129970077,0.0004932961527392976,0.0008456573620259089
lasso,0.0007319348825874927,0.0007311566584874418,9.724521526655039e-05,0.000427904624337061,0.000493015332823532,0.0008486658436148709
lgbm,-0.19332325855509547,-0.19034233503048292,-0.19975589011402461,-0.15863141328747,-0.20298656480897748,-0.14601714278591071
ols,-24.036527489426817,-1602.4856860224481,-23.827329132881825,-0.29918752312803387,-0.45776537615192514,-0.47111789186129305
ridge,-0.28313997996646934,-0.41910201357986554,-0.29553062295362387,-0.00470015660511236,-0.007423177627596589,-0.009893905536896952
xgb,-0.17586195477085087,-0.18378717366498587,-0.18531033340694325,-0.2723920508445974,-0.20806064569743343,-0.18874551552421104
